"","HA","CD44s","MIR340","MIR190","MIR1199","ESRP1","MIR200","TWIST1","SNAIL1","TGFB","ZEB1","MIR129","MIR34","HAS2","GRHL2","CD24"
"GRHL2",0.310303321847824,0.310303321847824,0.311831984268207,0.311831984268207,0.311831984268207,0.311831984268207,0.306221026904331,0.1451506550784,0.116068352075762,-0.013936087092563,-0.312317207029565,-0.1451506550784,-0.306221026904331,-0.311831984268207,-0.311831984268207,-0.210303321847824
"HAS2",0.0812925170068027,0.181292517006803,0.181038064080594,0.181038064080594,0.181038064080594,0.181038064080594,0.172293116386007,0.123375980881863,0.094038692432939,-0.00654682257116334,-0.183162108260713,-0.123375980881863,-0.172293116386007,-0.181038064080594,-0.181038064080594,-0.181292517006803
"ESRP1",0.181292517006803,0.281292517006803,0.181038064080594,0.181038064080594,0.181038064080594,0.181038064080594,0.172293116386007,0.123375980881863,0.094038692432939,-0.00654682257116334,-0.183162108260713,-0.123375980881863,-0.172293116386007,-0.181038064080594,-0.181038064080594,-0.181292517006803
"MIR340",0.181038064080594,0.181038064080594,0.183162108260713,0.183162108260713,0.183162108260713,0.183162108260713,0.175454338725311,0.125841734306521,0.0913896858104224,-0.00490431049386865,-0.183072742755798,-0.125841734306521,-0.175454338725311,-0.183162108260713,-0.183162108260713,-0.181038064080594
"MIR1199",0.181038064080594,0.181038064080594,0.183162108260713,0.183162108260713,0.183162108260713,0.183162108260713,0.175454338725311,0.125841734306521,0.0913896858104224,-0.00490431049386865,-0.183072742755798,-0.125841734306521,-0.175454338725311,-0.183162108260713,-0.183162108260713,-0.181038064080594
"CD44s",0.181038064080594,0.181038064080594,0.183162108260713,0.183162108260713,0.183162108260713,0.183162108260713,0.175454338725311,0.125841734306521,0.0913896858104224,-0.00490431049386865,-0.183072742755798,-0.125841734306521,-0.175454338725311,-0.183162108260713,-0.183162108260713,-0.181038064080594
"CD24",0.181038064080594,0.181038064080594,0.183162108260713,0.183162108260713,0.183162108260713,0.183162108260713,0.175454338725311,0.125841734306521,0.0913896858104224,-0.00490431049386865,-0.183072742755798,-0.125841734306521,-0.175454338725311,-0.183162108260713,-0.183162108260713,-0.181038064080594
"SNAIL1",0.163516069211624,0.163516069211624,0.163825029046846,0.163825029046846,0.163825029046846,0.163825029046846,0.145757649107606,0.122409196854116,-0.0765042296763888,-0.0746629997655318,-0.163885647353574,-0.122409196854116,-0.145757649107606,-0.163825029046846,-0.163825029046846,-0.163516069211624
"TGFB",0.163258999802884,0.163258999802884,0.163516069211624,0.163516069211624,0.163516069211624,0.163516069211624,0.145784663965778,0.122545954185829,0.0231360293371215,-0.0743542073065687,-0.163825029046846,-0.122545954185829,-0.145784663965778,-0.163516069211624,-0.163516069211624,-0.163258999802884
"MIR190",0.162005866970804,0.162005866970804,0.163258999802884,0.163258999802884,0.163258999802884,0.163258999802884,0.14513004233708,0.121886033376326,0.0236931324011883,0.0251242184876466,-0.163516069211624,-0.121886033376326,-0.14513004233708,-0.163258999802884,-0.163258999802884,-0.162005866970804
"MIR200",0.116386641428077,0.116386641428077,0.117146135098964,0.117146135098964,0.117146135098964,0.117146135098964,0.03348720094392,-0.065047103374871,-0.0154347982505899,-0.00950461122458677,-0.116987990660376,0.065047103374871,-0.03348720094392,-0.117146135098964,-0.117146135098964,-0.116386641428077
"TWIST1",0.0119396234081122,0.0119396234081122,0.0127664838440931,0.0127664838440931,0.0127664838440931,0.0127664838440931,0.00745137069605953,0.00576483286954549,-0.00798791800352548,0.00109646796324478,-0.0124011393764522,-0.0281910946689678,-0.00745137069605953,-0.0127664838440931,-0.0127664838440931,-0.0119396234081122
"MIR129",-0.0132809050772627,-0.0132809050772627,-0.0119396234081122,-0.0119396234081122,-0.0119396234081122,-0.0119396234081122,-0.00668142921161234,-0.105398724082935,0.00748016446983534,-0.000955583206975411,0.0127664838440931,0.0278510475855255,0.00668142921161234,0.0119396234081122,0.0119396234081122,0.0132809050772627
"ZEB1",-0.183162108260713,-0.183162108260713,-0.183072742755798,-0.183072742755798,-0.183072742755798,-0.183072742755798,-0.17437592527256,-0.124938025986172,-0.0931155080181723,0.00604252187598248,0.0836533682014534,0.124938025986172,0.17437592527256,0.183072742755798,0.183072742755798,0.183162108260713
"MIR34",-0.163258999802884,-0.163258999802884,-0.163516069211624,-0.163516069211624,-0.163516069211624,-0.163516069211624,-0.145784663965778,-0.122545954185829,-0.0231360293371215,0.0743542073065687,0.163825029046846,0.122545954185829,0.145784663965778,0.163516069211624,0.163516069211624,0.163258999802884
"HA",-0.181038064080594,-0.181038064080594,-0.183162108260713,-0.183162108260713,-0.183162108260713,-0.183162108260713,-0.175454338725311,-0.125841734306521,-0.0913896858104224,0.00490431049386865,0.183072742755798,0.125841734306521,0.175454338725311,0.183162108260713,0.183162108260713,0.181038064080594
