"","MIR34","MIR200","TGFB","HAS2","GRHL2","ESRP1","HA","CD44s","CD24","TWIST1","ZEB1","MIR340","MIR190","MIR1199","MIR129","SNAIL1"
"GRHL2",0.368106978691461,0.368106978691461,0.330460946239214,0.30037156471508,0.30037156471508,0.30037156471508,0.291836532867947,0.291836532867947,0.391836532867947,0.190493668545917,-0.306326571331754,-0.30037156471508,-0.30037156471508,-0.30037156471508,-0.321925683640748,-0.349067964923972
"TGFB",0.402493871555577,0.402493871555577,0.38847572553379,0.292574712449722,0.292574712449722,0.292574712449722,0.285548148610819,0.285548148610819,0.285548148610819,0.151091430239123,-0.298945170004526,-0.292574712449722,-0.292574712449722,-0.292574712449722,-0.360256898431803,-0.440948543405839
"MIR34",0.402493871555577,0.402493871555577,0.38847572553379,0.292574712449722,0.292574712449722,0.292574712449722,0.285548148610819,0.285548148610819,0.285548148610819,0.151091430239123,-0.298945170004526,-0.292574712449722,-0.292574712449722,-0.292574712449722,-0.360256898431803,-0.440948543405839
"MIR200",0.413488571593756,0.413488571593756,0.484390157252572,0.266019355641577,0.266019355641577,0.266019355641577,0.25746239361626,0.25746239361626,0.25746239361626,0.18599286242787,-0.271940986286455,-0.266019355641577,-0.266019355641577,-0.266019355641577,-0.367450138138816,-0.423666853531123
"MIR340",0.276621219877497,0.276621219877497,0.243716187977587,0.217130384877203,0.217130384877203,0.217130384877203,0.208889093458341,0.208889093458341,0.208889093458341,0.169187165990067,-0.22228379566064,-0.217130384877203,-0.217130384877203,-0.217130384877203,-0.300713946273979,-0.326476312492455
"MIR1199",0.276621219877497,0.276621219877497,0.243716187977587,0.217130384877203,0.217130384877203,0.217130384877203,0.208889093458341,0.208889093458341,0.208889093458341,0.169187165990067,-0.22228379566064,-0.217130384877203,-0.217130384877203,-0.217130384877203,-0.300713946273979,-0.326476312492455
"CD44s",0.276621219877497,0.276621219877497,0.243716187977587,0.217130384877203,0.217130384877203,0.217130384877203,0.208889093458341,0.208889093458341,0.208889093458341,0.169187165990067,-0.22228379566064,-0.217130384877203,-0.217130384877203,-0.217130384877203,-0.300713946273979,-0.326476312492455
"CD24",0.276621219877497,0.276621219877497,0.243716187977587,0.217130384877203,0.217130384877203,0.217130384877203,0.208889093458341,0.208889093458341,0.208889093458341,0.169187165990067,-0.22228379566064,-0.217130384877203,-0.217130384877203,-0.217130384877203,-0.300713946273979,-0.326476312492455
"ESRP1",0.266821430625653,0.266821430625653,0.231832130006572,0.208889093458341,0.208889093458341,0.208889093458341,0.199474335188621,0.299474335188621,0.199474335188621,0.167086709369062,-0.217130384877203,-0.208889093458341,-0.208889093458341,-0.208889093458341,-0.290394311570782,-0.317204789313647
"MIR129",-0.145369798461407,-0.145369798461407,-0.114075171712403,-0.0560074211334932,-0.0560074211334932,-0.0560074211334932,-0.0545171081677704,-0.0545171081677704,-0.0545171081677704,0.0206501726121979,0.0567340560620826,0.0560074211334932,0.0560074211334932,0.0560074211334932,0.106612603446906,0.23363246350112
"TWIST1",-0.148049194827283,-0.148049194827283,-0.116132089153936,-0.0567340560620826,-0.0567340560620826,-0.0567340560620826,-0.0560074211334932,-0.0560074211334932,-0.0560074211334932,-0.0829063127434506,0.0588217387343164,0.0567340560620826,0.0567340560620826,0.0567340560620826,0.111033215531656,0.237131845963038
"ZEB1",-0.283365873505719,-0.283365873505719,-0.252919440010107,-0.22228379566064,-0.22228379566064,-0.22228379566064,-0.217130384877203,-0.217130384877203,-0.217130384877203,-0.171773641527618,0.125798107568555,0.22228379566064,0.22228379566064,0.22228379566064,0.307538502210407,0.334323919135242
"HAS2",-0.266821430625653,-0.266821430625653,-0.231832130006572,-0.208889093458341,-0.208889093458341,-0.208889093458341,-0.0994743351886209,-0.199474335188621,-0.199474335188621,-0.167086709369062,0.217130384877203,0.208889093458341,0.208889093458341,0.208889093458341,0.290394311570782,0.317204789313647
"HA",-0.276621219877497,-0.276621219877497,-0.243716187977587,-0.217130384877203,-0.217130384877203,-0.217130384877203,-0.208889093458341,-0.208889093458341,-0.208889093458341,-0.169187165990067,0.22228379566064,0.217130384877203,0.217130384877203,0.217130384877203,0.300713946273979,0.326476312492455
"MIR190",-0.391941370900955,-0.391941370900955,-0.477048508843415,-0.285548148610819,-0.285548148610819,-0.285548148610819,-0.276525592219842,-0.276525592219842,-0.276525592219842,-0.145152142953598,0.292574712449722,0.285548148610819,0.285548148610819,0.285548148610819,0.347454434727447,0.429713631613824
"SNAIL1",-0.410751413203483,-0.410751413203483,-0.397690742598636,-0.298945170004526,-0.298945170004526,-0.298945170004526,-0.292574712449722,-0.292574712449722,-0.292574712449722,-0.154024115241403,0.303643088775995,0.298945170004526,0.298945170004526,0.298945170004526,0.369662763801808,0.348886827841046
