"","MIR340","MIR190","MIR1199","HAS2","GRHL2","ESRP1","TGFB","MIR34","MIR200","MIR129","ZEB1","SNAIL1","TWIST1","HA","CD44s","CD24"
"MIR34",0.159716130925143,0.159716130925143,0.159716130925143,0.159716130925143,0.159716130925143,0.159716130925143,0.242697057017017,0.231732636313457,0.231732636313457,0.257538519474864,-0.15937774634371,-0.19373632214835,-0.257538519474864,-0.160658718757191,-0.160658718757191,-0.160658718757191
"HAS2",0.144137196863478,0.144137196863478,0.144137196863478,0.144137196863478,0.144137196863478,0.144137196863478,0.130851028619791,0.123263948251563,0.123263948251563,0.0798067501126325,-0.143882311561864,-0.0460976656478449,-0.0798067501126325,-0.245918367346939,-0.145918367346939,-0.145918367346939
"MIR340",0.143882311561864,0.143882311561864,0.143882311561864,0.143882311561864,0.143882311561864,0.143882311561864,0.129401753257472,0.123263948251563,0.123263948251563,0.0793501291080662,-0.143792946056949,-0.0463814877859717,-0.0793501291080662,-0.144137196863478,-0.144137196863478,-0.144137196863478
"MIR1199",0.143882311561864,0.143882311561864,0.143882311561864,0.143882311561864,0.143882311561864,0.143882311561864,0.129401753257472,0.123263948251563,0.123263948251563,0.0793501291080662,-0.143792946056949,-0.0463814877859717,-0.0793501291080662,-0.144137196863478,-0.144137196863478,-0.144137196863478
"CD44s",0.143882311561864,0.143882311561864,0.143882311561864,0.143882311561864,0.143882311561864,0.143882311561864,0.129401753257472,0.123263948251563,0.123263948251563,0.0793501291080662,-0.143792946056949,-0.0463814877859717,-0.0793501291080662,-0.144137196863478,-0.144137196863478,-0.144137196863478
"TWIST1",0.0133704825322799,0.0133704825322799,0.0133704825322799,0.0133704825322799,0.0133704825322799,0.0133704825322799,0.0827500876280021,0.11683078579273,0.11683078579273,0.0941251989383623,-0.0131791116206585,-0.2209177100762,-0.14782257908712,-0.0138465536923902,-0.0138465536923902,-0.0138465536923902
"MIR129",-0.0138465536923902,-0.0138465536923902,-0.0138465536923902,-0.0138465536923902,-0.0138465536923902,-0.0138465536923902,-0.0833418036043334,-0.117292750683398,-0.117292750683398,-0.0951453401886893,0.0133704825322799,0.220821648596854,0.0488686041917221,0.0139955849889625,0.0139955849889625,0.0139955849889625
"GRHL2",-0.0138353173364678,-0.0138353173364678,-0.0138353173364678,-0.0138353173364678,-0.0138353173364678,-0.0138353173364678,-0.0113694512902129,-0.0117289117019897,-0.0117289117019897,-0.0693092730211935,0.0138353173364678,0.0481515819455206,0.0693092730211935,0.0135805402664041,0.0135805402664041,-0.0864194597335959
"ZEB1",-0.143792946056949,-0.143792946056949,-0.143792946056949,-0.143792946056949,-0.143792946056949,-0.143792946056949,-0.129304192281863,-0.123318782833907,-0.123318782833907,-0.0793812914639404,0.0437012683550032,0.0468048026671179,0.0793812914639404,0.143882311561864,0.143882311561864,0.143882311561864
"HA",-0.143882311561864,-0.143882311561864,-0.143882311561864,-0.143882311561864,-0.143882311561864,-0.143882311561864,-0.129401753257472,-0.123263948251563,-0.123263948251563,-0.0793501291080662,0.143792946056949,0.0463814877859717,0.0793501291080662,0.144137196863478,0.144137196863478,0.144137196863478
"CD24",-0.143882311561864,-0.143882311561864,-0.143882311561864,-0.143882311561864,-0.143882311561864,-0.143882311561864,-0.129401753257472,-0.123263948251563,-0.123263948251563,-0.0793501291080662,0.143792946056949,0.0463814877859717,0.0793501291080662,0.144137196863478,0.144137196863478,0.144137196863478
"ESRP1",-0.144137196863478,-0.144137196863478,-0.144137196863478,-0.144137196863478,-0.144137196863478,-0.144137196863478,-0.130851028619791,-0.123263948251563,-0.123263948251563,-0.0798067501126325,0.143882311561864,0.0460976656478449,0.0798067501126325,0.145918367346939,0.0459183673469388,0.145918367346939
"SNAIL1",-0.15937774634371,-0.15937774634371,-0.15937774634371,-0.15937774634371,-0.15937774634371,-0.15937774634371,-0.241998210925679,-0.231795670982525,-0.231795670982525,-0.257492933697626,0.15930702498586,0.0943358904591667,0.257492933697626,0.159716130925143,0.159716130925143,0.159716130925143
"TGFB",-0.159716130925143,-0.159716130925143,-0.159716130925143,-0.159716130925143,-0.159716130925143,-0.159716130925143,-0.242697057017017,-0.231732636313457,-0.231732636313457,-0.257538519474864,0.15937774634371,0.19373632214835,0.257538519474864,0.160658718757191,0.160658718757191,0.160658718757191
"MIR190",-0.160658718757191,-0.160658718757191,-0.160658718757191,-0.160658718757191,-0.160658718757191,-0.160658718757191,-0.144261779634371,-0.232282518481564,-0.232282518481564,-0.25899034525577,0.159716130925143,0.193039943318267,0.25899034525577,0.161911851589271,0.161911851589271,0.161911851589271
"MIR200",-0.168341630000994,-0.168341630000994,-0.168341630000994,-0.168341630000994,-0.168341630000994,-0.168341630000994,-0.161454952529137,-0.258400730070169,-0.258400730070169,-0.223382753941635,0.167902339893807,0.17168783746202,0.223382753941635,0.168999857849095,0.168999857849095,0.168999857849095
