"","TWIST1","MIR129","MIR34","TGFB","CD44s","MIR340","MIR190","MIR1199","GRHL2","ESRP1","ZEB1","HAS2","HA","CD24","MIR200","SNAIL1"
"GRHL2",0.254835146018778,0.254835146018778,0.304457248840835,0.288125576320216,0.259494175206217,0.25414385673488,0.25414385673488,0.25414385673488,0.25414385673488,0.25414385673488,-0.250747297405369,-0.25414385673488,-0.259494175206217,-0.359494175206217,-0.304457248840835,-0.21850545657007
"SNAIL1",-0.146951625446076,-0.146951625446076,0.0299501319894554,0.055036013315633,0.205357298261433,0.204577542486827,0.204577542486827,0.204577542486827,0.204577542486827,0.204577542486827,-0.203789504499354,-0.204577542486827,-0.205357298261433,-0.205357298261433,-0.0299501319894554,-0.0516982042264745
"MIR200",-0.0296781389781201,-0.0296781389781201,0.0920162402369108,-0.0102367656251793,0.188927267432869,0.186547520597426,0.186547520597426,0.186547520597426,0.186547520597426,0.186547520597426,-0.184737645355816,-0.186547520597426,-0.188927267432869,-0.188927267432869,-0.0920162402369108,-0.0226797989516103
"HAS2",0.231222933928816,0.231222933928816,0.183888003142566,0.167376999831361,0.138188002473717,0.131317773466083,0.131317773466083,0.131317773466083,0.131317773466083,0.131317773466083,-0.126474952735412,-0.131317773466083,-0.0381880024737168,-0.138188002473717,-0.183888003142566,-0.193656331769279
"ESRP1",0.231222933928816,0.231222933928816,0.183888003142566,0.167376999831361,0.238188002473717,0.131317773466083,0.131317773466083,0.131317773466083,0.131317773466083,0.131317773466083,-0.126474952735412,-0.131317773466083,-0.138188002473717,-0.138188002473717,-0.183888003142566,-0.193656331769279
"MIR340",0.233140742147994,0.233140742147994,0.180621406725285,0.16322241045938,0.131317773466083,0.126474952735412,0.126474952735412,0.126474952735412,0.126474952735412,0.126474952735412,-0.12358546807649,-0.126474952735412,-0.131317773466083,-0.131317773466083,-0.180621406725285,-0.193561724389903
"MIR1199",0.233140742147994,0.233140742147994,0.180621406725285,0.16322241045938,0.131317773466083,0.126474952735412,0.126474952735412,0.126474952735412,0.126474952735412,0.126474952735412,-0.12358546807649,-0.126474952735412,-0.131317773466083,-0.131317773466083,-0.180621406725285,-0.193561724389903
"HA",0.233140742147994,0.233140742147994,0.180621406725285,0.16322241045938,0.131317773466083,0.126474952735412,0.126474952735412,0.126474952735412,0.126474952735412,0.126474952735412,-0.12358546807649,-0.126474952735412,-0.131317773466083,-0.131317773466083,-0.180621406725285,-0.193561724389903
"CD44s",0.233140742147994,0.233140742147994,0.180621406725285,0.16322241045938,0.131317773466083,0.126474952735412,0.126474952735412,0.126474952735412,0.126474952735412,0.126474952735412,-0.12358546807649,-0.126474952735412,-0.131317773466083,-0.131317773466083,-0.180621406725285,-0.193561724389903
"ZEB1",-0.233732826909602,-0.233732826909602,-0.178811865507957,-0.159352491760193,-0.126474952735412,-0.12358546807649,-0.12358546807649,-0.12358546807649,-0.12358546807649,-0.12358546807649,0.0220065743207605,0.12358546807649,0.126474952735412,0.126474952735412,0.178811865507957,0.192226654380135
"CD24",-0.233140742147994,-0.233140742147994,-0.180621406725285,-0.16322241045938,-0.131317773466083,-0.126474952735412,-0.126474952735412,-0.126474952735412,-0.126474952735412,-0.126474952735412,0.12358546807649,0.126474952735412,0.131317773466083,0.131317773466083,0.180621406725285,0.193561724389903
"TGFB",0.149398062157822,0.149398062157822,-0.0293287902514995,-0.0553448057745961,-0.205614367670173,-0.205357298261433,-0.205357298261433,-0.205357298261433,-0.205357298261433,-0.205357298261433,0.204577542486827,0.205357298261433,0.205614367670173,0.205614367670173,0.0293287902514995,-0.0480539742050548
"MIR34",0.149398062157822,0.149398062157822,-0.0293287902514995,-0.0553448057745961,-0.205614367670173,-0.205357298261433,-0.205357298261433,-0.205357298261433,-0.205357298261433,-0.205357298261433,0.204577542486827,0.205357298261433,0.205614367670173,0.205614367670173,0.0293287902514995,-0.0480539742050548
"MIR190",0.15111385626253,0.15111385626253,-0.0296691934984228,0.0477372236232228,-0.204361234838093,-0.205614367670173,-0.205614367670173,-0.205614367670173,-0.205614367670173,-0.205614367670173,0.205357298261433,0.205614367670173,0.204361234838093,0.204361234838093,0.0296691934984228,-0.0508859147807279
"TWIST1",0.11579369656887,0.246630715336836,-0.169160408383599,-0.218636701563695,-0.308921007655537,-0.307593019682598,-0.307593019682598,-0.307593019682598,-0.307593019682598,-0.307593019682598,0.306236025945646,0.307593019682598,0.308921007655537,0.308921007655537,0.169160408383599,0.0058583803688857
"MIR129",0.217676541757155,0.248540210497704,-0.170299921780581,-0.216692491927178,-0.309368101545254,-0.308921007655537,-0.308921007655537,-0.308921007655537,-0.308921007655537,-0.308921007655537,0.307593019682598,0.308921007655537,0.309368101545254,0.309368101545254,0.170299921780581,0.00310004360478525
