"","SNAIL1","MIR340","MIR190","MIR1199","GRHL2","ESRP1","MIR129","MIR34","ZEB1","HA","CD44s","CD24","HAS2","TWIST1","TGFB","MIR200"
"GRHL2",0.493614443563469,0.5589143379035,0.5589143379035,0.5589143379035,0.5589143379035,0.5589143379035,0.249000650903497,-0.298050266879283,-0.573294576103764,-0.528850643635984,-0.528850643635984,-0.628850643635984,-0.5589143379035,-0.427626589871492,-0.552160104621207,-0.597711514647268
"MIR340",0.474407530810303,0.401604622340158,0.401604622340158,0.401604622340158,0.401604622340158,0.401604622340158,0.229195584539017,-0.160693962143423,-0.4077708421793,-0.36379663593404,-0.36379663593404,-0.36379663593404,-0.401604622340158,-0.409101363745038,-0.406617594808793,-0.465885271013602
"MIR1199",0.474407530810303,0.401604622340158,0.401604622340158,0.401604622340158,0.401604622340158,0.401604622340158,0.229195584539017,-0.160693962143423,-0.4077708421793,-0.36379663593404,-0.36379663593404,-0.36379663593404,-0.401604622340158,-0.409101363745038,-0.406617594808793,-0.465885271013602
"HA",0.474407530810303,0.401604622340158,0.401604622340158,0.401604622340158,0.401604622340158,0.401604622340158,0.229195584539017,-0.160693962143423,-0.4077708421793,-0.36379663593404,-0.36379663593404,-0.36379663593404,-0.401604622340158,-0.409101363745038,-0.406617594808793,-0.465885271013602
"CD44s",0.474407530810303,0.401604622340158,0.401604622340158,0.401604622340158,0.401604622340158,0.401604622340158,0.229195584539017,-0.160693962143423,-0.4077708421793,-0.36379663593404,-0.36379663593404,-0.36379663593404,-0.401604622340158,-0.409101363745038,-0.406617594808793,-0.465885271013602
"HAS2",0.451607152380786,0.36379663593404,0.36379663593404,0.36379663593404,0.36379663593404,0.36379663593404,0.220154488648606,-0.148365195020135,-0.401604622340158,-0.256926406926407,-0.356926406926407,-0.356926406926407,-0.36379663593404,-0.385996340913988,-0.392607932973044,-0.431322573437205
"SNAIL1",0.310069636142263,0.267476131573239,0.267476131573239,0.267476131573239,0.267476131573239,0.267476131573239,0.139343246941006,0.091091533477087,-0.272840851718723,-0.258428022113183,-0.258428022113183,-0.258428022113183,-0.267476131573239,-0.33960683835293,-0.367270128812738,-0.381830975130173
"MIR190",0.392053990879462,0.249859041821838,0.249859041821838,0.249859041821838,0.249859041821838,0.249859041821838,0.132728609607986,0.09309785297795,-0.258428022113183,-0.234821447836876,-0.234821447836876,-0.234821447836876,-0.249859041821838,-0.321472911096439,-0.442225088391373,-0.36228725672134
"TWIST1",-0.178791363432604,0.0181392795626056,0.0181392795626056,0.0181392795626056,0.0181392795626056,0.0181392795626056,0.00490597627656494,-0.104843393075346,-0.0152339211770802,-0.013153060569872,-0.013153060569872,-0.013153060569872,-0.0181392795626056,0.0855017192013936,0.0505124877592903,0.0791604707189181
"MIR129",0.179491239924987,-0.013153060569872,-0.013153060569872,-0.013153060569872,-0.013153060569872,-0.013153060569872,-0.00472287400086523,0.102040806071958,0.0181392795626056,0.0186672185430464,0.0186672185430464,0.0186672185430464,0.013153060569872,-0.185658622967084,-0.0463704759249708,-0.0824866179317299
"TGFB",-0.402035420777326,-0.258428022113183,-0.258428022113183,-0.258428022113183,-0.258428022113183,-0.258428022113183,-0.136380171420568,-0.0927574497310267,0.267476131573239,0.249859041821838,0.249859041821838,0.249859041821838,0.258428022113183,0.331811670445317,0.357730067054247,0.372420799533595
"MIR34",-0.402035420777326,-0.258428022113183,-0.258428022113183,-0.258428022113183,-0.258428022113183,-0.258428022113183,-0.136380171420568,-0.0927574497310267,0.267476131573239,0.249859041821838,0.249859041821838,0.249859041821838,0.258428022113183,0.331811670445317,0.357730067054247,0.372420799533595
"ZEB1",-0.49254494533326,-0.4077708421793,-0.4077708421793,-0.4077708421793,-0.4077708421793,-0.4077708421793,-0.236331764034187,0.155667458761957,0.330109642220045,0.401604622340158,0.401604622340158,0.401604622340158,0.4077708421793,0.427206692507893,0.442422472857574,0.478478946758438
"MIR200",-0.490803185498905,-0.386513321730545,-0.386513321730545,-0.386513321730545,-0.386513321730545,-0.386513321730545,-0.212112895756018,0.0500802210590218,0.393664964675546,0.357905726793836,0.357905726793836,0.357905726793836,0.386513321730545,0.414825444350994,0.583560793293572,0.524734802505243
"ESRP1",-0.451607152380786,-0.36379663593404,-0.36379663593404,-0.36379663593404,-0.36379663593404,-0.36379663593404,-0.220154488648606,0.148365195020135,0.401604622340158,0.356926406926407,0.256926406926407,0.356926406926407,0.36379663593404,0.385996340913988,0.392607932973044,0.431322573437205
"CD24",-0.474407530810303,-0.401604622340158,-0.401604622340158,-0.401604622340158,-0.401604622340158,-0.401604622340158,-0.229195584539017,0.160693962143423,0.4077708421793,0.36379663593404,0.36379663593404,0.36379663593404,0.401604622340158,0.409101363745038,0.406617594808793,0.465885271013602
