"","TWIST1","MIR34","MIR200","ZEB1","MIR190","HAS2","GRHL2","HA","CD44s","CD24","MIR340","MIR1199","ESRP1","TGFB","SNAIL1","MIR129"
"ZEB1",-0.163720810595677,-0.0806948234957547,-0.0806948234957547,-0.0727666081654851,-0.0265509022755865,-0.0265509022755865,-0.0265509022755865,0.0255083047182437,0.0255083047182437,0.0255083047182437,0.0265509022755865,0.0265509022755865,0.0265509022755865,0.0582013367106215,0.124669683384972,0.163720810595677
"TGFB",-0.180639083430914,-0.0609074738921749,-0.0609074738921749,-0.0630032839339223,0.0627825983373356,0.0627825983373356,0.0627825983373356,-0.0638965657752105,-0.0638965657752105,-0.0638965657752105,-0.0627825983373356,-0.0627825983373356,-0.0627825983373356,0.0514617894716335,0.083248031590595,0.180639083430914
"SNAIL1",-0.180502326099201,-0.060286132154219,-0.060286132154219,-0.062972974780558,0.0630032839339223,0.0630032839339223,0.0630032839339223,-0.0627825983373356,-0.0627825983373356,-0.0627825983373356,-0.0630032839339223,-0.0630032839339223,-0.0630032839339223,0.0530707607051781,-0.0156567569616474,0.180502326099201
"GRHL2",-0.115443044050491,0.0104226654905765,0.0104226654905765,-0.0290787888275993,0.0302256789908105,0.0302256789908105,0.0302256789908105,-0.0303530675258424,-0.0303530675258424,-0.130353067525842,-0.0302256789908105,-0.0302256789908105,-0.0302256789908105,-0.019557952744633,0.0872656255305409,0.115443044050491
"MIR1199",0.163253375257565,0.0800916430899788,0.0800916430899788,-0.0265509022755865,0.0255083047182437,0.0255083047182437,0.0255083047182437,-0.0269526547607246,-0.0269526547607246,-0.0269526547607246,-0.0255083047182437,-0.0255083047182437,-0.0255083047182437,-0.0591444261415158,-0.124995310216623,-0.163253375257565
"HA",0.163253375257565,0.0800916430899788,0.0800916430899788,-0.0265509022755865,0.0255083047182437,0.0255083047182437,0.0255083047182437,-0.0269526547607246,-0.0269526547607246,-0.0269526547607246,-0.0255083047182437,-0.0255083047182437,-0.0255083047182437,-0.0591444261415158,-0.124995310216623,-0.163253375257565
"CD44s",0.163253375257565,0.0800916430899788,0.0800916430899788,-0.0265509022755865,0.0255083047182437,0.0255083047182437,0.0255083047182437,-0.0269526547607246,-0.0269526547607246,-0.0269526547607246,-0.0255083047182437,-0.0255083047182437,-0.0255083047182437,-0.0591444261415158,-0.124995310216623,-0.163253375257565
"ESRP1",0.16170086384204,0.0807238875578397,0.0807238875578397,-0.0255083047182437,0.0269526547607246,0.0269526547607246,0.0269526547607246,-0.0317872603586889,0.0682127396413111,-0.0317872603586889,-0.0269526547607246,-0.0269526547607246,-0.0269526547607246,-0.0617531217936897,-0.125089917595998,-0.16170086384204
"MIR129",-0.313915470494418,-0.0287396776088136,-0.0287396776088136,-0.0109738128583502,0.0113496585110688,0.0113496585110688,0.0113496585110688,-0.00941225165562914,-0.00941225165562914,-0.00941225165562914,-0.0113496585110688,-0.0113496585110688,-0.0113496585110688,0.0154199729378727,0.099748808156,0.347552209406294
"TWIST1",0.216478232000694,0.0303103582370858,0.0303103582370858,0.011026004925156,-0.0109738128583502,-0.0109738128583502,-0.0109738128583502,0.0113496585110688,0.0113496585110688,0.0113496585110688,0.0109738128583502,0.0109738128583502,0.0109738128583502,-0.0132503476913244,-0.0986372396092729,-0.350089483798133
"HAS2",-0.16170086384204,-0.0807238875578397,-0.0807238875578397,0.0255083047182437,-0.0269526547607246,-0.0269526547607246,-0.0269526547607246,-0.0682127396413111,0.0317872603586889,0.0317872603586889,0.0269526547607246,0.0269526547607246,0.0269526547607246,0.0617531217936897,0.125089917595998,0.16170086384204
"MIR340",-0.163253375257565,-0.0800916430899788,-0.0800916430899788,0.0265509022755865,-0.0255083047182437,-0.0255083047182437,-0.0255083047182437,0.0269526547607246,0.0269526547607246,0.0269526547607246,0.0255083047182437,0.0255083047182437,0.0255083047182437,0.0591444261415158,0.124995310216623,0.163253375257565
"CD24",-0.163253375257565,-0.0800916430899788,-0.0800916430899788,0.0265509022755865,-0.0255083047182437,-0.0255083047182437,-0.0255083047182437,0.0269526547607246,0.0269526547607246,0.0269526547607246,0.0255083047182437,0.0255083047182437,0.0255083047182437,0.0591444261415158,0.124995310216623,0.163253375257565
"MIR200",0.0786531989732796,0.0135110645253312,0.0135110645253312,0.0521771727838353,-0.0520190283452481,-0.0520190283452481,-0.0520190283452481,0.0525759903705645,0.0525759903705645,0.0525759903705645,0.0520190283452481,0.0520190283452481,0.0520190283452481,-0.127959697914048,-0.0287949947362416,-0.0786531989732796
"MIR190",0.178659321002405,0.058995978736375,0.058995978736375,0.0627825983373356,-0.0638965657752105,-0.0638965657752105,-0.0638965657752105,0.0631446860759624,0.0631446860759624,0.0631446860759624,0.0638965657752105,0.0638965657752105,0.0638965657752105,-0.153121343762767,-0.0845015134847454,-0.178659321002405
"MIR34",0.180639083430914,0.0609074738921749,0.0609074738921749,0.0630032839339223,-0.0627825983373356,-0.0627825983373356,-0.0627825983373356,0.0638965657752105,0.0638965657752105,0.0638965657752105,0.0627825983373356,0.0627825983373356,0.0627825983373356,-0.0514617894716335,-0.083248031590595,-0.180639083430914
