"","MIR34","HA","CD24","MIR340","MIR190","MIR1199","HAS2","ESRP1","ZEB1","SNAIL1","TWIST1","MIR129","GRHL2","CD44s","MIR200","TGFB"
"TWIST1",0.0696118102551159,0.161339163812701,0.161339163812701,0.163970083381731,0.163970083381731,0.163970083381731,0.163970083381731,0.163970083381731,-0.161847605998293,-0.0243568138523088,0.0876246260515534,-0.204429110268827,-0.163970083381731,-0.161339163812701,-0.0696118102551159,-0.0995382601428743
"HAS2",0.0880587418125895,0.157637600494743,0.0576376004947434,0.0721414172886365,0.0721414172886365,0.0721414172886365,0.0721414172886365,0.0721414172886365,-0.0778338556913553,-0.0133503548845533,-0.0187509275038687,-0.0187509275038687,-0.0721414172886365,-0.0576376004947434,-0.0880587418125895,-0.0645604114163952
"HA",0.0845813972393545,0.0721414172886365,0.0721414172886365,0.0778338556913553,0.0778338556913553,0.0778338556913553,0.0778338556913553,0.0778338556913553,-0.0730379069275781,-0.0174184721977037,-0.0343673658600331,-0.0343673658600331,-0.0778338556913553,-0.0721414172886365,-0.0845813972393545,-0.0824348075516609
"CD44s",0.0845813972393545,0.0721414172886365,0.0721414172886365,0.0778338556913553,0.0778338556913553,0.0778338556913553,0.0778338556913553,0.0778338556913553,-0.0730379069275781,-0.0174184721977037,-0.0343673658600331,-0.0343673658600331,-0.0778338556913553,-0.0721414172886365,-0.0845813972393545,-0.0824348075516609
"CD24",0.0845813972393545,0.0721414172886365,0.0721414172886365,0.0778338556913553,0.0778338556913553,0.0778338556913553,0.0778338556913553,0.0778338556913553,-0.0730379069275781,-0.0174184721977037,-0.0343673658600331,-0.0343673658600331,-0.0778338556913553,-0.0721414172886365,-0.0845813972393545,-0.0824348075516609
"MIR200",-0.00265999818529067,0.0680569372565593,0.0680569372565593,0.0725632663704834,0.0725632663704834,0.0725632663704834,0.0725632663704834,0.0725632663704834,-0.0713508256746479,-0.0611170957999852,-0.0560583330919164,-0.0560583330919164,-0.0725632663704834,-0.0680569372565593,0.00265999818529067,0.114272647659686
"TGFB",-0.021370384474989,0.0506918418064797,0.0506918418064797,0.0546335727404986,0.0546335727404986,0.0546335727404986,0.0546335727404986,0.0546335727404986,-0.052382579655314,-0.00846846213547661,-0.0287911688313593,-0.0287911688313593,-0.0546335727404986,-0.0506918418064797,0.021370384474989,0.0333025342309096
"MIR34",-0.021370384474989,0.0506918418064797,0.0506918418064797,0.0546335727404986,0.0546335727404986,0.0546335727404986,0.0546335727404986,0.0546335727404986,-0.052382579655314,-0.00846846213547661,-0.0287911688313593,-0.0287911688313593,-0.0546335727404986,-0.0506918418064797,0.021370384474989,0.0333025342309096
"ZEB1",-0.0800666832930924,-0.0778338556913553,-0.0778338556913553,-0.0730379069275781,-0.0730379069275781,-0.0730379069275781,-0.0730379069275781,-0.0730379069275781,-0.0286224781187701,0.00914755067377014,0.0317185656107342,0.0317185656107342,0.0730379069275781,0.0778338556913553,0.0800666832930924,0.0824673278768641
"GRHL2",-0.0221663232055985,-0.0158194388508525,-0.115819438850852,-0.0151824961756932,-0.0151824961756932,-0.0151824961756932,-0.0151824961756932,-0.0151824961756932,0.0202111684297735,-0.0347039518721635,-0.0454460538520123,-0.0454460538520123,0.0151824961756932,0.0158194388508525,0.0221663232055985,0.0148988929806997
"SNAIL1",0.0265482322912879,-0.0546335727404986,-0.0546335727404986,-0.052382579655314,-0.052382579655314,-0.052382579655314,-0.052382579655314,-0.052382579655314,0.0521502094795209,-0.0950729880204111,0.0343678289134137,0.0343678289134137,0.052382579655314,0.0546335727404986,-0.0265482322912879,-0.0292232233256601
"MIR190",0.0255337780335121,-0.0479349495759033,-0.0479349495759033,-0.0506918418064797,-0.0506918418064797,-0.0506918418064797,-0.0506918418064797,-0.0506918418064797,0.0546335727404986,-0.00132726674103221,0.0263714591965155,0.0263714591965155,0.0506918418064797,0.0479349495759033,-0.0255337780335121,-0.1392295138421
"MIR340",-0.0845813972393545,-0.0721414172886365,-0.0721414172886365,-0.0778338556913553,-0.0778338556913553,-0.0778338556913553,-0.0778338556913553,-0.0778338556913553,0.0730379069275781,0.0174184721977037,0.0343673658600331,0.0343673658600331,0.0778338556913553,0.0721414172886365,0.0845813972393545,0.0824348075516609
"MIR1199",-0.0845813972393545,-0.0721414172886365,-0.0721414172886365,-0.0778338556913553,-0.0778338556913553,-0.0778338556913553,-0.0778338556913553,-0.0778338556913553,0.0730379069275781,0.0174184721977037,0.0343673658600331,0.0343673658600331,0.0778338556913553,0.0721414172886365,0.0845813972393545,0.0824348075516609
"ESRP1",-0.0880587418125895,-0.0576376004947434,-0.0576376004947434,-0.0721414172886365,-0.0721414172886365,-0.0721414172886365,-0.0721414172886365,-0.0721414172886365,0.0778338556913553,0.0133503548845533,0.0187509275038687,0.0187509275038687,0.0721414172886365,-0.0423623995052566,0.0880587418125895,0.0645604114163952
"MIR129",-0.0694270242988485,-0.156123068432671,-0.156123068432671,-0.161339163812701,-0.161339163812701,-0.161339163812701,-0.161339163812701,-0.161339163812701,0.163970083381731,0.0192106631730169,-0.193430065382097,0.198595994914393,0.161339163812701,0.156123068432671,0.0694270242988485,0.0918459524505666
