"","MIR340","MIR190","MIR1199","GRHL2","ESRP1","HA","CD44s","MIR200","SNAIL1","MIR34","TWIST1","TGFB","MIR129","ZEB1","CD24","HAS2"
"GRHL2",0.442216157580916,0.442216157580916,0.442216157580916,0.442216157580916,0.442216157580916,0.431005966498113,0.431005966498113,0.435871110429151,0.250951676062641,0.294602682698529,0.144553464001634,-0.0398500477933858,-0.238669240210938,-0.44993561060253,-0.531005966498113,-0.442216157580916
"MIR340",0.352815791885187,0.352815791885187,0.352815791885187,0.352815791885187,0.352815791885187,0.342535418053412,0.342535418053412,0.328063956994506,0.227171468496508,0.19675318775395,0.124925129986854,-0.0375937466615657,-0.218082005558234,-0.359637358760373,-0.342535418053412,-0.352815791885187
"MIR1199",0.352815791885187,0.352815791885187,0.352815791885187,0.352815791885187,0.352815791885187,0.342535418053412,0.342535418053412,0.328063956994506,0.227171468496508,0.19675318775395,0.124925129986854,-0.0375937466615657,-0.218082005558234,-0.359637358760373,-0.342535418053412,-0.352815791885187
"HA",0.352815791885187,0.352815791885187,0.352815791885187,0.352815791885187,0.352815791885187,0.342535418053412,0.342535418053412,0.328063956994506,0.227171468496508,0.19675318775395,0.124925129986854,-0.0375937466615657,-0.218082005558234,-0.359637358760373,-0.342535418053412,-0.352815791885187
"CD44s",0.352815791885187,0.352815791885187,0.352815791885187,0.352815791885187,0.352815791885187,0.342535418053412,0.342535418053412,0.328063956994506,0.227171468496508,0.19675318775395,0.124925129986854,-0.0375937466615657,-0.218082005558234,-0.359637358760373,-0.342535418053412,-0.352815791885187
"ESRP1",0.342535418053412,0.342535418053412,0.342535418053412,0.342535418053412,0.342535418053412,0.328540507111936,0.428540507111936,0.318896412210523,0.222251884768977,0.193170469102739,0.12282467336585,-0.0349850510093918,-0.212145932498874,-0.352815791885187,-0.328540507111936,-0.342535418053412
"TWIST1",0.301614123928583,0.301614123928583,0.301614123928583,0.301614123928583,0.301614123928583,0.297680272763461,0.297680272763461,0.288054742289977,0.271057339094032,0.0327012000670218,0.0145271463985278,-0.0833154206827789,-0.283570674406534,-0.304328111402487,-0.297680272763461,-0.301614123928583
"MIR129",0.297680272763461,0.297680272763461,0.297680272763461,0.297680272763461,0.297680272763461,0.292166114790287,0.292166114790287,0.284543809120897,0.269122386438618,0.0313769007137727,0.113742627570076,-0.0823292273888933,-0.28134728963018,-0.301614123928583,-0.292166114790287,-0.297680272763461
"SNAIL1",0.195359994772328,0.195359994772328,0.195359994772328,0.195359994772328,0.195359994772328,0.19305015219472,0.19305015219472,0.292097020988799,0.187963072984941,-0.0863581932479821,0.0952029659221709,-0.158350383139031,-0.251305634179287,-0.196936070747273,-0.19305015219472,-0.195359994772328
"MIR34",0.19305015219472,0.19305015219472,0.19305015219472,0.19305015219472,0.19305015219472,0.189879629486923,0.189879629486923,0.290034886815003,0.286835884560606,-0.0871236142295219,0.0947319128907167,-0.157781554925152,-0.250014037157557,-0.195359994772328,-0.189879629486923,-0.19305015219472
"MIR190",-0.189879629486923,-0.189879629486923,-0.189879629486923,-0.189879629486923,-0.189879629486923,-0.185117724725018,-0.185117724725018,-0.287180736513878,-0.285164575368406,0.0881448239702917,-0.0941599815224809,0.25697548569803,0.248210253611583,0.19305015219472,0.185117724725018,0.189879629486923
"TGFB",-0.19305015219472,-0.19305015219472,-0.19305015219472,-0.19305015219472,-0.19305015219472,-0.189879629486923,-0.189879629486923,-0.290034886815003,-0.286835884560606,0.0871236142295219,-0.0947319128907167,0.157781554925152,0.250014037157557,0.195359994772328,0.189879629486923,0.19305015219472
"MIR200",-0.204758956724602,-0.204758956724602,-0.204758956724602,-0.204758956724602,-0.204758956724602,-0.200556425079033,-0.200556425079033,-0.0737225764179977,0.0706703334469815,-0.25261917437548,0.0487771536665746,-0.194156561305622,-0.0983207326222889,0.20748255538916,0.200556425079033,0.204758956724602
"ZEB1",-0.359637358760373,-0.359637358760373,-0.359637358760373,-0.359637358760373,-0.359637358760373,-0.352815791885187,-0.352815791885187,-0.334150595634609,-0.230785926327833,-0.199037962018253,-0.126140461865944,0.039317323897338,0.222039624754246,0.2645370226088,0.352815791885187,0.359637358760373
"HAS2",-0.342535418053412,-0.342535418053412,-0.342535418053412,-0.342535418053412,-0.342535418053412,-0.428540507111936,-0.328540507111936,-0.318896412210523,-0.222251884768977,-0.193170469102739,-0.12282467336585,0.0349850510093918,0.212145932498874,0.352815791885187,0.328540507111936,0.342535418053412
"CD24",-0.352815791885187,-0.352815791885187,-0.352815791885187,-0.352815791885187,-0.352815791885187,-0.342535418053412,-0.342535418053412,-0.328063956994506,-0.227171468496508,-0.19675318775395,-0.124925129986854,0.0375937466615657,0.218082005558234,0.359637358760373,0.342535418053412,0.352815791885187
