"","CD44s","CD24","MIR340","MIR190","MIR1199","ESRP1","MIR34","TGFB","TWIST1","SNAIL1","ZEB1","MIR129","MIR200","HAS2","GRHL2","HA"
"TWIST1",0.235289636403115,0.235289636403115,0.2360663840854,0.2360663840854,0.2360663840854,0.2360663840854,0.107907273560469,0.165931659946714,0.15438555287497,0.0370920444819247,-0.235875013173779,-0.284590860829067,-0.132249070801421,-0.2360663840854,-0.2360663840854,-0.235289636403115
"GRHL2",0.222627660685252,0.122627660685252,0.223264603360412,0.223264603360412,0.223264603360412,0.223264603360412,0.211503852905928,0.21969968480249,0.0732026517087623,0.0513145444807361,-0.223044047559794,-0.0732026517087623,-0.2192985598041,-0.223264603360412,-0.223264603360412,-0.222627660685252
"ESRP1",0.244124922696351,0.144124922696351,0.142343752212891,0.142343752212891,0.142343752212891,0.142343752212891,0.136901752134339,0.11844580931802,0.0558313451254628,0.0261692232606354,-0.143788102255372,-0.0558313451254628,-0.10814975854246,-0.142343752212891,-0.142343752212891,-0.144124922696351
"MIR340",0.142343752212891,0.142343752212891,0.143788102255372,0.143788102255372,0.143788102255372,0.143788102255372,0.138903859615899,0.118349190960532,0.0546441305135906,0.0269260822956402,-0.142983812711136,-0.0546441305135906,-0.107939010386506,-0.143788102255372,-0.143788102255372,-0.142343752212891
"MIR1199",0.142343752212891,0.142343752212891,0.143788102255372,0.143788102255372,0.143788102255372,0.143788102255372,0.138903859615899,0.118349190960532,0.0546441305135906,0.0269260822956402,-0.142983812711136,-0.0546441305135906,-0.107939010386506,-0.143788102255372,-0.143788102255372,-0.142343752212891
"CD44s",0.142343752212891,0.142343752212891,0.143788102255372,0.143788102255372,0.143788102255372,0.143788102255372,0.138903859615899,0.118349190960532,0.0546441305135906,0.0269260822956402,-0.142983812711136,-0.0546441305135906,-0.107939010386506,-0.143788102255372,-0.143788102255372,-0.142343752212891
"MIR200",0.136771644675545,0.136771644675545,0.137227340878077,0.137227340878077,0.137227340878077,0.137227340878077,0.0348414286837192,0.121124162646917,0.12880207045036,0.0796344578817626,-0.136893480396615,-0.12880207045036,-0.212248844181203,-0.137227340878077,-0.137227340878077,-0.136771644675545
"MIR34",0.0900127571058404,0.0900127571058404,0.0903555163174942,0.0903555163174942,0.0903555163174942,0.0903555163174942,-0.0189526733214406,0.138180585901846,0.129548654511814,0.0302215473408226,-0.0905467771678694,-0.129548654511814,-0.11220739077098,-0.0903555163174942,-0.0903555163174942,-0.0900127571058404
"SNAIL1",0.0903555163174942,0.0903555163174942,0.0905467771678694,0.0905467771678694,0.0905467771678694,0.0905467771678694,-0.0185834702597567,0.138554387299538,0.12925994458931,-0.0693867346961109,-0.090375025298805,-0.12925994458931,-0.11207231648012,-0.0905467771678694,-0.0905467771678694,-0.0903555163174942
"ZEB1",-0.143788102255372,-0.143788102255372,-0.142983812711136,-0.142983812711136,-0.142983812711136,-0.142983812711136,-0.138117897268979,-0.118771955188175,-0.0547376175812129,-0.0270888957114656,0.0431569817036996,0.0547376175812129,0.107737950251248,0.142983812711136,0.142983812711136,0.143788102255372
"MIR190",-0.0910152633715046,-0.0910152633715046,-0.0900127571058404,-0.0900127571058404,-0.0900127571058404,-0.0900127571058404,0.0189788581865886,-0.0387021601076311,-0.129152702026112,-0.0308715009155672,0.0903555163174942,0.129152702026112,0.111814617793761,0.0900127571058404,0.0900127571058404,0.0910152633715046
"TGFB",-0.0900127571058404,-0.0900127571058404,-0.0903555163174942,-0.0903555163174942,-0.0903555163174942,-0.0903555163174942,0.0189526733214406,-0.138180585901846,-0.129548654511814,-0.0302215473408226,0.0905467771678694,0.129548654511814,0.11220739077098,0.0903555163174942,0.0903555163174942,0.0900127571058404
"HA",-0.142343752212891,-0.142343752212891,-0.143788102255372,-0.143788102255372,-0.143788102255372,-0.143788102255372,-0.138903859615899,-0.118349190960532,-0.0546441305135906,-0.0269260822956402,0.142983812711136,0.0546441305135906,0.107939010386506,0.143788102255372,0.143788102255372,0.142343752212891
"CD24",-0.142343752212891,-0.142343752212891,-0.143788102255372,-0.143788102255372,-0.143788102255372,-0.143788102255372,-0.138903859615899,-0.118349190960532,-0.0546441305135906,-0.0269260822956402,0.142983812711136,0.0546441305135906,0.107939010386506,0.143788102255372,0.143788102255372,0.142343752212891
"HAS2",-0.144124922696351,-0.144124922696351,-0.142343752212891,-0.142343752212891,-0.142343752212891,-0.142343752212891,-0.136901752134339,-0.11844580931802,-0.0558313451254628,-0.0261692232606354,0.143788102255372,0.0558313451254628,0.10814975854246,0.142343752212891,0.142343752212891,0.244124922696351
"MIR129",-0.235885761589404,-0.235885761589404,-0.235289636403115,-0.235289636403115,-0.235289636403115,-0.235289636403115,-0.107075736757266,-0.165847129092952,-0.254594757895891,-0.0369959830025779,0.2360663840854,0.284826278040681,0.13212588016391,0.235289636403115,0.235289636403115,0.235885761589404
