"","HA","CD44s","MIR190","MIR1199","GRHL2","ESRP1","MIR34","MIR200","MIR129","TWIST1","TGFB","ZEB1","SNAIL1","MIR340","HAS2","CD24"
"TWIST1",0.167646913440123,0.167646913440123,0.169526141703716,0.169526141703716,0.169526141703716,0.169526141703716,0.0751458595638926,0.0751458595638926,0.0167412779823621,0.00440812001789481,0.00341505645465011,-0.167595035231899,-0.022446360752642,-0.169526141703716,-0.169526141703716,-0.167646913440123
"ESRP1",0.106338899196042,0.206338899196042,0.10862897553192,0.10862897553192,0.10862897553192,0.10862897553192,0.100718262958248,0.100718262958248,0.0856764255352491,0.0515110536522301,0.00341927623874885,-0.109903402039991,-0.0644326536941523,-0.10862897553192,-0.10862897553192,-0.106338899196042
"MIR340",0.10862897553192,0.10862897553192,0.109903402039991,0.109903402039991,0.109903402039991,0.109903402039991,0.101455881504086,0.101455881504086,0.083758617316071,0.0526982682641023,0.00216323759140586,-0.108682073472818,-0.0663248012816642,-0.109903402039991,-0.109903402039991,-0.10862897553192
"MIR1199",0.10862897553192,0.10862897553192,0.109903402039991,0.109903402039991,0.109903402039991,0.109903402039991,0.101455881504086,0.101455881504086,0.083758617316071,0.0526982682641023,0.00216323759140586,-0.108682073472818,-0.0663248012816642,-0.109903402039991,-0.109903402039991,-0.10862897553192
"HA",0.10862897553192,0.10862897553192,0.109903402039991,0.109903402039991,0.109903402039991,0.109903402039991,0.101455881504086,0.101455881504086,0.083758617316071,0.0526982682641023,0.00216323759140586,-0.108682073472818,-0.0663248012816642,-0.109903402039991,-0.109903402039991,-0.10862897553192
"CD44s",0.10862897553192,0.10862897553192,0.109903402039991,0.109903402039991,0.109903402039991,0.109903402039991,0.101455881504086,0.101455881504086,0.083758617316071,0.0526982682641023,0.00216323759140586,-0.108682073472818,-0.0663248012816642,-0.109903402039991,-0.109903402039991,-0.10862897553192
"CD24",0.10862897553192,0.10862897553192,0.109903402039991,0.109903402039991,0.109903402039991,0.109903402039991,0.101455881504086,0.101455881504086,0.083758617316071,0.0526982682641023,0.00216323759140586,-0.108682073472818,-0.0663248012816642,-0.109903402039991,-0.109903402039991,-0.10862897553192
"MIR190",0.0233801869005235,0.0233801869005235,0.0278914650960122,0.0278914650960122,0.0278914650960122,0.0278914650960122,0.0622037841296246,0.0622037841296246,-0.0613483628726708,-0.0155431502403087,0.037693974414093,-0.0290054325338871,-0.00429289460870316,-0.0278914650960122,-0.0278914650960122,-0.0233801869005235
"TGFB",0.0278914650960122,0.0278914650960122,0.0290054325338871,0.0290054325338871,0.0290054325338871,0.0290054325338871,0.0625441873765478,0.0625441873765478,-0.0634161147424464,-0.0130354511641978,-0.0640604115508193,-0.0271369611494528,-0.00703198467369851,-0.0290054325338871,-0.0290054325338871,-0.0278914650960122
"SNAIL1",0.0290054325338871,0.0290054325338871,0.0271369611494528,0.0271369611494528,0.0271369611494528,0.0271369611494528,0.0603379739591683,0.0603379739591683,-0.0607569444035922,-0.0105282334161352,-0.0638491324999498,-0.0270763428427242,-0.106032704155671,-0.0271369611494528,-0.0271369611494528,-0.0290054325338871
"GRHL2",0.00532960427201265,0.00532960427201265,0.00571176987710819,0.00571176987710819,0.00571176987710819,0.00571176987710819,-0.00182778197024032,-0.00182778197024032,0.0708143885255708,0.0533889684345609,0.00235891901614281,-0.00447665739364987,-0.0585259990257735,-0.00571176987710819,-0.00571176987710819,-0.105329604272013
"ZEB1",-0.109903402039991,-0.109903402039991,-0.108682073472818,-0.108682073472818,-0.108682073472818,-0.108682073472818,-0.0999753477808174,-0.0999753477808174,-0.0854102221773985,-0.0545991719724226,-0.00219575791660911,0.00850890448025429,0.0659014864005179,0.108682073472818,0.108682073472818,0.109903402039991
"MIR34",-0.0278914650960122,-0.0278914650960122,-0.0290054325338871,-0.0290054325338871,-0.0290054325338871,-0.0290054325338871,-0.0625441873765478,-0.0625441873765478,0.0634161147424464,0.0130354511641978,0.0640604115508193,0.0271369611494528,0.00703198467369851,0.0290054325338871,0.0290054325338871,0.0278914650960122
"MIR200",-0.0914681777394694,-0.0914681777394694,-0.0940504562204821,-0.0940504562204821,-0.0940504562204821,-0.0940504562204821,-0.178693398031323,-0.178693398031323,0.0514577728426887,0.0273464503191679,-0.0141540352138008,0.09378688215617,-0.0132838386540671,0.0940504562204821,0.0940504562204821,0.0914681777394694
"HAS2",-0.206338899196042,-0.106338899196042,-0.10862897553192,-0.10862897553192,-0.10862897553192,-0.10862897553192,-0.100718262958248,-0.100718262958248,-0.0856764255352491,-0.0515110536522301,-0.00341927623874885,0.109903402039991,0.0644326536941523,0.10862897553192,0.10862897553192,0.106338899196042
"MIR129",-0.163623068432671,-0.163623068432671,-0.167646913440123,-0.167646913440123,-0.167646913440123,-0.167646913440123,-0.0740063461669108,-0.0740063461669108,-0.019801701733343,-0.102629877340071,-0.00535926609116744,0.169526141703716,0.0193312242081106,0.167646913440123,0.167646913440123,0.163623068432671
