"","MIR129","ZEB1","MIR34","MIR200","MIR340","MIR190","MIR1199","HAS2","ESRP1","HA","CD44s","CD24","GRHL2","TGFB","SNAIL1","TWIST1"
"GRHL2",0.168649908438653,-0.0972132484065721,0.141467868371775,0.141467868371775,0.0834946776081601,0.0834946776081601,0.0834946776081601,0.0834946776081601,0.0834946776081601,-0.07865391327695,-0.07865391327695,0.0213460867230501,-0.0834946776081601,-0.11305788359252,-0.13036126903466,-0.168649908438653
"ZEB1",-0.144008608197628,-0.0782283727561335,-0.0686720140966469,-0.0686720140966469,-0.0263249531071649,-0.0263249531071649,-0.0263249531071649,-0.0263249531071649,-0.0263249531071649,0.0127711848617076,0.0127711848617076,0.0127711848617076,0.0263249531071649,0.042162633625347,0.105282944247356,0.144008608197628
"SNAIL1",-0.18233639222892,-0.0556256133521122,-0.0655013398321504,-0.0655013398321504,0.0544738655242682,0.0544738655242682,0.0544738655242682,0.0544738655242682,0.0544738655242682,-0.0518697754845448,-0.0518697754845448,-0.0518697754845448,-0.0544738655242682,0.0610165512859483,-0.0131575380922706,0.18233639222892
"TGFB",-0.182138853860891,-0.0544738655242682,-0.0672753155187781,-0.0672753155187781,0.0518697754845448,0.0518697754845448,0.0518697754845448,0.0518697754845448,0.0518697754845448,-0.0540120205573812,-0.0540120205573812,-0.0540120205573812,-0.0518697754845448,0.0587249861957484,0.0852995727878957,0.182138853860891
"CD44s",0.147031356717416,-0.0263249531071649,0.0621466987977984,0.0621466987977984,0.0127711848617076,0.0127711848617076,0.0127711848617076,0.0127711848617076,0.0127711848617076,0.00141743026148697,0.00141743026148697,0.00141743026148697,-0.0127711848617076,-0.0323089750887617,-0.104012999603918,-0.147031356717416
"CD24",0.147031356717416,-0.0263249531071649,0.0621466987977984,0.0621466987977984,0.0127711848617076,0.0127711848617076,0.0127711848617076,0.0127711848617076,0.0127711848617076,0.00141743026148697,0.00141743026148697,0.00141743026148697,-0.0127711848617076,-0.0323089750887617,-0.104012999603918,-0.147031356717416
"TWIST1",-0.346846878275382,-0.0133119201846427,-0.0256354103748907,-0.0256354103748907,0.0152952187232649,0.0152952187232649,0.0152952187232649,0.0152952187232649,0.0152952187232649,-0.0197301974253445,-0.0197301974253445,-0.0197301974253445,-0.0152952187232649,0.0058225419445663,0.0943420665749902,0.213290547219699
"HAS2",0.146940032516503,-0.0127711848617076,0.0549812614953748,0.0549812614953748,-0.00141743026148697,-0.00141743026148697,-0.00141743026148697,-0.00141743026148697,-0.00141743026148697,-0.1217377860235,-0.0217377860235003,-0.0217377860235003,0.00141743026148697,-0.0474780572143655,-0.108648761193322,-0.146940032516503
"ESRP1",-0.146940032516503,0.0127711848617076,-0.0549812614953748,-0.0549812614953748,0.00141743026148697,0.00141743026148697,0.00141743026148697,0.00141743026148697,0.00141743026148697,0.0217377860235003,-0.0782622139764997,0.0217377860235003,-0.00141743026148697,0.0474780572143655,0.108648761193322,0.146940032516503
"MIR129",0.344885068178599,0.0152952187232649,0.0220936795464337,0.0220936795464337,-0.0197301974253445,-0.0197301974253445,-0.0197301974253445,-0.0197301974253445,-0.0197301974253445,0.0160044150110375,0.0160044150110375,0.0160044150110375,0.0197301974253445,-0.00917559914377735,-0.0962221269564915,-0.311303099520954
"MIR340",-0.147031356717416,0.0263249531071649,-0.0621466987977984,-0.0621466987977984,-0.0127711848617076,-0.0127711848617076,-0.0127711848617076,-0.0127711848617076,-0.0127711848617076,-0.00141743026148697,-0.00141743026148697,-0.00141743026148697,0.0127711848617076,0.0323089750887617,0.104012999603918,0.147031356717416
"MIR1199",-0.147031356717416,0.0263249531071649,-0.0621466987977984,-0.0621466987977984,-0.0127711848617076,-0.0127711848617076,-0.0127711848617076,-0.0127711848617076,-0.0127711848617076,-0.00141743026148697,-0.00141743026148697,-0.00141743026148697,0.0127711848617076,0.0323089750887617,0.104012999603918,0.147031356717416
"HA",-0.147031356717416,0.0263249531071649,-0.0621466987977984,-0.0621466987977984,-0.0127711848617076,-0.0127711848617076,-0.0127711848617076,-0.0127711848617076,-0.0127711848617076,-0.00141743026148697,-0.00141743026148697,-0.00141743026148697,0.0127711848617076,0.0323089750887617,0.104012999603918,0.147031356717416
"MIR200",0.0874960798154044,0.0427937153517736,0.030137274200975,0.030137274200975,-0.0356772156153477,-0.0356772156153477,-0.0356772156153477,-0.0356772156153477,-0.0356772156153477,0.0292468358685122,0.0292468358685122,0.0292468358685122,0.0356772156153477,-0.149557249619846,-0.0404550777396739,-0.0874960798154044
"MIR190",0.180687028079984,0.0518697754845448,0.0648924927903151,0.0648924927903151,-0.0540120205573812,-0.0540120205573812,-0.0540120205573812,-0.0540120205573812,-0.0540120205573812,0.059024551885702,0.059024551885702,0.059024551885702,0.0540120205573812,-0.156401610188162,-0.0857638253412848,-0.180687028079984
"MIR34",0.182138853860891,0.0544738655242682,0.0672753155187781,0.0672753155187781,-0.0518697754845448,-0.0518697754845448,-0.0518697754845448,-0.0518697754845448,-0.0518697754845448,0.0540120205573812,0.0540120205573812,0.0540120205573812,0.0518697754845448,-0.0587249861957484,-0.0852995727878957,-0.182138853860891
