"","MIR129","MIR34","MIR340","MIR1199","HAS2","ESRP1","MIR200","TGFB","ZEB1","HA","CD44s","CD24","MIR190","GRHL2","SNAIL1","TWIST1"
"MIR129",0.36493079404753,0.184968177393919,0.274336346035537,0.274336346035537,0.274336346035537,0.274336346035537,0.101632339160101,0.0252634186285738,-0.271454862698028,-0.266139624724062,-0.266139624724062,-0.266139624724062,-0.274336346035537,-0.274336346035537,-0.116975822889496,-0.331193389111444
"TGFB",0.207183851710846,0.169954712086129,0.125811421575179,0.125811421575179,0.125811421575179,0.125811421575179,-0.0371229567279921,0.102938468862695,-0.128768608569441,-0.12932470349463,-0.12932470349463,-0.12932470349463,-0.125811421575179,-0.125811421575179,-0.115808648184839,-0.207183851710846
"MIR34",0.207183851710846,0.169954712086129,0.125811421575179,0.125811421575179,0.125811421575179,0.125811421575179,-0.0371229567279921,0.102938468862695,-0.128768608569441,-0.12932470349463,-0.12932470349463,-0.12932470349463,-0.125811421575179,-0.125811421575179,-0.115808648184839,-0.207183851710846
"MIR1199",0.149283371154765,0.138905648575401,0.10978260385205,0.10978260385205,0.10978260385205,0.10978260385205,0.0987834830715272,0.00827230975215806,-0.112076318478204,-0.110377336222483,-0.110377336222483,-0.110377336222483,-0.10978260385205,-0.10978260385205,-0.11518708986857,-0.149283371154765
"HA",0.149283371154765,0.138905648575401,0.10978260385205,0.10978260385205,0.10978260385205,0.10978260385205,0.0987834830715272,0.00827230975215806,-0.112076318478204,-0.110377336222483,-0.110377336222483,-0.110377336222483,-0.10978260385205,-0.10978260385205,-0.11518708986857,-0.149283371154765
"CD44s",0.149283371154765,0.138905648575401,0.10978260385205,0.10978260385205,0.10978260385205,0.10978260385205,0.0987834830715272,0.00827230975215806,-0.112076318478204,-0.110377336222483,-0.110377336222483,-0.110377336222483,-0.10978260385205,-0.10978260385205,-0.11518708986857,-0.149283371154765
"CD24",0.149283371154765,0.138905648575401,0.10978260385205,0.10978260385205,0.10978260385205,0.10978260385205,0.0987834830715272,0.00827230975215806,-0.112076318478204,-0.110377336222483,-0.110377336222483,-0.110377336222483,-0.10978260385205,-0.10978260385205,-0.11518708986857,-0.149283371154765
"MIR200",-0.0958827332590801,0.00294880719730786,0.0931886835015189,0.0931886835015189,0.0931886835015189,0.0931886835015189,0.19389385111893,-0.199860167602634,-0.0959825685832268,-0.0974924809698733,-0.0974924809698733,-0.0974924809698733,-0.0931886835015189,-0.0931886835015189,0.0447929276386855,0.0958827332590801
"ZEB1",-0.148628961681409,-0.138997039545973,-0.112076318478204,-0.112076318478204,-0.112076318478204,-0.112076318478204,-0.101506933994576,-0.0102560495895564,0.0108845083529116,0.10978260385205,0.10978260385205,0.10978260385205,0.112076318478204,0.112076318478204,0.117629291105952,0.148628961681409
"GRHL2",-0.106803400527763,-0.0307017971706323,-0.0134214617407334,-0.0134214617407334,-0.0134214617407334,-0.0134214617407334,-0.0013632776310311,-0.00565104084955756,0.0152741304659209,0.0143131814859564,0.0143131814859564,0.114313181485956,0.0134214617407334,0.0134214617407334,0.0821607235828799,0.106803400527763
"HAS2",-0.14462583690819,-0.136060548470027,-0.110377336222483,-0.110377336222483,-0.110377336222483,-0.110377336222483,-0.102366201722739,-0.010881005404332,0.10978260385205,0.00859616573902288,0.108596165739023,0.108596165739023,0.110377336222483,0.110377336222483,0.118592955526091,0.14462583690819
"ESRP1",-0.14462583690819,-0.136060548470027,-0.110377336222483,-0.110377336222483,-0.110377336222483,-0.110377336222483,-0.102366201722739,-0.010881005404332,0.10978260385205,0.108596165739023,0.00859616573902288,0.108596165739023,0.110377336222483,0.110377336222483,0.118592955526091,0.14462583690819
"MIR340",-0.149283371154765,-0.138905648575401,-0.10978260385205,-0.10978260385205,-0.10978260385205,-0.10978260385205,-0.0987834830715272,-0.00827230975215806,0.112076318478204,0.110377336222483,0.110377336222483,0.110377336222483,0.10978260385205,0.10978260385205,0.11518708986857,0.149283371154765
"MIR190",-0.207315835872746,-0.173489668881102,-0.12932470349463,-0.12932470349463,-0.12932470349463,-0.12932470349463,0.0363635956387017,-0.201089251224004,0.125811421575179,0.119550267404405,0.119550267404405,0.119550267404405,0.12932470349463,0.12932470349463,0.110655444842221,0.207315835872746
"SNAIL1",-0.210511613449183,-0.17376380708838,-0.128768608569441,-0.128768608569441,-0.128768608569441,-0.128768608569441,0.0373120607351961,-0.102077100424535,0.12813211634879,0.125811421575179,0.125811421575179,0.125811421575179,0.128768608569441,0.128768608569441,0.0132424958145461,0.210511613449183
"TWIST1",-0.36736343856754,-0.183890259315693,-0.271454862698028,-0.271454862698028,-0.271454862698028,-0.271454862698028,-0.0991685264098697,-0.0253479494823354,0.274829949684806,0.274336346035537,0.274336346035537,0.274336346035537,0.271454862698028,0.271454862698028,0.119075452366647,0.23365154810726
