"","MIR340","MIR1199","GRHL2","CD44s","MIR200","ZEB1","TWIST1","MIR129","SNAIL1","TGFB","HA","CD24","MIR190","HAS2","ESRP1","MIR34"
"HA",0.0616812194080613,0.0616812194080613,0.0616812194080613,0.0631255694505422,0.04952117563062,-0.0620088929260833,0.0328114768927017,0.0328114768927017,-0.0181670758045773,-0.0530876355322956,-0.0631255694505422,-0.0631255694505422,-0.0616812194080613,-0.0616812194080613,-0.0616812194080613,-0.0833825717216476
"CD44s",0.0616812194080613,0.0616812194080613,0.0616812194080613,0.0631255694505422,0.04952117563062,-0.0620088929260833,0.0328114768927017,0.0328114768927017,-0.0181670758045773,-0.0530876355322956,-0.0631255694505422,-0.0631255694505422,-0.0616812194080613,-0.0616812194080613,-0.0616812194080613,-0.0833825717216476
"CD24",0.0616812194080613,0.0616812194080613,0.0616812194080613,0.0631255694505422,0.04952117563062,-0.0620088929260833,0.0328114768927017,0.0328114768927017,-0.0181670758045773,-0.0530876355322956,-0.0631255694505422,-0.0631255694505422,-0.0616812194080613,-0.0616812194080613,-0.0616812194080613,-0.0833825717216476
"HAS2",0.0631255694505422,0.0631255694505422,0.0631255694505422,0.0659245516388373,0.0515232831121795,-0.0616812194080613,0.0339986915045739,0.0339986915045739,-0.0180724684252018,-0.0551166210395419,0.0340754483611626,-0.0659245516388373,-0.0631255694505422,-0.0631255694505422,-0.0631255694505422,-0.083171823565694
"ZEB1",-0.0620088929260833,-0.0620088929260833,-0.0620088929260833,-0.0616812194080613,-0.0497587921541074,-0.0371660077564062,-0.0332789122308133,-0.0332789122308133,0.0183298892204028,0.0512990176461167,0.0616812194080613,0.0616812194080613,0.0620088929260833,0.0620088929260833,0.0620088929260833,0.0835470754686774
"TGFB",0.0210959993870201,0.0210959993870201,0.0210959993870201,0.0209246197811932,0.0693239953726295,-0.0211107117601259,0.0340031754881797,0.0340031754881797,-0.01345399446289,-0.0872110337964706,-0.0209246197811932,-0.0209246197811932,-0.0210959993870201,-0.0210959993870201,-0.0210959993870201,0.0457580151434681
"MIR190",0.0209246197811932,0.0209246197811932,0.0209246197811932,0.0229296323125215,0.0697691380801445,-0.0210959993870201,0.0351910329452849,0.0351910329452849,-0.0132218681861955,0.0115087386075124,-0.0229296323125215,-0.0229296323125215,-0.0209246197811932,-0.0209246197811932,-0.0209246197811932,0.0464126367721667
"MIR129",0.00944267887867931,0.00944267887867931,0.00944267887867931,0.00899558498896247,-0.00126728113544845,-0.00891649496487325,-0.141098200045568,0.0728716010920744,0.0210853031545175,-0.00287407044765836,-0.00899558498896247,-0.00899558498896247,-0.00944267887867931,-0.00944267887867931,-0.00944267887867931,-0.0153120824368403
"TWIST1",-0.00891649496487325,-0.00891649496487325,-0.00891649496487325,-0.00944267887867931,0.00148286475109367,0.00905567380968884,0.0405751874932672,-0.0734209079191736,-0.0212911491816892,0.00301495520392773,0.00944267887867931,0.00944267887867931,0.00891649496487325,0.00891649496487325,0.00891649496487325,0.0148809152055499
"GRHL2",-0.0207468528860132,-0.0207468528860132,-0.0207468528860132,-0.0203646872809176,-0.0233277529314913,0.020129296644284,0.0406147900204172,0.0406147900204172,-0.0342431888684942,0.0228821606769297,0.0203646872809176,-0.0796353127190823,0.0207468528860132,0.0207468528860132,0.0207468528860132,0.0182732572556214
"MIR34",-0.0210959993870201,-0.0210959993870201,-0.0210959993870201,-0.0209246197811932,-0.0693239953726295,0.0211107117601259,-0.0340031754881797,-0.0340031754881797,0.01345399446289,0.0872110337964706,0.0209246197811932,0.0209246197811932,0.0210959993870201,0.0210959993870201,0.0210959993870201,-0.0457580151434681
"SNAIL1",-0.0211107117601259,-0.0211107117601259,-0.0211107117601259,-0.0210959993870201,-0.0694230498525934,0.0214441124471334,-0.0345654000741089,-0.0345654000741089,-0.0864260918749468,0.0869997547456011,0.0210959993870201,0.0210959993870201,0.0211107117601259,0.0211107117601259,0.0211107117601259,-0.0458390597179841
"MIR200",-0.0501512058422419,-0.0501512058422419,-0.0501512058422419,-0.0518220919181913,-0.15559791274319,0.050414779906554,-0.0586993644015886,-0.0586993644015886,0.0668932816956583,0.0550383350107194,0.0518220919181913,0.0518220919181913,0.0501512058422419,0.0501512058422419,0.0501512058422419,-0.0145608134035915
"ESRP1",-0.0631255694505422,-0.0631255694505422,-0.0631255694505422,-0.165924551638837,-0.0515232831121795,0.0616812194080613,-0.0339986915045739,-0.0339986915045739,0.0180724684252018,0.0551166210395419,0.0659245516388373,0.0659245516388373,0.0631255694505422,0.0631255694505422,0.0631255694505422,0.083171823565694
"MIR340",-0.0616812194080613,-0.0616812194080613,-0.0616812194080613,-0.0631255694505422,-0.04952117563062,0.0620088929260833,-0.0328114768927017,-0.0328114768927017,0.0181670758045773,0.0530876355322956,0.0631255694505422,0.0631255694505422,0.0616812194080613,0.0616812194080613,0.0616812194080613,0.0833825717216476
"MIR1199",-0.0616812194080613,-0.0616812194080613,-0.0616812194080613,-0.0631255694505422,-0.04952117563062,0.0620088929260833,-0.0328114768927017,-0.0328114768927017,0.0181670758045773,0.0530876355322956,0.0631255694505422,0.0631255694505422,0.0616812194080613,0.0616812194080613,0.0616812194080613,0.0833825717216476
