"","MIR34","MIR200","MIR340","MIR1199","GRHL2","HA","TGFB","MIR129","ZEB1","TWIST1","SNAIL1","CD44s","CD24","MIR190","HAS2","ESRP1"
"MIR34",0.390316099878066,0.390316099878066,0.340178999961171,0.340178999961171,0.340178999961171,0.333409505531008,-0.169775013754049,-0.114339324827133,-0.344725123250858,-0.289087501173376,-0.340502008617371,-0.333409505531008,-0.333409505531008,-0.340178999961171,-0.340178999961171,-0.340178999961171
"MIR190",0.383848438186523,0.383848438186523,0.333409505531008,0.333409505531008,0.333409505531008,0.322883189741535,-0.2677361327678,-0.112535541281159,-0.340178999961171,-0.28464403438939,-0.336045184104836,-0.322883189741535,-0.322883189741535,-0.333409505531008,-0.333409505531008,-0.333409505531008
"MIR200",0.398917318199073,0.398917318199073,0.296343910865381,0.296343910865381,0.296343910865381,0.287989480485634,-0.243817103434902,-0.146055567049833,-0.300859813167261,-0.290143107010349,-0.318511367419595,-0.287989480485634,-0.287989480485634,-0.296343910865381,-0.296343910865381,-0.296343910865381
"MIR340",0.244131366880667,0.244131366880667,0.219787009669194,0.219787009669194,0.219787009669194,0.212905106525608,-0.033208759667883,-0.116631745584526,-0.222736071331392,-0.202292730744947,-0.206177798031056,-0.212905106525608,-0.212905106525608,-0.219787009669194,-0.219787009669194,-0.219787009669194
"MIR1199",0.244131366880667,0.244131366880667,0.219787009669194,0.219787009669194,0.219787009669194,0.212905106525608,-0.033208759667883,-0.116631745584526,-0.222736071331392,-0.202292730744947,-0.206177798031056,-0.212905106525608,-0.212905106525608,-0.219787009669194,-0.219787009669194,-0.219787009669194
"HA",0.244131366880667,0.244131366880667,0.219787009669194,0.219787009669194,0.219787009669194,0.212905106525608,-0.033208759667883,-0.116631745584526,-0.222736071331392,-0.202292730744947,-0.206177798031056,-0.212905106525608,-0.212905106525608,-0.219787009669194,-0.219787009669194,-0.219787009669194
"CD44s",0.244131366880667,0.244131366880667,0.219787009669194,0.219787009669194,0.219787009669194,0.212905106525608,-0.033208759667883,-0.116631745584526,-0.222736071331392,-0.202292730744947,-0.206177798031056,-0.212905106525608,-0.212905106525608,-0.219787009669194,-0.219787009669194,-0.219787009669194
"CD24",0.244131366880667,0.244131366880667,0.219787009669194,0.219787009669194,0.219787009669194,0.212905106525608,-0.033208759667883,-0.116631745584526,-0.222736071331392,-0.202292730744947,-0.206177798031056,-0.212905106525608,-0.212905106525608,-0.219787009669194,-0.219787009669194,-0.219787009669194
"ESRP1",0.237598174046104,0.237598174046104,0.212905106525608,0.212905106525608,0.212905106525608,0.208070500927644,-0.0315662475905884,-0.114896585767174,-0.219787009669194,-0.197817844900198,-0.203055754511662,-0.108070500927644,-0.208070500927644,-0.212905106525608,-0.212905106525608,-0.212905106525608
"TWIST1",0.146195133853949,0.146195133853949,0.0733282468590751,0.0733282468590751,0.0733282468590751,0.0717998078713527,-0.0683235585738493,-0.148590010380596,-0.0746678432404252,-0.185835661835881,-0.209556616567858,-0.0717998078713527,-0.0717998078713527,-0.0733282468590751,-0.0733282468590751,-0.0733282468590751
"MIR129",0.144686048544432,0.144686048544432,0.0717998078713527,0.0717998078713527,0.0717998078713527,0.0676269315673289,-0.0679009043050411,-0.147779128873926,-0.0733282468590751,-0.0848419379865083,-0.208033355966788,-0.0676269315673289,-0.0676269315673289,-0.0717998078713527,-0.0717998078713527,-0.0717998078713527
"ZEB1",-0.247147268909546,-0.247147268909546,-0.222736071331392,-0.222736071331392,-0.222736071331392,-0.219787009669194,0.0346071336516229,0.117161505634385,0.125802181140906,0.204941530994246,0.208750250001099,0.219787009669194,0.219787009669194,0.222736071331392,0.222736071331392,0.222736071331392
"HAS2",-0.237598174046104,-0.237598174046104,-0.212905106525608,-0.212905106525608,-0.212905106525608,-0.308070500927644,0.0315662475905884,0.114896585767174,0.219787009669194,0.197817844900198,0.203055754511662,0.208070500927644,0.208070500927644,0.212905106525608,0.212905106525608,0.212905106525608
"TGFB",-0.390316099878066,-0.390316099878066,-0.340178999961171,-0.340178999961171,-0.340178999961171,-0.333409505531008,0.169775013754049,0.114339324827133,0.344725123250858,0.289087501173376,0.340502008617371,0.333409505531008,0.333409505531008,0.340178999961171,0.340178999961171,0.340178999961171
"SNAIL1",-0.394827581192789,-0.394827581192789,-0.344725123250858,-0.344725123250858,-0.344725123250858,-0.340178999961171,0.171221462640771,0.115722093403337,0.34782675994514,0.292627996538822,0.243547815636317,0.340178999961171,0.340178999961171,0.344725123250858,0.344725123250858,0.344725123250858
"GRHL2",-0.367426006101514,-0.367426006101514,-0.348206407106897,-0.348206407106897,-0.348206407106897,-0.341836980355305,0.0359511635157927,0.136199199931691,0.352176411518013,0.223104468333681,0.230086906145743,0.341836980355305,0.241836980355305,0.348206407106897,0.348206407106897,0.348206407106897
