"","MIR190","MIR1199","HAS2","ESRP1","HA","CD44s","CD24","MIR34","MIR200","TWIST1","SNAIL1","MIR129","ZEB1","TGFB","MIR340","GRHL2"
"HA",0.194998373959635,0.194998373959635,0.194998373959635,0.194998373959635,0.19865172994944,0.19865172994944,0.19865172994944,0.166327402955013,0.166327402955013,0.0536696424177488,0.0213751628976507,-0.0536696424177488,-0.198721936664431,-0.183544984672068,-0.194998373959635,-0.194998373959635
"CD44s",0.194998373959635,0.194998373959635,0.194998373959635,0.194998373959635,0.19865172994944,0.19865172994944,0.19865172994944,0.166327402955013,0.166327402955013,0.0536696424177488,0.0213751628976507,-0.0536696424177488,-0.198721936664431,-0.183544984672068,-0.194998373959635,-0.194998373959635
"CD24",0.194998373959635,0.194998373959635,0.194998373959635,0.194998373959635,0.19865172994944,0.19865172994944,0.19865172994944,0.166327402955013,0.166327402955013,0.0536696424177488,0.0213751628976507,-0.0536696424177488,-0.198721936664431,-0.183544984672068,-0.194998373959635,-0.194998373959635
"HAS2",0.19865172994944,0.19865172994944,0.19865172994944,0.19865172994944,0.3004329004329,0.2004329004329,0.2004329004329,0.172228351321715,0.172228351321715,0.0482815145638675,0.0276192499364397,-0.0482815145638675,-0.194998373959635,-0.185187496749363,-0.19865172994944,-0.19865172994944
"ESRP1",0.19865172994944,0.19865172994944,0.19865172994944,0.19865172994944,0.2004329004329,0.3004329004329,0.2004329004329,0.172228351321715,0.172228351321715,0.0482815145638675,0.0276192499364397,-0.0482815145638675,-0.194998373959635,-0.185187496749363,-0.19865172994944,-0.19865172994944
"SNAIL1",0.13187207236151,0.13187207236151,0.13187207236151,0.13187207236151,0.133917092223214,0.133917092223214,0.133917092223214,0.0192932177013763,0.0192932177013763,0.095859093248268,-0.10404408247061,-0.095859093248268,-0.132437843224311,-0.0262874950280656,-0.13187207236151,-0.13187207236151
"TGFB",0.133917092223214,0.133917092223214,0.133917092223214,0.133917092223214,0.132031916559118,0.132031916559118,0.132031916559118,0.0220757480930917,0.0220757480930917,0.0942635910449554,-0.00355643357781234,-0.0942635910449554,-0.13187207236151,-0.0238009031216785,-0.133917092223214,-0.133917092223214
"MIR34",0.133917092223214,0.133917092223214,0.133917092223214,0.133917092223214,0.132031916559118,0.132031916559118,0.132031916559118,0.0220757480930917,0.0220757480930917,0.0942635910449554,-0.00355643357781234,-0.0942635910449554,-0.13187207236151,-0.0238009031216785,-0.133917092223214,-0.133917092223214
"TWIST1",0.0230948570772808,0.0230948570772808,0.0230948570772808,0.0230948570772808,0.0244228450502199,0.0244228450502199,0.0244228450502199,0.0186177057708316,0.0186177057708316,0.00637220033197332,-0.0128780306658487,-0.0339517638297606,-0.0250781556159029,-0.022378900566894,-0.0230948570772808,-0.0230948570772808
"MIR129",-0.0244228450502199,-0.0244228450502199,-0.0244228450502199,-0.0244228450502199,-0.027105408388521,-0.027105408388521,-0.027105408388521,-0.0208659349054174,-0.0208659349054174,-0.103861740080927,0.00915907910828042,0.0314668043738359,0.0230948570772808,0.025281126546043,0.0244228450502199,0.0244228450502199
"ZEB1",-0.198721936664431,-0.198721936664431,-0.198721936664431,-0.198721936664431,-0.194998373959635,-0.194998373959635,-0.194998373959635,-0.171024898842419,-0.171024898842419,-0.0513947904389392,-0.0210169733828346,0.0513947904389392,0.098467276381249,0.178504334265564,0.198721936664431,0.198721936664431
"MIR190",-0.132031916559118,-0.132031916559118,-0.132031916559118,-0.132031916559118,-0.129024397762126,-0.129024397762126,-0.129024397762126,-0.0192215977919658,-0.0192215977919658,-0.0971232478861345,0.00750258028161921,0.0971232478861345,0.133917092223214,-0.0792811262761404,0.132031916559118,0.132031916559118
"MIR200",-0.189515627316414,-0.189515627316414,-0.189515627316414,-0.189515627316414,-0.190477652632869,-0.190477652632869,-0.190477652632869,-0.0710139977835716,-0.0710139977835716,-0.111085187236658,-0.0580807843998562,0.111085187236658,0.192485228440996,-0.0200321779974792,0.189515627316414,0.189515627316414
"MIR340",-0.194998373959635,-0.194998373959635,-0.194998373959635,-0.194998373959635,-0.19865172994944,-0.19865172994944,-0.19865172994944,-0.166327402955013,-0.166327402955013,-0.0536696424177488,-0.0213751628976507,0.0536696424177488,0.198721936664431,0.183544984672068,0.194998373959635,0.194998373959635
"MIR1199",-0.194998373959635,-0.194998373959635,-0.194998373959635,-0.194998373959635,-0.19865172994944,-0.19865172994944,-0.19865172994944,-0.166327402955013,-0.166327402955013,-0.0536696424177488,-0.0213751628976507,0.0536696424177488,0.198721936664431,0.183544984672068,0.194998373959635,0.194998373959635
"GRHL2",-0.262616095084698,-0.262616095084698,-0.262616095084698,-0.262616095084698,-0.265800808460494,-0.265800808460494,-0.365800808460494,-0.23738793897745,-0.23738793897745,-0.0708125859414684,-0.0487136085358928,0.0708125859414684,0.264424652649762,0.252456884049539,0.262616095084698,0.262616095084698
