"","TWIST1","MIR34","MIR200","CD24","MIR1199","HAS2","GRHL2","ESRP1","MIR129","ZEB1","TGFB","MIR340","MIR190","HA","CD44s","SNAIL1"
"MIR200",0.269696168480114,0.31500667740085,0.31500667740085,0.165281725201283,0.169180459378498,0.169180459378498,0.169180459378498,0.169180459378498,0.135055446938756,-0.167722016222638,-0.238516402750188,-0.169180459378498,-0.169180459378498,-0.165281725201283,-0.165281725201283,-0.289188442545168
"MIR34",0.261351804642026,0.280187064111294,0.280187064111294,0.16618479254561,0.166270482348524,0.166270482348524,0.166270482348524,0.166270482348524,0.0998964501041542,-0.166991388630707,-0.161788523566267,-0.166270482348524,-0.166270482348524,-0.16618479254561,-0.16618479254561,-0.301240753327952
"MIR190",0.260075957743654,0.2794800727523,0.2794800727523,0.164179780014282,0.16618479254561,0.16618479254561,0.16618479254561,0.16618479254561,0.0995004976184525,-0.166270482348524,-0.260982454339145,-0.16618479254561,-0.16618479254561,-0.164179780014282,-0.164179780014282,-0.30003369668914
"MIR1199",0.184995617329219,0.173808713333798,0.173808713333798,0.110831008322829,0.11601367612232,0.11601367612232,0.11601367612232,0.11601367612232,0.107230747227524,-0.113481653483058,-0.0288924562811149,-0.11601367612232,-0.11601367612232,-0.110831008322829,-0.110831008322829,-0.181768297874045
"HA",0.184995617329219,0.173808713333798,0.173808713333798,0.110831008322829,0.11601367612232,0.11601367612232,0.11601367612232,0.11601367612232,0.107230747227524,-0.113481653483058,-0.0288924562811149,-0.11601367612232,-0.11601367612232,-0.110831008322829,-0.110831008322829,-0.181768297874045
"CD44s",0.184995617329219,0.173808713333798,0.173808713333798,0.110831008322829,0.11601367612232,0.11601367612232,0.11601367612232,0.11601367612232,0.107230747227524,-0.113481653483058,-0.0288924562811149,-0.11601367612232,-0.11601367612232,-0.110831008322829,-0.110831008322829,-0.181768297874045
"ZEB1",-0.185400727955583,-0.172218510445843,-0.172218510445843,-0.11601367612232,-0.113481653483058,-0.113481653483058,-0.113481653483058,-0.113481653483058,-0.106638662465916,0.0155087493371891,0.0295753831103832,0.113481653483058,0.113481653483058,0.11601367612232,0.11601367612232,0.182810303735328
"MIR340",-0.184995617329219,-0.173808713333798,-0.173808713333798,-0.110831008322829,-0.11601367612232,-0.11601367612232,-0.11601367612232,-0.11601367612232,-0.107230747227524,0.113481653483058,0.0288924562811149,0.11601367612232,0.11601367612232,0.110831008322829,0.110831008322829,0.181768297874045
"CD24",-0.184995617329219,-0.173808713333798,-0.173808713333798,-0.110831008322829,-0.11601367612232,-0.11601367612232,-0.11601367612232,-0.11601367612232,-0.107230747227524,0.113481653483058,0.0288924562811149,0.11601367612232,0.11601367612232,0.110831008322829,0.110831008322829,0.181768297874045
"HAS2",-0.183443105913694,-0.169488376136748,-0.169488376136748,-0.117192331478046,-0.110831008322829,-0.110831008322829,-0.110831008322829,-0.110831008322829,-0.105860884213825,0.11601367612232,0.028795837923627,0.110831008322829,0.110831008322829,0.0171923314780458,0.117192331478046,0.181862905253421
"ESRP1",-0.183443105913694,-0.169488376136748,-0.169488376136748,-0.117192331478046,-0.110831008322829,-0.110831008322829,-0.110831008322829,-0.110831008322829,-0.105860884213825,0.11601367612232,0.028795837923627,0.110831008322829,0.110831008322829,0.117192331478046,0.0171923314780458,0.181862905253421
"TGFB",-0.261351804642026,-0.280187064111294,-0.280187064111294,-0.16618479254561,-0.166270482348524,-0.166270482348524,-0.166270482348524,-0.166270482348524,-0.0998964501041542,0.166991388630707,0.161788523566267,0.166270482348524,0.166270482348524,0.16618479254561,0.16618479254561,0.301240753327952
"SNAIL1",-0.262278715445855,-0.281096564336418,-0.281096564336418,-0.166270482348524,-0.166991388630707,-0.166991388630707,-0.166991388630707,-0.166991388630707,-0.100245941062975,0.16701159473295,0.162194829433323,0.166991388630707,0.166991388630707,0.166270482348524,0.166270482348524,0.201776367685614
"TWIST1",-0.23103578969717,-0.244433036809328,-0.244433036809328,-0.227074956491415,-0.228252606203267,-0.228252606203267,-0.228252606203267,-0.228252606203267,-0.171352787360499,0.228009043224839,0.0829500710052696,0.228252606203267,0.228252606203267,0.227074956491415,0.227074956491415,0.2670383515267
"MIR129",-0.130094367103028,-0.243170332774835,-0.243170332774835,-0.227671081677704,-0.227074956491415,-0.227074956491415,-0.227074956491415,-0.227074956491415,-0.170698850661572,0.228252606203267,0.082640124541477,0.227074956491415,0.227074956491415,0.227671081677704,0.227671081677704,0.266503151856053
"GRHL2",-0.206464390327116,-0.304450484995028,-0.304450484995028,-0.160615175787951,-0.262908169418524,-0.262908169418524,-0.262908169418524,-0.262908169418524,-0.126809787823637,0.262378835497042,0.0321296818316302,0.262908169418524,0.262908169418524,0.260615175787951,0.260615175787951,0.206350380060522
