"","TWIST1","MIR34","SNAIL1","HA","CD24","MIR340","MIR190","MIR1199","HAS2","MIR200","ZEB1","TGFB","GRHL2","ESRP1","CD44s","MIR129"
"TGFB",0.277131984600488,0.236889966040549,0.213563726906964,0.154708358986797,0.154708358986797,0.154365599775143,0.154365599775143,0.154365599775143,0.154365599775143,-0.0802254921696132,-0.154262613163403,-0.139371667337114,-0.154365599775143,-0.154365599775143,-0.154708358986797,-0.277131984600488
"SNAIL1",0.277025617786934,0.236898970993273,0.113715617545704,0.154365599775143,0.154365599775143,0.154262613163403,0.154262613163403,0.154262613163403,0.154262613163403,-0.0803605664604732,-0.154262613163403,-0.139355415102432,-0.154262613163403,-0.154262613163403,-0.154365599775143,-0.277025617786934
"MIR34",0.277131984600488,0.236889966040549,0.213563726906964,0.154708358986797,0.154708358986797,0.154365599775143,0.154365599775143,0.154365599775143,0.154365599775143,-0.0802254921696132,-0.154262613163403,-0.139371667337114,-0.154365599775143,-0.154365599775143,-0.154708358986797,-0.277131984600488
"MIR200",0.277087864038907,0.270678120169157,0.225035905454871,0.147780943081793,0.147780943081793,0.147223981056477,0.147223981056477,0.147223981056477,0.147223981056477,-0.0103568404137114,-0.146960406992165,-0.0246910013169058,-0.147223981056477,-0.147223981056477,-0.147780943081793,-0.277087864038907
"ESRP1",0.175434549763962,0.140518099309436,0.134680197346531,0.109987631416203,0.109987631416203,0.109733178489994,0.109733178489994,0.109733178489994,0.109733178489994,0.0721860581496658,-0.10930836965397,-0.0205123476928751,-0.109733178489994,-0.109733178489994,-0.00998763141620284,-0.175434549763962
"MIR340",0.174429983553916,0.139991228919552,0.134585589967155,0.109733178489994,0.109733178489994,0.10930836965397,0.10930836965397,0.10930836965397,0.10930836965397,0.0721860581496658,-0.109099850142502,-0.0200292559054355,-0.10930836965397,-0.10930836965397,-0.109733178489994,-0.174429983553916
"CD44s",0.174429983553916,0.139991228919552,0.134585589967155,0.109733178489994,0.109733178489994,0.10930836965397,0.10930836965397,0.10930836965397,0.10930836965397,0.0721860581496658,-0.109099850142502,-0.0200292559054355,-0.10930836965397,-0.10930836965397,-0.109733178489994,-0.174429983553916
"CD24",0.174429983553916,0.139991228919552,0.134585589967155,0.109733178489994,0.109733178489994,0.10930836965397,0.10930836965397,0.10930836965397,0.10930836965397,0.0721860581496658,-0.109099850142502,-0.0200292559054355,-0.10930836965397,-0.10930836965397,-0.109733178489994,-0.174429983553916
"MIR129",0.0370116891769124,0.114457210104448,0.20946154853494,0.0198289183222958,0.0198289183222958,0.0195308557291512,0.0195308557291512,0.0195308557291512,0.0195308557291512,-0.0928396703456329,-0.0193554610912159,-0.0690080069316346,-0.0195308557291512,-0.0195308557291512,-0.0198289183222958,-0.0837507015192588
"GRHL2",0.120925392332345,0.020125533995103,0.0924545382868148,0.00464453095866708,-0.0953554690413329,0.00438975388860339,0.00438975388860339,0.00438975388860339,0.00438975388860339,-0.0142121232497343,-0.00434564272847988,-0.00937413356154969,-0.00438975388860339,-0.00438975388860339,-0.00464453095866708,-0.120925392332345
"ZEB1",-0.174024872927553,-0.139826725172522,-0.134650715333485,-0.10930836965397,-0.10930836965397,-0.109099850142502,-0.109099850142502,-0.109099850142502,-0.109099850142502,-0.0720946671790937,0.0090285452632108,0.0198666542794192,0.109099850142502,0.109099850142502,0.10930836965397,0.174024872927553
"TWIST1",-0.136697881645532,-0.114334019466937,-0.209557610014287,-0.0195308557291512,-0.0195308557291512,-0.0193554610912159,-0.0193554610912159,-0.0193554610912159,-0.0193554610912159,0.0929320633237666,0.019320666380012,0.068923476077873,0.0193554610912159,0.0193554610912159,0.0195308557291512,0.0834629693717307
"MIR1199",-0.174429983553916,-0.139991228919552,-0.134585589967155,-0.109733178489994,-0.109733178489994,-0.10930836965397,-0.10930836965397,-0.10930836965397,-0.10930836965397,-0.0721860581496658,0.109099850142502,0.0200292559054355,0.10930836965397,0.10930836965397,0.109733178489994,0.174429983553916
"HA",-0.174429983553916,-0.139991228919552,-0.134585589967155,-0.109733178489994,-0.109733178489994,-0.10930836965397,-0.10930836965397,-0.10930836965397,-0.10930836965397,-0.0721860581496658,0.109099850142502,0.0200292559054355,0.10930836965397,0.10930836965397,0.109733178489994,0.174429983553916
"HAS2",-0.175434549763962,-0.140518099309436,-0.134680197346531,-0.00998763141620284,-0.109987631416203,-0.109733178489994,-0.109733178489994,-0.109733178489994,-0.109733178489994,-0.0721860581496658,0.10930836965397,0.0205123476928751,0.109733178489994,0.109733178489994,0.109987631416203,0.175434549763962
"MIR190",-0.277791905409991,-0.23712562982688,-0.213378025885609,-0.155460238686045,-0.155460238686045,-0.154708358986797,-0.154708358986797,-0.154708358986797,-0.154708358986797,0.0800421981135776,0.154365599775143,0.0396087465215615,0.154708358986797,0.154708358986797,0.155460238686045,0.277791905409991
