"","HA","MIR340","MIR190","MIR1199","GRHL2","MIR34","MIR129","SNAIL1","TWIST1","ZEB1","MIR200","TGFB","HAS2","ESRP1","CD44s","CD24"
"GRHL2",0.517383183425068,0.543115667501501,0.543115667501501,0.543115667501501,0.543115667501501,0.460976714342337,0.137919516545578,-0.107630017063895,-0.137919516545578,-0.550967454003486,-0.460976714342337,-0.472624417294863,-0.543115667501501,-0.543115667501501,-0.517383183425068,-0.617383183425068
"ESRP1",0.351020408163265,0.349748143532222,0.349748143532222,0.349748143532222,0.349748143532222,0.288198927403171,0.114870760611937,-0.0886449619800163,-0.114870760611937,-0.384497506318968,-0.288198927403171,-0.315981471762405,-0.349748143532222,-0.349748143532222,-0.251020408163265,-0.351020408163265
"MIR340",0.349748143532222,0.384497506318968,0.384497506318968,0.384497506318968,0.384497506318968,0.313383332039631,0.119162998054859,-0.0822116601824761,-0.119162998054859,-0.382918715732134,-0.313383332039631,-0.3120201191054,-0.384497506318968,-0.384497506318968,-0.349748143532222,-0.349748143532222
"MIR1199",0.349748143532222,0.384497506318968,0.384497506318968,0.384497506318968,0.384497506318968,0.313383332039631,0.119162998054859,-0.0822116601824761,-0.119162998054859,-0.382918715732134,-0.313383332039631,-0.3120201191054,-0.384497506318968,-0.384497506318968,-0.349748143532222,-0.349748143532222
"HA",0.349748143532222,0.384497506318968,0.384497506318968,0.384497506318968,0.384497506318968,0.313383332039631,0.119162998054859,-0.0822116601824761,-0.119162998054859,-0.382918715732134,-0.313383332039631,-0.3120201191054,-0.384497506318968,-0.384497506318968,-0.349748143532222,-0.349748143532222
"CD44s",0.349748143532222,0.384497506318968,0.384497506318968,0.384497506318968,0.384497506318968,0.313383332039631,0.119162998054859,-0.0822116601824761,-0.119162998054859,-0.382918715732134,-0.313383332039631,-0.3120201191054,-0.384497506318968,-0.384497506318968,-0.349748143532222,-0.349748143532222
"MIR129",0.312210264900662,0.315488953425252,0.315488953425252,0.315488953425252,0.315488953425252,0.0688101956998748,-0.0769614749582755,0.201872038014865,0.0302844856675636,-0.322980810102777,-0.0688101956998748,-0.150882685775287,-0.315488953425252,-0.315488953425252,-0.312210264900662,-0.312210264900662
"MIR190",0.0491378327142703,0.0541503640425911,0.0541503640425911,0.0541503640425911,0.0541503640425911,-0.119559048855353,-0.247903818824956,0.185885126678034,0.247903818824956,-0.0467810409920341,0.119559048855353,0.000554411226827343,-0.0541503640425911,-0.0541503640425911,-0.0491378327142703,-0.0491378327142703
"SNAIL1",0.0467810409920341,0.0499736259559888,0.0499736259559888,0.0499736259559888,0.0499736259559888,-0.123043001164237,-0.248914982092566,0.086292614159842,0.248914982092566,-0.0459324055074133,0.123043001164237,0.102472221156134,-0.0499736259559888,-0.0499736259559888,-0.0467810409920341,-0.0467810409920341
"TGFB",-0.0541503640425911,-0.0467810409920341,-0.0467810409920341,-0.0467810409920341,-0.0467810409920341,0.125555382974233,0.249355644605862,-0.184445943762528,-0.249355644605862,0.0499736259559888,-0.125555382974233,-0.0959550750485438,0.0467810409920341,0.0467810409920341,0.0541503640425911,0.0541503640425911
"MIR34",-0.0541503640425911,-0.0467810409920341,-0.0467810409920341,-0.0467810409920341,-0.0467810409920341,0.125555382974233,0.249355644605862,-0.184445943762528,-0.249355644605862,0.0499736259559888,-0.125555382974233,-0.0959550750485438,0.0467810409920341,0.0467810409920341,0.0541503640425911,0.0541503640425911
"MIR200",-0.274298268266145,-0.297032445481335,-0.297032445481335,-0.297032445481335,-0.297032445481335,-0.131397434992134,0.152402123071898,-0.104453537429776,-0.152402123071898,0.293078834516654,0.131397434992134,0.238353612879179,0.297032445481335,0.297032445481335,0.274298268266145,0.274298268266145
"ZEB1",-0.384497506318968,-0.382918715732134,-0.382918715732134,-0.382918715732134,-0.382918715732134,-0.309928753352005,-0.116389548382064,0.0876821909542117,0.116389548382064,0.30209972826142,0.309928753352005,0.340865647560685,0.382918715732134,0.382918715732134,0.384497506318968,0.384497506318968
"TWIST1",-0.315488953425252,-0.322980810102777,-0.322980810102777,-0.322980810102777,-0.322980810102777,-0.0737994165190925,0.0761505934516054,-0.203038498835505,-0.129447665583882,0.32479013508538,0.0737994165190925,0.153052311021836,0.322980810102777,0.322980810102777,0.315488953425252,0.315488953425252
"CD24",-0.349748143532222,-0.384497506318968,-0.384497506318968,-0.384497506318968,-0.384497506318968,-0.313383332039631,-0.119162998054859,0.0822116601824761,0.119162998054859,0.382918715732134,0.313383332039631,0.3120201191054,0.384497506318968,0.384497506318968,0.349748143532222,0.349748143532222
"HAS2",-0.451020408163265,-0.349748143532222,-0.349748143532222,-0.349748143532222,-0.349748143532222,-0.288198927403171,-0.114870760611937,0.0886449619800163,0.114870760611937,0.384497506318968,0.288198927403171,0.315981471762405,0.349748143532222,0.349748143532222,0.351020408163265,0.351020408163265
