"","HA","CD44s","MIR190","MIR1199","HAS2","GRHL2","MIR34","MIR200","TWIST1","MIR129","ZEB1","SNAIL1","TGFB","MIR340","ESRP1","CD24"
"SNAIL1",0.464072388655376,0.464072388655376,0.477298812077474,0.477298812077474,0.477298812077474,0.477298812077474,-0.0129872619844483,-0.0129872619844483,-0.534624980910528,-0.534624980910528,-0.486937122847327,0.388545159912177,-0.115855917445004,-0.477298812077474,-0.477298812077474,-0.464072388655376
"MIR190",0.421008430559623,0.421008430559623,0.445820460634811,0.445820460634811,0.445820460634811,0.445820460634811,-0.0245360820208572,-0.0245360820208572,-0.509711574834711,-0.509711574834711,-0.464072388655376,0.474263338830783,-0.189852157006179,-0.445820460634811,-0.445820460634811,-0.421008430559623
"HAS2",0.266326530612245,0.166326530612245,0.166072077686036,0.166072077686036,0.166072077686036,0.166072077686036,0.165017943320894,0.165017943320894,0.129211682435212,0.129211682435212,-0.165817192384422,-0.0981613190530547,-0.164995878586142,-0.166072077686036,-0.166072077686036,-0.166326530612245
"MIR1199",0.166072077686036,0.166072077686036,0.165817192384422,0.165817192384422,0.165817192384422,0.165817192384422,0.165650187788755,0.165650187788755,0.130764193850737,0.130764193850737,-0.1654895188664,-0.0980667116736791,-0.164319550083727,-0.165817192384422,-0.165817192384422,-0.166072077686036
"HA",0.166072077686036,0.166072077686036,0.165817192384422,0.165817192384422,0.165817192384422,0.165817192384422,0.165650187788755,0.165650187788755,0.130764193850737,0.130764193850737,-0.1654895188664,-0.0980667116736791,-0.164319550083727,-0.165817192384422,-0.165817192384422,-0.166072077686036
"CD44s",0.166072077686036,0.166072077686036,0.165817192384422,0.165817192384422,0.165817192384422,0.165817192384422,0.165650187788755,0.165650187788755,0.130764193850737,0.130764193850737,-0.1654895188664,-0.0980667116736791,-0.164319550083727,-0.165817192384422,-0.165817192384422,-0.166072077686036
"CD24",0.166072077686036,0.166072077686036,0.165817192384422,0.165817192384422,0.165817192384422,0.165817192384422,0.165650187788755,0.165650187788755,0.130764193850737,0.130764193850737,-0.1654895188664,-0.0980667116736791,-0.164319550083727,-0.165817192384422,-0.165817192384422,-0.166072077686036
"GRHL2",0.0332145552721469,0.0332145552721469,0.0330871667371151,0.0330871667371151,0.0330871667371151,0.0330871667371151,0.0400119495828217,0.0400119495828217,0.0964032289184493,0.0964032289184493,-0.032910722096621,-0.0743201816501581,-0.0363641664726232,-0.0330871667371151,-0.0330871667371151,-0.133214555272147
"MIR200",-0.00524838580554601,-0.00524838580554601,0.00492882938432741,0.00492882938432741,0.00492882938432741,0.00492882938432741,-0.217491824416361,-0.217491824416361,-0.367670799691466,-0.367670799691466,-0.0126076204579524,0.326148722164743,0.0769076323587455,-0.00492882938432741,-0.00492882938432741,0.00524838580554601
"ZEB1",-0.165817192384422,-0.165817192384422,-0.1654895188664,-0.1654895188664,-0.1654895188664,-0.1654895188664,-0.165412571265267,-0.165412571265267,-0.131231629188849,-0.131231629188849,0.0651126216472902,0.0986202772874857,0.164612233010556,0.1654895188664,0.1654895188664,0.165817192384422
"MIR340",-0.166072077686036,-0.166072077686036,-0.165817192384422,-0.165817192384422,-0.165817192384422,-0.165817192384422,-0.165650187788755,-0.165650187788755,-0.130764193850737,-0.130764193850737,0.1654895188664,0.0980667116736791,0.164319550083727,0.165817192384422,0.165817192384422,0.166072077686036
"ESRP1",-0.166326530612245,-0.266326530612245,-0.166072077686036,-0.166072077686036,-0.166072077686036,-0.166072077686036,-0.165017943320894,-0.165017943320894,-0.129211682435212,-0.129211682435212,0.165817192384422,0.0981613190530547,0.164995878586142,0.166072077686036,0.166072077686036,0.166326530612245
"MIR129",-0.441274834437086,-0.441274834437086,-0.459754715212049,-0.459754715212049,-0.459754715212049,-0.459754715212049,-0.0789284642806588,-0.0789284642806588,0.538190182014299,0.535946546228922,0.473460553347855,-0.399483527752592,0.202409607540872,0.459754715212049,0.459754715212049,0.441274834437086
"TGFB",-0.445820460634811,-0.445820460634811,-0.464072388655376,-0.464072388655376,-0.464072388655376,-0.464072388655376,0.0178589414081314,0.0178589414081314,0.52418583792314,0.52418583792314,0.477298812077474,-0.482573459536447,0.104788145626379,0.464072388655376,0.464072388655376,0.445820460634811
"MIR34",-0.445820460634811,-0.445820460634811,-0.464072388655376,-0.464072388655376,-0.464072388655376,-0.464072388655376,0.0178589414081314,0.0178589414081314,0.52418583792314,0.52418583792314,0.477298812077474,-0.482573459536447,0.104788145626379,0.464072388655376,0.464072388655376,0.445820460634811
"TWIST1",-0.459754715212049,-0.459754715212049,-0.473460553347855,-0.473460553347855,-0.473460553347855,-0.473460553347855,-0.0842872570124112,-0.0842872570124112,0.448755035570785,0.546488005815634,0.483342251329761,-0.405974539142739,0.213201379871106,0.473460553347855,0.473460553347855,0.459754715212049
