"","MIR340","MIR190","HAS2","GRHL2","ESRP1","CD44s","MIR200","TWIST1","SNAIL1","MIR129","ZEB1","MIR34","TGFB","HA","CD24","MIR1199"
"GRHL2",0.258561371086065,0.258561371086065,0.258561371086065,0.258561371086065,0.258561371086065,0.255121880640205,0.232783837587704,0.0545079982755288,0.0472246721428255,-0.0672993946370532,-0.262531375497181,-0.232783837587704,-0.243356707487466,-0.255121880640205,-0.355121880640205,-0.258561371086065
"MIR1199",0.199851527580102,0.199851527580102,0.199851527580102,0.199851527580102,0.199851527580102,0.189231306679507,0.165837492704954,0.0394027600119462,0.0178815616390703,-0.0510805061712395,-0.201489895170212,-0.165837492704954,-0.173760887278834,-0.189231306679507,-0.189231306679507,-0.199851527580102
"CD44s",0.199851527580102,0.199851527580102,0.199851527580102,0.199851527580102,0.199851527580102,0.189231306679507,0.165837492704954,0.0394027600119462,0.0178815616390703,-0.0510805061712395,-0.201489895170212,-0.165837492704954,-0.173760887278834,-0.189231306679507,-0.189231306679507,-0.199851527580102
"HAS2",0.189231306679507,0.189231306679507,0.189231306679507,0.189231306679507,0.189231306679507,0.207297464440322,0.162676270365649,0.0316402029343206,0.0307481652341507,-0.0413088166735226,-0.199851527580102,-0.162676270365649,-0.189896152979317,-0.307297464440322,-0.207297464440322,-0.189231306679507
"ESRP1",0.189231306679507,0.189231306679507,0.189231306679507,0.189231306679507,0.189231306679507,0.307297464440322,0.162676270365649,0.0316402029343206,0.0307481652341507,-0.0413088166735226,-0.199851527580102,-0.162676270365649,-0.189896152979317,-0.207297464440322,-0.207297464440322,-0.189231306679507
"MIR200",0.163068079035604,0.163068079035604,0.163068079035604,0.163068079035604,0.163068079035604,0.159979471440667,0.213587460816358,-0.0291804648114899,-0.0439957907839736,0.0689743648851456,-0.169200568931932,-0.213587460816358,-0.332953277055046,-0.159979471440667,-0.159979471440667,-0.163068079035604
"SNAIL1",0.0330567123850172,0.0330567123850172,0.0330567123850172,0.0330567123850172,0.0330567123850172,0.0260389104135592,-0.0350661460208712,0.0195884392026595,-0.0970033488403228,-0.0733422210881819,-0.0332890825608103,0.0350661460208712,0.0493599344066006,-0.0260389104135592,-0.0260389104135592,-0.0330567123850172
"TGFB",0.0260389104135592,0.0260389104135592,0.0260389104135592,0.0260389104135592,0.0260389104135592,0.0386353114418369,-0.0379027061289307,0.0168077067911718,0.0109829010597492,-0.0680998567058691,-0.0330567123850172,0.0379027061289307,0.0377720910781429,-0.0386353114418369,-0.0386353114418369,-0.0260389104135592
"MIR190",-0.0386353114418369,-0.0386353114418369,-0.0386353114418369,-0.0386353114418369,-0.0386353114418369,-0.0306152613165236,0.0269312476319419,-0.00875667291523695,-0.00722245537729791,0.0690237458391731,0.0260389104135592,-0.0269312476319419,-0.14891481274718,0.0306152613165236,0.0306152613165236,0.0386353114418369
"MIR34",-0.0260389104135592,-0.0260389104135592,-0.0260389104135592,-0.0260389104135592,-0.0260389104135592,-0.0386353114418369,0.0379027061289307,-0.0168077067911718,-0.0109829010597492,0.0680998567058691,0.0330567123850172,-0.0379027061289307,-0.0377720910781429,0.0386353114418369,0.0386353114418369,0.0260389104135592
"ZEB1",-0.201489895170212,-0.201489895170212,-0.201489895170212,-0.201489895170212,-0.201489895170212,-0.199851527580102,-0.17181446218037,-0.0275922271356607,-0.0246220370542445,0.045253145622782,0.0950215239773835,0.17181446218037,0.179777147441436,0.199851527580102,0.199851527580102,0.201489895170212
"MIR129",-0.190008574234364,-0.190008574234364,-0.190008574234364,-0.190008574234364,-0.190008574234364,-0.188220198675497,-0.0925717461117753,0.105252111867701,-0.000777362534992981,-0.00274489459140881,0.184721678719455,0.0925717461117753,0.120351937169757,0.188220198675497,0.188220198675497,0.190008574234364
"TWIST1",-0.184721678719455,-0.184721678719455,-0.184721678719455,-0.184721678719455,-0.184721678719455,-0.190008574234364,-0.0865970001924652,-0.00139014754652446,-0.000516624233908859,-0.0010969741101114,0.18914060704235,0.0865970001924652,0.124268533394046,0.190008574234364,0.190008574234364,0.184721678719455
"MIR340",-0.199851527580102,-0.199851527580102,-0.199851527580102,-0.199851527580102,-0.199851527580102,-0.189231306679507,-0.165837492704954,-0.0394027600119462,-0.0178815616390703,0.0510805061712395,0.201489895170212,0.165837492704954,0.173760887278834,0.189231306679507,0.189231306679507,0.199851527580102
"HA",-0.199851527580102,-0.199851527580102,-0.199851527580102,-0.199851527580102,-0.199851527580102,-0.189231306679507,-0.165837492704954,-0.0394027600119462,-0.0178815616390703,0.0510805061712395,0.201489895170212,0.165837492704954,0.173760887278834,0.189231306679507,0.189231306679507,0.199851527580102
"CD24",-0.199851527580102,-0.199851527580102,-0.199851527580102,-0.199851527580102,-0.199851527580102,-0.189231306679507,-0.165837492704954,-0.0394027600119462,-0.0178815616390703,0.0510805061712395,0.201489895170212,0.165837492704954,0.173760887278834,0.189231306679507,0.189231306679507,0.199851527580102
