"","MIR340","MIR190","MIR1199","HAS2","MIR200","TWIST1","MIR129","TGFB","SNAIL1","ZEB1","MIR34","HA","CD44s","CD24","GRHL2","ESRP1"
"MIR340",0.249917526597374,0.249917526597374,0.249917526597374,0.249917526597374,0.183697229594153,0.115667222490107,0.069714730179839,-0.00851993857726286,-0.103980448874207,-0.251734625197315,-0.183697229594153,-0.247793482417256,-0.247793482417256,-0.247793482417256,-0.249917526597374,-0.249917526597374
"MIR1199",0.249917526597374,0.249917526597374,0.249917526597374,0.249917526597374,0.183697229594153,0.115667222490107,0.069714730179839,-0.00851993857726286,-0.103980448874207,-0.251734625197315,-0.183697229594153,-0.247793482417256,-0.247793482417256,-0.247793482417256,-0.249917526597374,-0.249917526597374
"CD44s",0.249917526597374,0.249917526597374,0.249917526597374,0.249917526597374,0.183697229594153,0.115667222490107,0.069714730179839,-0.00851993857726286,-0.103980448874207,-0.251734625197315,-0.183697229594153,-0.247793482417256,-0.247793482417256,-0.247793482417256,-0.249917526597374,-0.249917526597374
"HAS2",0.247793482417256,0.247793482417256,0.247793482417256,0.247793482417256,0.182221992502478,0.115393249887368,0.0707192963898846,-0.0078436100748474,-0.102561338183573,-0.249917526597374,-0.182221992502478,-0.340414347557205,-0.240414347557205,-0.240414347557205,-0.247793482417256,-0.247793482417256
"ESRP1",0.247793482417256,0.247793482417256,0.247793482417256,0.247793482417256,0.182221992502478,0.115393249887368,0.0707192963898846,-0.0078436100748474,-0.102561338183573,-0.249917526597374,-0.182221992502478,-0.240414347557205,-0.140414347557205,-0.240414347557205,-0.247793482417256,-0.247793482417256
"TWIST1",0.245171560470409,0.245171560470409,0.245171560470409,0.245171560470409,0.116026562319779,0.00851085519505318,-0.0188513974967904,-0.00602135445780265,-0.024938503171253,-0.245415123448836,-0.116026562319779,-0.243893685251166,-0.243893685251166,-0.243893685251166,-0.245171560470409,-0.245171560470409
"MIR129",0.243893685251166,0.243893685251166,0.243893685251166,0.243893685251166,0.115164227857198,0.108249348918903,-0.0185636653492623,-0.00559870018899454,-0.0247052110071251,-0.245171560470409,-0.115164227857198,-0.242701434878587,-0.242701434878587,-0.242701434878587,-0.243893685251166,-0.243893685251166
"MIR200",0.217071865307719,0.217071865307719,0.217071865307719,0.217071865307719,0.0709474315703883,0.13435914917233,0.0674391722592844,-0.00369270335070584,-0.119186849575417,-0.218776310923604,-0.0709474315703883,-0.215907308345694,-0.215907308345694,-0.215907308345694,-0.217071865307719,-0.217071865307719
"TGFB",0.106634278159791,0.106634278159791,0.106634278159791,0.106634278159791,-0.0101336357520168,0.0881260821277167,0.0237180712267311,-0.0773472832909425,-0.0315346194191783,-0.106384167816992,0.0101336357520168,-0.105091861707349,-0.105091861707349,-0.105091861707349,-0.106634278159791,-0.106634278159791
"GRHL2",0.0663410970964911,0.0663410970964911,0.0663410970964911,0.0663410970964911,0.0387976716334333,0.0881641703783664,0.0619620169788018,-0.00627477435155499,-0.0777163587213663,-0.0671350979787143,-0.0387976716334333,-0.0665958741665548,-0.0665958741665548,0.0334041258334452,-0.0663410970964911,-0.0663410970964911
"MIR34",-0.106634278159791,-0.106634278159791,-0.106634278159791,-0.106634278159791,0.0101336357520168,-0.0881260821277167,-0.0237180712267311,0.0773472832909425,0.0315346194191783,0.106384167816992,-0.0101336357520168,0.105091861707349,0.105091861707349,0.105091861707349,0.106634278159791,0.106634278159791
"MIR190",-0.105091861707349,-0.105091861707349,-0.105091861707349,-0.105091861707349,0.0112595849533785,-0.0878181190832821,-0.0241140237124328,-0.0232691225886213,0.0314881941638394,0.106634278159791,-0.0112595849533785,0.105342488273765,0.105342488273765,0.105342488273765,0.105091861707349,0.105091861707349
"SNAIL1",-0.106384167816992,-0.106384167816992,-0.106384167816992,-0.106384167816992,0.0103047298537728,-0.0880197153141626,-0.0236420949313353,0.0772335176481666,-0.0681855820357741,0.106818599015214,-0.0103047298537728,0.106634278159791,0.106634278159791,0.106634278159791,0.106384167816992,0.106384167816992
"ZEB1",-0.251734625197315,-0.251734625197315,-0.251734625197315,-0.251734625197315,-0.1842638536117,-0.116259307251715,-0.0705561137884398,0.0084223776016531,0.103882760824711,0.152906062499953,0.1842638536117,0.249917526597374,0.249917526597374,0.249917526597374,0.251734625197315,0.251734625197315
"HA",-0.249917526597374,-0.249917526597374,-0.249917526597374,-0.249917526597374,-0.183697229594153,-0.115667222490107,-0.069714730179839,0.00851993857726286,0.103980448874207,0.251734625197315,0.183697229594153,0.247793482417256,0.247793482417256,0.247793482417256,0.249917526597374,0.249917526597374
"CD24",-0.249917526597374,-0.249917526597374,-0.249917526597374,-0.249917526597374,-0.183697229594153,-0.115667222490107,-0.069714730179839,0.00851993857726286,0.103980448874207,0.251734625197315,0.183697229594153,0.247793482417256,0.247793482417256,0.247793482417256,0.249917526597374,0.249917526597374
