"","MIR200","MIR34","TWIST1","MIR129","HA","CD24","MIR340","MIR190","MIR1199","HAS2","GRHL2","ZEB1","TGFB","ESRP1","CD44s","SNAIL1"
"SNAIL1",0.00210809635368434,0.0963395010983897,-0.0275258390887896,-0.0275258390887896,0.102036049765154,0.102036049765154,0.101550541452663,0.101550541452663,0.101550541452663,0.101550541452663,0.101550541452663,-0.102045590957613,-0.0643192102050196,-0.101550541452663,-0.102036049765154,-0.104498048185575
"MIR190",0.00381936748210583,0.0960604725344864,-0.0252252247203317,-0.0252252247203317,0.0997140493914687,0.0997140493914687,0.102721568188461,0.102721568188461,0.102721568188461,0.102721568188461,0.102721568188461,-0.102036049765154,-0.165445122485953,-0.102721568188461,-0.0997140493914687,-0.00412965233495173
"ESRP1",0.0780795888794085,0.0685117526830162,0.0595280092456563,0.0595280092456563,0.0536487322201608,0.0536487322201608,0.0539031851463694,0.0539031851463694,0.0539031851463694,0.0539031851463694,0.0539031851463694,-0.0543279939823932,0.00129726032362949,-0.0539031851463694,0.0463512677798392,-0.0626067648405409
"MIR340",0.0789225815032231,0.0681956304490857,0.0596193334465695,0.0596193334465695,0.0539031851463694,0.0539031851463694,0.0543279939823932,0.0543279939823932,0.0543279939823932,0.0543279939823932,0.0543279939823932,-0.0536428584447108,0.00158711539609326,-0.0543279939823932,-0.0539031851463694,-0.0612822615292827
"MIR1199",0.0789225815032231,0.0681956304490857,0.0596193334465695,0.0596193334465695,0.0539031851463694,0.0539031851463694,0.0543279939823932,0.0543279939823932,0.0543279939823932,0.0543279939823932,0.0543279939823932,-0.0536428584447108,0.00158711539609326,-0.0543279939823932,-0.0539031851463694,-0.0612822615292827
"CD44s",0.0789225815032231,0.0681956304490857,0.0596193334465695,0.0596193334465695,0.0539031851463694,0.0539031851463694,0.0543279939823932,0.0543279939823932,0.0543279939823932,0.0543279939823932,0.0543279939823932,-0.0536428584447108,0.00158711539609326,-0.0543279939823932,-0.0539031851463694,-0.0612822615292827
"CD24",0.0789225815032231,0.0681956304490857,0.0596193334465695,0.0596193334465695,0.0539031851463694,0.0539031851463694,0.0543279939823932,0.0543279939823932,0.0543279939823932,0.0543279939823932,0.0543279939823932,-0.0536428584447108,0.00158711539609326,-0.0543279939823932,-0.0539031851463694,-0.0612822615292827
"ZEB1",-0.0779903936033876,-0.0682870214196578,-0.0587156251262205,-0.0587156251262205,-0.0543279939823932,-0.0543279939823932,-0.0536428584447108,-0.0536428584447108,-0.0536428584447108,-0.0536428584447108,-0.0536428584447108,-0.0462043453853799,-0.00194483897332903,0.0536428584447108,0.0543279939823932,0.0616730137272638
"GRHL2",0.00456396566015744,0.0161818782104446,-0.056870171037471,-0.056870171037471,0.0155551229844424,0.115555122984442,0.0153003459143787,0.0153003459143787,0.0153003459143787,0.0153003459143787,0.0153003459143787,-0.0159179021561078,-0.00243920253164326,-0.0153003459143787,-0.0155551229844424,0.0552421780932133
"MIR129",0.012154337067351,-0.00974482762840048,-0.186636095416908,0.2056468761315,0.00414459161147903,0.00414459161147903,0.00280330994232851,0.00280330994232851,0.00280330994232851,0.00280330994232851,0.00280330994232851,-0.0034297193635262,0.00764471422387094,-0.00280330994232851,-0.00414459161147903,-0.0267852923361526
"TWIST1",-0.0131706598268212,0.00999120890342358,0.0852239615256948,-0.207085536869141,-0.00280330994232851,-0.00280330994232851,-0.0034297193635262,-0.0034297193635262,-0.0034297193635262,-0.0034297193635262,-0.0034297193635262,0.00336012994111841,-0.00699664434503184,0.0034297193635262,0.00280330994232851,0.0265245540350685
"HA",-0.0789225815032231,-0.0681956304490857,-0.0596193334465695,-0.0596193334465695,-0.0539031851463694,-0.0539031851463694,-0.0543279939823932,-0.0543279939823932,-0.0543279939823932,-0.0543279939823932,-0.0543279939823932,0.0536428584447108,-0.00158711539609326,0.0543279939823932,0.0539031851463694,0.0612822615292827
"HAS2",-0.0780795888794085,-0.0685117526830162,-0.0595280092456563,-0.0595280092456563,0.0463512677798392,-0.0536487322201608,-0.0539031851463694,-0.0539031851463694,-0.0539031851463694,-0.0539031851463694,-0.0539031851463694,0.0543279939823932,-0.00129726032362949,0.0539031851463694,0.0536487322201608,0.0626067648405409
"MIR200",-0.0254830983172023,-0.177804215021542,0.0318045028649275,0.0318045028649275,-0.0972989755465123,-0.0972989755465123,-0.0987673299768921,-0.0987673299768921,-0.0987673299768921,-0.0987673299768921,-0.0987673299768921,0.0980820374096807,0.186933786138224,0.0987673299768921,0.0972989755465123,-0.0171309665853487
"TGFB",-0.00269341828074422,-0.0963485060511138,0.0279968921202437,0.0279968921202437,-0.102721568188461,-0.102721568188461,-0.102036049765154,-0.102036049765154,-0.102036049765154,-0.102036049765154,-0.102036049765154,0.101550541452663,0.0638803998685984,0.102036049765154,0.102721568188461,0.00338684824952926
"MIR34",-0.00269341828074422,-0.0963485060511138,0.0279968921202437,0.0279968921202437,-0.102721568188461,-0.102721568188461,-0.102036049765154,-0.102036049765154,-0.102036049765154,-0.102036049765154,-0.102036049765154,0.101550541452663,0.0638803998685984,0.102036049765154,0.102721568188461,0.00338684824952926
