"","MIR129","MIR34","TGFB","MIR340","MIR190","HAS2","GRHL2","ESRP1","TWIST1","ZEB1","MIR1199","HA","CD44s","CD24","MIR200","SNAIL1"
"MIR129",-0.313439417242711,-0.0401860614344649,0.229405044409022,0.205411345295316,0.205411345295316,0.205411345295316,0.205411345295316,0.205411345295316,-0.130150851813077,-0.206137980223905,-0.205411345295316,-0.204219094922737,-0.204219094922737,-0.204219094922737,-0.247510667355386,0.312848993450457
"SNAIL1",-0.394473380897414,-0.183361215500568,0.328947433772093,0.173727841942107,0.173727841942107,0.173727841942107,0.173727841942107,0.173727841942107,-0.162613211005079,-0.174536086031822,-0.173727841942107,-0.172418440735692,-0.172418440735692,-0.172418440735692,-0.363434571228087,0.381637281142369
"TGFB",-0.389382969105892,-0.181677289341181,0.325193167560489,0.172418440735692,0.172418440735692,0.172418440735692,0.172418440735692,0.172418440735692,-0.161017708801767,-0.173727841942107,-0.172418440735692,-0.17061895487451,-0.17061895487451,-0.17061895487451,-0.360147763483828,0.477104544712599
"MIR190",-0.38185987187756,-0.178927878500646,0.41917135627552,0.17061895487451,0.17061895487451,0.17061895487451,0.17061895487451,0.17061895487451,-0.158422020284389,-0.172418440735692,-0.17061895487451,-0.167110182944685,-0.167110182944685,-0.167110182944685,-0.355198823970866,0.47069785947583
"ESRP1",0.0888805469040763,0.08193208971899,0.0679978124197191,0.0568910006750792,0.0568910006750792,0.0568910006750792,0.0568910006750792,0.0568910006750792,0.0558608842138254,-0.056975962442284,-0.0568910006750792,-0.0581632653061225,-0.158163265306122,-0.0581632653061225,-0.0703819134930221,-0.0708134625321955
"MIR340",0.089154519506816,0.0823535860308973,0.0673214839173037,0.056975962442284,0.056975962442284,0.056975962442284,0.056975962442284,0.056975962442284,0.0563175052183916,-0.0566482889242619,-0.056975962442284,-0.0568910006750792,-0.0568910006750792,-0.0568910006750792,-0.0700657912590917,-0.070245818255942
"MIR1199",0.089154519506816,0.0823535860308973,0.0673214839173037,0.056975962442284,0.056975962442284,0.056975962442284,0.056975962442284,0.056975962442284,0.0563175052183916,-0.0566482889242619,-0.056975962442284,-0.0568910006750792,-0.0568910006750792,-0.0568910006750792,-0.0700657912590917,-0.070245818255942
"HA",0.089154519506816,0.0823535860308973,0.0673214839173037,0.056975962442284,0.056975962442284,0.056975962442284,0.056975962442284,0.056975962442284,0.0563175052183916,-0.0566482889242619,-0.056975962442284,-0.0568910006750792,-0.0568910006750792,-0.0568910006750792,-0.0700657912590917,-0.070245818255942
"CD24",0.089154519506816,0.0823535860308973,0.0673214839173037,0.056975962442284,0.056975962442284,0.056975962442284,0.056975962442284,0.056975962442284,0.0563175052183916,-0.0566482889242619,-0.056975962442284,-0.0568910006750792,-0.0568910006750792,-0.0568910006750792,-0.0700657912590917,-0.070245818255942
"ZEB1",-0.0889363830156973,-0.0819331875662656,-0.0671588822912874,-0.0566482889242619,-0.0566482889242619,-0.0566482889242619,-0.0566482889242619,-0.0566482889242619,-0.05585006988028,-0.0431581692605196,0.0566482889242619,0.056975962442284,0.056975962442284,0.056975962442284,0.0700840694532061,0.0703760689886024
"MIR200",0.283599862013321,0.228407575646397,-0.194286201914285,0.0283958163060726,0.0283958163060726,0.0283958163060726,0.0283958163060726,0.0283958163060726,0.142759216472278,-0.0274645212788366,-0.0283958163060726,-0.0297629049136675,-0.0297629049136675,-0.0297629049136675,0.114018141042598,-0.309690401816004
"GRHL2",0.0743643467472746,-0.0022487668410336,-0.0136508068346494,-0.0133903467380974,-0.0133903467380974,-0.0133903467380974,-0.0133903467380974,-0.0133903467380974,0.0551931845956307,0.0136550136988385,0.0133903467380974,0.013772512343193,0.013772512343193,-0.086227487656807,0.0153309048526652,-0.0600509986501974
"CD44s",-0.089154519506816,-0.0823535860308973,-0.0673214839173037,-0.056975962442284,-0.056975962442284,-0.056975962442284,-0.056975962442284,-0.056975962442284,-0.0563175052183916,0.0566482889242619,0.056975962442284,0.0568910006750792,0.0568910006750792,0.0568910006750792,0.0700657912590917,0.070245818255942
"HAS2",-0.0888805469040763,-0.08193208971899,-0.0679978124197191,-0.0568910006750792,-0.0568910006750792,-0.0568910006750792,-0.0568910006750792,-0.0568910006750792,-0.0558608842138254,0.056975962442284,0.0568910006750792,-0.0418367346938776,0.0581632653061225,0.0581632653061225,0.0703819134930221,0.0708134625321955
"MIR34",0.389382969105892,0.181677289341181,-0.325193167560489,-0.172418440735692,-0.172418440735692,-0.172418440735692,-0.172418440735692,-0.172418440735692,0.161017708801767,0.173727841942107,0.172418440735692,0.17061895487451,0.17061895487451,0.17061895487451,0.360147763483828,-0.477104544712599
"TWIST1",0.316918360481006,0.0414487654689582,-0.231912793070617,-0.206137980223905,-0.206137980223905,-0.206137980223905,-0.206137980223905,-0.206137980223905,0.0313537806833699,0.206677298247565,0.206137980223905,0.205411345295316,0.205411345295316,0.205411345295316,0.249666503511838,-0.316019022268901
