"","MIR129","MIR200","ZEB1","HA","MIR190","MIR1199","HAS2","GRHL2","ESRP1","TGFB","SNAIL1","MIR340","TWIST1","CD44s","CD24","MIR34"
"ZEB1",-0.0677629013100007,-0.0571621181020588,-0.0569508434494201,-0.0491751071419637,-0.0473580085420233,-0.0473580085420233,-0.0473580085420233,-0.0473580085420233,-0.0473580085420233,0.00133662164646959,0.045745765866037,0.0473580085420233,0.0475175955395149,0.0491751071419637,0.0491751071419637,0.0517865433568992
"HAS2",0.0708519872284578,0.0480000625544535,-0.0491751071419637,0.132189239332097,0.0360060332252263,0.0360060332252263,0.0360060332252263,0.0360060332252263,0.0360060332252263,0.00388736798473107,-0.0384297596591029,-0.0360060332252263,-0.0375780846604376,-0.0321892393320965,-0.0321892393320965,-0.0468455565000571
"MIR340",0.0618108913380469,0.0550601257789003,-0.0473580085420233,0.0360060332252263,0.0491751071419637,0.0491751071419637,0.0491751071419637,0.0491751071419637,0.0491751071419637,-0.000653694817201299,-0.0467552090441549,-0.0491751071419637,-0.0389479476741362,-0.0360060332252263,-0.0360060332252263,-0.0561184753620171
"HA",0.0618108913380469,0.0550601257789003,-0.0473580085420233,0.0360060332252263,0.0491751071419637,0.0491751071419637,0.0491751071419637,0.0491751071419637,0.0491751071419637,-0.000653694817201299,-0.0467552090441549,-0.0491751071419637,-0.0389479476741362,-0.0360060332252263,-0.0360060332252263,-0.0561184753620171
"CD44s",0.0618108913380469,0.0550601257789003,-0.0473580085420233,0.0360060332252263,0.0491751071419637,0.0491751071419637,0.0491751071419637,0.0491751071419637,0.0491751071419637,-0.000653694817201299,-0.0467552090441549,-0.0491751071419637,-0.0389479476741362,-0.0360060332252263,-0.0360060332252263,-0.0561184753620171
"CD24",0.0618108913380469,0.0550601257789003,-0.0473580085420233,0.0360060332252263,0.0491751071419637,0.0491751071419637,0.0491751071419637,0.0491751071419637,0.0491751071419637,-0.000653694817201299,-0.0467552090441549,-0.0491751071419637,-0.0389479476741362,-0.0360060332252263,-0.0360060332252263,-0.0561184753620171
"TGFB",0.0700070033706485,0.0723178670072359,-0.0440418357150479,0.034414358801308,0.043497477910134,0.043497477910134,0.043497477910134,0.043497477910134,0.043497477910134,0.0701092865654317,-0.00806301930679592,-0.043497477910134,-0.0102652345314739,-0.034414358801308,-0.034414358801308,0.0292310751118266
"TWIST1",-0.00798623853670673,0.00447010869196316,-0.0048598583533042,0.00197726779246158,0.00315491750431325,0.00315491750431325,0.00315491750431325,0.00315491750431325,0.00315491750431325,0.00270068418957716,0.00853877846623701,-0.00315491750431325,0.00268570190951086,-0.00197726779246158,-0.00197726779246158,-0.0039332753340543
"MIR129",-0.00529201933712525,0.00687232612343837,-0.00315491750431325,0.00927980132450331,0.00197726779246158,0.00197726779246158,0.00197726779246158,0.00197726779246158,0.00197726779246158,0.000361997235505587,0.00789379424776576,-0.00197726779246158,0.0934806809890088,-0.00927980132450331,-0.00927980132450331,-8.35679118183913e-05
"SNAIL1",-0.0691104830849776,-0.0745601002355115,0.0406977257938517,-0.043497477910134,-0.0440418357150479,-0.0440418357150479,-0.0440418357150479,-0.0440418357150479,-0.0440418357150479,-0.0669726052717538,-0.0882036686778551,0.0440418357150479,0.016814391194595,0.043497477910134,0.043497477910134,-0.0308069418385262
"MIR190",-0.0796418471893902,-0.071820354569425,0.043497477910134,-0.040930649528125,-0.034414358801308,-0.034414358801308,-0.034414358801308,-0.034414358801308,-0.034414358801308,-0.169967039054763,0.00314194224087206,0.034414358801308,0.0221878038231589,0.040930649528125,0.040930649528125,-0.0398359454967441
"MIR34",-0.0700070033706485,-0.0723178670072359,0.0440418357150479,-0.034414358801308,-0.043497477910134,-0.043497477910134,-0.043497477910134,-0.043497477910134,-0.043497477910134,-0.0701092865654317,0.00806301930679592,0.043497477910134,0.0102652345314739,0.034414358801308,0.034414358801308,-0.0292310751118266
"MIR1199",-0.0618108913380469,-0.0550601257789003,0.0473580085420233,-0.0360060332252263,-0.0491751071419637,-0.0491751071419637,-0.0491751071419637,-0.0491751071419637,-0.0491751071419637,0.000653694817201299,0.0467552090441549,0.0491751071419637,0.0389479476741362,0.0360060332252263,0.0360060332252263,0.0561184753620171
"ESRP1",-0.0708519872284578,-0.0480000625544535,0.0491751071419637,-0.0321892393320965,-0.0360060332252263,-0.0360060332252263,-0.0360060332252263,-0.0360060332252263,-0.0360060332252263,-0.00388736798473107,0.0384297596591029,0.0360060332252263,0.0375780846604376,-0.0678107606679035,0.0321892393320965,0.0468455565000571
"MIR200",0.071477654169356,0.0190449354733832,0.0524109246461833,-0.0467269599584352,-0.057207972616663,-0.057207972616663,-0.057207972616663,-0.057207972616663,-0.057207972616663,0.190219570352395,-0.0278550975001529,0.057207972616663,-0.0377761702063888,0.0467269599584352,0.0467269599584352,0.148569325238078
"GRHL2",-0.0841351386624099,-0.134142471158095,0.108485892237369,-0.0955846422338569,-0.106412667711564,-0.106412667711564,-0.106412667711564,-0.106412667711564,-0.106412667711564,-0.00640665478052512,0.0707733958568659,0.106412667711564,0.0572757086527485,0.0955846422338569,-0.00441535776614311,0.115660109390795
