"","SNAIL1","ZEB1","TWIST1","MIR34","MIR190","MIR1199","HAS2","GRHL2","CD44s","TGFB","HA","CD24","MIR340","ESRP1","MIR200","MIR129"
"MIR129",-0.1154434296009,-0.150473222460727,0.0620478555421927,0.137926500989491,0.151851323187362,0.151851323187362,0.151851323187362,0.151851323187362,0.153192604856512,-0.0464014073083285,-0.153192604856512,-0.153192604856512,-0.151851323187362,-0.151851323187362,-0.00647588174154504,0.022033826751522
"TWIST1",-0.116500105873715,-0.150351440971513,-0.0384228557548785,0.136109439086196,0.150473222460727,0.150473222460727,0.150473222460727,0.150473222460727,0.151851323187362,-0.044964382794381,-0.151851323187362,-0.151851323187362,-0.150473222460727,-0.150473222460727,-0.00659907237905659,0.0183456237695707
"TGFB",-0.123865746205774,-0.102140203055047,-0.0392857710590735,0.163782212734366,0.102949383575865,0.102949383575865,0.102949383575865,0.102949383575865,0.103720591802086,-0.110504210548892,-0.103720591802086,-0.103720591802086,-0.102949383575865,-0.102949383575865,0.0645809403381519,0.131369146722539
"ZEB1",-0.0872905084736129,-0.0721103139894503,-0.0655983454180387,-0.0294460808181368,-0.0270442138703847,-0.0270442138703847,-0.0270442138703847,-0.0270442138703847,-0.0263590783327022,-0.0120357810613544,0.0263590783327022,0.0263590783327022,0.0270442138703847,0.0270442138703847,0.0686966254961073,0.109404652217316
"MIR340",0.0888535172655373,-0.0270442138703847,0.068683418649575,0.0279655470948686,0.0263590783327022,0.0263590783327022,0.0263590783327022,0.0263590783327022,0.0283131989784116,0.0115479761833056,-0.0283131989784116,-0.0283131989784116,-0.0263590783327022,-0.0263590783327022,-0.069336362290112,-0.111991127754867
"HA",0.0888535172655373,-0.0270442138703847,0.068683418649575,0.0279655470948686,0.0263590783327022,0.0263590783327022,0.0263590783327022,0.0263590783327022,0.0283131989784116,0.0115479761833056,-0.0283131989784116,-0.0283131989784116,-0.0263590783327022,-0.0263590783327022,-0.069336362290112,-0.111991127754867
"CD44s",0.0888535172655373,-0.0270442138703847,0.068683418649575,0.0279655470948686,0.0263590783327022,0.0263590783327022,0.0263590783327022,0.0263590783327022,0.0283131989784116,0.0115479761833056,-0.0283131989784116,-0.0283131989784116,-0.0263590783327022,-0.0263590783327022,-0.069336362290112,-0.111991127754867
"CD24",0.0888535172655373,-0.0270442138703847,0.068683418649575,0.0279655470948686,0.0263590783327022,0.0263590783327022,0.0263590783327022,0.0263590783327022,0.0283131989784116,0.0115479761833056,-0.0283131989784116,-0.0283131989784116,-0.0263590783327022,-0.0263590783327022,-0.069336362290112,-0.111991127754867
"MIR200",0.155955775616481,-0.0250658460255585,0.0842752452354872,-0.0626098573290519,0.0243454102497722,0.0243454102497722,0.0243454102497722,0.0243454102497722,0.0262188279712912,0.00731111415888928,-0.0262188279712912,-0.0262188279712912,-0.0243454102497722,-0.0243454102497722,-0.164569354694978,-0.168265580256003
"HAS2",-0.0915971312674295,0.0263590783327022,-0.070966523672406,-0.0299676545764282,-0.0283131989784116,-0.0283131989784116,-0.0283131989784116,-0.0283131989784116,-0.033147804576376,-0.00913251724610751,-0.066852195423624,0.033147804576376,0.0283131989784116,0.0283131989784116,0.0697578586020193,0.108246835517424
"ESRP1",-0.0915971312674295,0.0263590783327022,-0.070966523672406,-0.0299676545764282,-0.0283131989784116,-0.0283131989784116,-0.0283131989784116,-0.0283131989784116,-0.133147804576376,-0.00913251724610751,0.033147804576376,0.033147804576376,0.0283131989784116,0.0283131989784116,0.0697578586020193,0.108246835517424
"MIR1199",-0.0888535172655373,0.0270442138703847,-0.068683418649575,-0.0279655470948686,-0.0263590783327022,-0.0263590783327022,-0.0263590783327022,-0.0263590783327022,-0.0283131989784116,-0.0115479761833056,0.0283131989784116,0.0283131989784116,0.0263590783327022,0.0263590783327022,0.069336362290112,0.111991127754867
"GRHL2",0.06808954458652,0.0289165378645875,0.0625163219494682,-0.0371286659431383,-0.0299310945474283,-0.0299310945474283,-0.0299310945474283,-0.0299310945474283,-0.0296763174773646,0.00586091097929957,0.0296763174773646,-0.0703236825226354,0.0299310945474283,0.0299310945474283,0.0156581478051856,-0.0890959316629191
"SNAIL1",0.024417349051725,0.102069481697197,0.0399087766813194,-0.162998781847378,-0.102140203055047,-0.102140203055047,-0.102140203055047,-0.102140203055047,-0.102949383575865,0.109837868926919,0.102949383575865,0.102949383575865,0.102140203055047,0.102140203055047,-0.0647880542508039,-0.130320673846076
"MIR34",0.123865746205774,0.102140203055047,0.0392857710590735,-0.163782212734366,-0.102949383575865,-0.102949383575865,-0.102949383575865,-0.102949383575865,-0.103720591802086,0.110504210548892,0.103720591802086,0.103720591802086,0.102949383575865,0.102949383575865,-0.0645809403381519,-0.131369146722539
"MIR190",0.124608550291197,0.102949383575865,0.0409135757225139,-0.165327119778094,-0.103720591802086,-0.103720591802086,-0.103720591802086,-0.103720591802086,-0.101966205837174,0.0107412897333393,0.101966205837174,0.101966205837174,0.103720591802086,0.103720591802086,-0.0651831922365547,-0.134580761328786
