"","MIR340","MIR190","HAS2","GRHL2","HA","SNAIL1","TGFB","TWIST1","MIR129","ZEB1","MIR34","MIR200","CD44s","CD24","MIR1199","ESRP1"
"GRHL2",0.497663287519558,0.497663287519558,0.497663287519558,0.497663287519558,0.485433988156501,0.176841124614671,0.0244162121128651,-0.112189044943043,-0.175832620029752,-0.507808854347966,-0.455596077867169,-0.455596077867169,-0.485433988156501,-0.585433988156501,-0.497663287519558,-0.497663287519558
"MIR340",0.338814137210982,0.338814137210982,0.338814137210982,0.338814137210982,0.326154833897473,0.151632667242922,0.0131334086144916,-0.0986258671760686,-0.158101635994948,-0.348078361220514,-0.306173698425428,-0.306173698425428,-0.326154833897473,-0.326154833897473,-0.338814137210982,-0.338814137210982
"CD44s",0.338814137210982,0.338814137210982,0.338814137210982,0.338814137210982,0.326154833897473,0.151632667242922,0.0131334086144916,-0.0986258671760686,-0.158101635994948,-0.348078361220514,-0.306173698425428,-0.306173698425428,-0.326154833897473,-0.326154833897473,-0.338814137210982,-0.338814137210982
"ESRP1",0.326154833897473,0.326154833897473,0.326154833897473,0.326154833897473,0.315213358070501,0.161471834697983,0.0178677081313998,-0.0824614836144248,-0.14942583690819,-0.338814137210982,-0.289524594105091,-0.289524594105091,-0.215213358070501,-0.315213358070501,-0.326154833897473,-0.326154833897473
"TGFB",0.159074599125833,0.159074599125833,0.159074599125833,0.159074599125833,0.168414787643399,0.0900891495949697,0.0953656822397026,-0.0392980486604739,-0.126592670907521,-0.170064741835852,-0.176943855440969,-0.176943855440969,-0.168414787643399,-0.168414787643399,-0.159074599125833,-0.159074599125833
"SNAIL1",0.170064741835852,0.170064741835852,0.170064741835852,0.170064741835852,0.159074599125833,-0.0152589997375109,0.0943092869853552,-0.0446923656335783,-0.1298900421277,-0.166447849534377,-0.186498110281131,-0.186498110281131,-0.159074599125833,-0.159074599125833,-0.170064741835852,-0.170064741835852
"TWIST1",0.0317174508759582,0.0317174508759582,0.0317174508759582,0.0317174508759582,0.0245763834743044,-0.00510005001391706,-0.00103080617737004,-0.082993503464619,0.148884839623095,-0.0289338739796464,-0.0244098305470952,-0.0244098305470952,-0.0245763834743044,-0.0245763834743044,-0.0317174508759582,-0.0317174508759582
"MIR129",-0.0245763834743044,-0.0245763834743044,-0.0245763834743044,-0.0245763834743044,-0.0332201986754967,-0.00111650000666754,-0.000913403459147294,-0.0233349484182262,-0.151892948438161,0.0317174508759582,0.0168644039995128,0.0168644039995128,0.0332201986754967,0.0332201986754967,0.0245763834743044,0.0245763834743044
"MIR190",-0.168414787643399,-0.168414787643399,-0.168414787643399,-0.168414787643399,-0.144605263833875,-0.0828003845067617,-0.194180286317465,0.0435655365619257,0.128396454453496,0.159074599125833,0.184354172277837,0.184354172277837,0.144605263833875,0.144605263833875,0.168414787643399,0.168414787643399
"MIR34",-0.159074599125833,-0.159074599125833,-0.159074599125833,-0.159074599125833,-0.168414787643399,-0.0900891495949697,-0.0953656822397026,0.0392980486604739,0.126592670907521,0.170064741835852,0.176943855440969,0.176943855440969,0.168414787643399,0.168414787643399,0.159074599125833,0.159074599125833
"ZEB1",-0.348078361220514,-0.348078361220514,-0.348078361220514,-0.348078361220514,-0.338814137210982,-0.162248101954742,-0.0185643029234347,0.0891836733462151,0.157135602962851,0.251490809015156,0.308056352419214,0.308056352419214,0.338814137210982,0.338814137210982,0.348078361220514,0.348078361220514
"MIR200",-0.308116657086753,-0.308116657086753,-0.308116657086753,-0.308116657086753,-0.290952100124728,-0.169239145538813,-0.216058710024135,0.0931491398254677,0.17819728055378,0.309750816285488,0.373064427170149,0.373064427170149,0.290952100124728,0.290952100124728,0.308116657086753,0.308116657086753
"HAS2",-0.326154833897473,-0.326154833897473,-0.326154833897473,-0.326154833897473,-0.215213358070501,-0.161471834697983,-0.0178677081313998,0.0824614836144248,0.14942583690819,0.338814137210982,0.289524594105091,0.289524594105091,0.315213358070501,0.315213358070501,0.326154833897473,0.326154833897473
"MIR1199",-0.338814137210982,-0.338814137210982,-0.338814137210982,-0.338814137210982,-0.326154833897473,-0.151632667242922,-0.0131334086144916,0.0986258671760686,0.158101635994948,0.348078361220514,0.306173698425428,0.306173698425428,0.326154833897473,0.326154833897473,0.338814137210982,0.338814137210982
"HA",-0.338814137210982,-0.338814137210982,-0.338814137210982,-0.338814137210982,-0.326154833897473,-0.151632667242922,-0.0131334086144916,0.0986258671760686,0.158101635994948,0.348078361220514,0.306173698425428,0.306173698425428,0.326154833897473,0.326154833897473,0.338814137210982,0.338814137210982
"CD24",-0.338814137210982,-0.338814137210982,-0.338814137210982,-0.338814137210982,-0.326154833897473,-0.151632667242922,-0.0131334086144916,0.0986258671760686,0.158101635994948,0.348078361220514,0.306173698425428,0.306173698425428,0.326154833897473,0.326154833897473,0.338814137210982,0.338814137210982
