"","MIR340","MIR190","MIR1199","HAS2","GRHL2","ESRP1","HA","CD24","MIR200","MIR34","TGFB","TWIST1","MIR129","ZEB1","SNAIL1","CD44s"
"MIR200",0.249910143578453,0.249910143578453,0.249910143578453,0.249910143578453,0.249910143578453,0.249910143578453,0.249150649907567,0.249150649907567,0.323912200129968,0.049797179730016,0.221680880773586,-0.135653255481874,-0.135653255481874,-0.251474016360038,-0.22316205553634,-0.249150649907567
"MIR340",0.230765001363968,0.230765001363968,0.230765001363968,0.230765001363968,0.230765001363968,0.230765001363968,0.229490574855897,0.229490574855897,0.21676825546619,0.138190579809033,0.0232892247143945,-0.105401252521317,-0.105401252521317,-0.231926752927864,-0.146120266081223,-0.229490574855897
"HA",0.230765001363968,0.230765001363968,0.230765001363968,0.230765001363968,0.230765001363968,0.230765001363968,0.229490574855897,0.229490574855897,0.21676825546619,0.138190579809033,0.0232892247143945,-0.105401252521317,-0.105401252521317,-0.231926752927864,-0.146120266081223,-0.229490574855897
"CD24",0.230765001363968,0.230765001363968,0.230765001363968,0.230765001363968,0.230765001363968,0.230765001363968,0.229490574855897,0.229490574855897,0.21676825546619,0.138190579809033,0.0232892247143945,-0.105401252521317,-0.105401252521317,-0.231926752927864,-0.146120266081223,-0.229490574855897
"HAS2",0.229490574855897,0.229490574855897,0.229490574855897,0.229490574855897,0.229490574855897,0.229490574855897,0.32312925170068,0.22312925170068,0.215819888764398,0.137558335341172,0.0231926063569066,-0.104761983114924,-0.104761983114924,-0.230765001363968,-0.144228118493711,-0.22312925170068
"ESRP1",0.229490574855897,0.229490574855897,0.229490574855897,0.229490574855897,0.229490574855897,0.229490574855897,0.22312925170068,0.22312925170068,0.215819888764398,0.137558335341172,0.0231926063569066,-0.104761983114924,-0.104761983114924,-0.230765001363968,-0.144228118493711,-0.32312925170068
"TGFB",0.228253861366781,0.228253861366781,0.228253861366781,0.228253861366781,0.228253861366781,0.228253861366781,0.226111616293944,0.226111616293944,0.264950260817545,-0.0311270839172039,0.130778772223038,-0.102513044300018,-0.102513044300018,-0.230004633766369,-0.202589232047834,-0.226111616293944
"MIR34",0.228253861366781,0.228253861366781,0.228253861366781,0.228253861366781,0.228253861366781,0.228253861366781,0.226111616293944,0.226111616293944,0.264950260817545,-0.0311270839172039,0.130778772223038,-0.102513044300018,-0.102513044300018,-0.230004633766369,-0.202589232047834,-0.226111616293944
"TWIST1",0.0140588363537844,0.0140588363537844,0.0140588363537844,0.0140588363537844,0.0140588363537844,0.0140588363537844,0.0131317504104118,0.0131317504104118,0.108534537498842,-0.0891844435934371,0.0656481392440024,0.0147639761106934,-0.236931185985152,-0.0146503464442506,-0.197060456941601,-0.0131317504104118
"MIR129",-0.0131317504104118,-0.0131317504104118,-0.0131317504104118,-0.0131317504104118,-0.0131317504104118,-0.0131317504104118,-0.0140259381898455,-0.0140259381898455,-0.107487417079994,0.0892768365715707,-0.065281838877702,-0.115077783642074,0.23659113890171,0.0140588363537844,0.197348641379642,0.0140259381898455
"GRHL2",-0.0497761776541915,-0.0497761776541915,-0.0497761776541915,-0.0497761776541915,-0.0497761776541915,-0.0497761776541915,-0.0504131203293507,0.0495868796706493,-0.0526104810407483,-0.0133712875910535,-0.0109142597012757,0.0827525600439238,0.0827525600439238,0.0503055115756736,0.0983184536311913,0.0504131203293507
"ZEB1",-0.231926752927864,-0.231926752927864,-0.231926752927864,-0.231926752927864,-0.231926752927864,-0.231926752927864,-0.230765001363968,-0.230765001363968,-0.218212232801229,-0.138172301614919,-0.0233867856900042,0.106429610265162,0.106429610265162,0.133200054343775,0.14686920779402,0.230765001363968
"MIR190",-0.226111616293944,-0.226111616293944,-0.226111616293944,-0.226111616293944,-0.226111616293944,-0.226111616293944,-0.226111616293944,-0.226111616293944,-0.262515068358786,0.0313103779732395,-0.230162366343474,0.101413176284179,0.101413176284179,0.228253861366781,0.202449956281818,0.226111616293944
"SNAIL1",-0.230004633766369,-0.230004633766369,-0.230004633766369,-0.230004633766369,-0.230004633766369,-0.230004633766369,-0.228253861366781,-0.228253861366781,-0.266075879908045,0.0301095242593921,-0.131477618314375,0.102224334377513,0.102224334377513,0.230378446657862,0.102597226291978,0.228253861366781
"MIR1199",-0.230765001363968,-0.230765001363968,-0.230765001363968,-0.230765001363968,-0.230765001363968,-0.230765001363968,-0.229490574855897,-0.229490574855897,-0.21676825546619,-0.138190579809033,-0.0232892247143945,0.105401252521317,0.105401252521317,0.231926752927864,0.146120266081223,0.229490574855897
"CD44s",-0.230765001363968,-0.230765001363968,-0.230765001363968,-0.230765001363968,-0.230765001363968,-0.230765001363968,-0.229490574855897,-0.229490574855897,-0.21676825546619,-0.138190579809033,-0.0232892247143945,0.105401252521317,0.105401252521317,0.231926752927864,0.146120266081223,0.229490574855897
