"","HA","CD44s","CD24","MIR340","MIR1199","ESRP1","MIR34","MIR200","TWIST1","MIR129","ZEB1","SNAIL1","TGFB","MIR190","HAS2","GRHL2"
"TWIST1",0.410644070988903,0.410644070988903,0.410644070988903,0.418186040420124,0.418186040420124,0.418186040420124,0.418607313658116,0.418607313658116,0.21697290671561,0.073279659569047,-0.420186736314348,-0.421894989685101,-0.410929128055987,-0.418186040420124,-0.418186040420124,-0.418186040420124
"TGFB",0.364395009532678,0.364395009532678,0.364395009532678,0.371764332583235,0.371764332583235,0.371764332583235,0.459735476406623,0.459735476406623,0.210046948766577,0.210046948766577,-0.374898068054767,-0.443931515029006,-0.457261095063491,-0.371764332583235,-0.371764332583235,-0.371764332583235
"MIR34",0.364395009532678,0.364395009532678,0.364395009532678,0.371764332583235,0.371764332583235,0.371764332583235,0.459735476406623,0.459735476406623,0.210046948766577,0.210046948766577,-0.374898068054767,-0.443931515029006,-0.457261095063491,-0.371764332583235,-0.371764332583235,-0.371764332583235
"MIR190",0.354620573442453,0.354620573442453,0.354620573442453,0.364395009532678,0.364395009532678,0.364395009532678,0.453110705524193,0.453110705524193,0.206571365836529,0.206571365836529,-0.371764332583235,-0.442770883645533,-0.348489165238929,-0.364395009532678,-0.364395009532678,-0.364395009532678
"HAS2",0.0781076066790353,0.178107606679035,0.178107606679035,0.174290812785905,0.174290812785905,0.174290812785905,0.166749652040852,0.166749652040852,0.0691568274862392,0.0691568274862392,-0.177264474638072,-0.0891904506447042,-0.173546354479417,-0.174290812785905,-0.174290812785905,-0.174290812785905
"ESRP1",0.178107606679035,0.278107606679035,0.178107606679035,0.174290812785905,0.174290812785905,0.174290812785905,0.166749652040852,0.166749652040852,0.0691568274862392,0.0691568274862392,-0.177264474638072,-0.0891904506447042,-0.173546354479417,-0.174290812785905,-0.174290812785905,-0.174290812785905
"MIR340",0.174290812785905,0.174290812785905,0.174290812785905,0.177264474638072,0.177264474638072,0.177264474638072,0.17012162253611,0.17012162253611,0.0754581973492529,0.0754581973492529,-0.175030337015194,-0.085311548090305,-0.168618818247533,-0.177264474638072,-0.177264474638072,-0.177264474638072
"CD44s",0.174290812785905,0.174290812785905,0.174290812785905,0.177264474638072,0.177264474638072,0.177264474638072,0.17012162253611,0.17012162253611,0.0754581973492529,0.0754581973492529,-0.175030337015194,-0.085311548090305,-0.168618818247533,-0.177264474638072,-0.177264474638072,-0.177264474638072
"MIR200",0.036137363053816,0.036137363053816,0.036137363053816,0.0339601478639426,0.0339601478639426,0.0339601478639426,-0.0851801945672622,-0.0851801945672622,-0.131071147150789,-0.131071147150789,-0.0296199616049371,0.220502579585264,-0.0236198054712477,-0.0339601478639426,-0.0339601478639426,-0.0339601478639426
"GRHL2",-0.0368989871869453,-0.0368989871869453,-0.136898987186945,-0.0400837005627415,-0.0400837005627415,-0.0400837005627415,-0.0432844730178108,-0.0432844730178108,-0.0668653790967006,-0.0668653790967006,0.0376575867559484,0.0669838524359865,0.0378571936546272,0.0400837005627415,0.0400837005627415,0.0400837005627415
"ZEB1",-0.177264474638072,-0.177264474638072,-0.177264474638072,-0.175030337015194,-0.175030337015194,-0.175030337015194,-0.167251946060146,-0.167251946060146,-0.0707526816122632,-0.0707526816122632,0.0760591645592507,0.0869722449317247,0.171838330442655,0.175030337015194,0.175030337015194,0.175030337015194
"MIR1199",-0.174290812785905,-0.174290812785905,-0.174290812785905,-0.177264474638072,-0.177264474638072,-0.177264474638072,-0.17012162253611,-0.17012162253611,-0.0754581973492529,-0.0754581973492529,0.175030337015194,0.085311548090305,0.168618818247533,0.177264474638072,0.177264474638072,0.177264474638072
"HA",-0.174290812785905,-0.174290812785905,-0.174290812785905,-0.177264474638072,-0.177264474638072,-0.177264474638072,-0.17012162253611,-0.17012162253611,-0.0754581973492529,-0.0754581973492529,0.175030337015194,0.085311548090305,0.168618818247533,0.177264474638072,0.177264474638072,0.177264474638072
"CD24",-0.174290812785905,-0.174290812785905,-0.174290812785905,-0.177264474638072,-0.177264474638072,-0.177264474638072,-0.17012162253611,-0.17012162253611,-0.0754581973492529,-0.0754581973492529,0.175030337015194,0.085311548090305,0.168618818247533,0.177264474638072,0.177264474638072,0.177264474638072
"SNAIL1",-0.371764332583235,-0.371764332583235,-0.371764332583235,-0.374898068054767,-0.374898068054767,-0.374898068054767,-0.462103778973034,-0.462103778973034,-0.209606286253281,-0.209606286253281,0.377302594221669,0.345506381125416,0.464168294803455,0.374898068054767,0.374898068054767,0.374898068054767
"MIR129",-0.403788631346578,-0.403788631346578,-0.403788631346578,-0.410644070988903,-0.410644070988903,-0.410644070988903,-0.411400661363691,-0.411400661363691,-0.311376672405986,-0.0677081188941843,0.418186040420124,0.422073389575316,0.40520920695145,0.410644070988903,0.410644070988903,0.410644070988903
