"","TWIST1","MIR34","CD44s","MIR340","MIR1199","HAS2","GRHL2","TGFB","MIR200","ZEB1","SNAIL1","MIR190","ESRP1","HA","CD24","MIR129"
"GRHL2",0.166215971415325,0.211827070780556,0.176978058203189,0.181564045464336,0.181564045464336,0.181564045464336,0.181564045464336,0.159626049561913,0.151085961012997,-0.180770044582112,-0.130002085931741,-0.181564045464336,-0.181564045464336,-0.176978058203189,-0.276978058203189,-0.166215971415325
"TGFB",0.125028129533671,0.121097055785131,0.117145187923958,0.117145187923958,0.117145187923958,0.117145187923958,0.117145187923958,0.00263581938806586,-0.00539575887846513,-0.118160341668257,-0.0251582811385513,-0.117145187923958,-0.117145187923958,-0.117145187923958,-0.117145187923958,-0.125028129533671
"MIR34",0.125028129533671,0.121097055785131,0.117145187923958,0.117145187923958,0.117145187923958,0.117145187923958,0.117145187923958,0.00263581938806586,-0.00539575887846513,-0.118160341668257,-0.0251582811385513,-0.117145187923958,-0.117145187923958,-0.117145187923958,-0.117145187923958,-0.125028129533671
"HA",0.14408442451988,0.128432911643323,0.114493667001846,0.118486870060469,0.118486870060469,0.118486870060469,0.118486870060469,0.0887840229069614,0.0768963909648451,-0.116014424424485,-0.104766940266934,-0.118486870060469,-0.118486870060469,-0.114493667001846,-0.114493667001846,-0.14408442451988
"CD44s",0.14408442451988,0.128432911643323,0.114493667001846,0.118486870060469,0.118486870060469,0.118486870060469,0.118486870060469,0.0887840229069614,0.0768963909648451,-0.116014424424485,-0.104766940266934,-0.118486870060469,-0.118486870060469,-0.114493667001846,-0.114493667001846,-0.14408442451988
"MIR129",-0.108834903714984,0.00125643357972312,0.00520143487858719,0.00251887154028615,0.00251887154028615,0.00251887154028615,0.00251887154028615,0.00524003796080168,0.00379324881624294,-0.00169201110430519,-0.00630787017034088,-0.00251887154028615,-0.00251887154028615,-0.00520143487858719,-0.00520143487858719,0.0305467649723716
"TWIST1",0.00742276982377027,-0.00193398208603664,-0.00251887154028615,-0.00169201110430519,-0.00169201110430519,-0.00169201110430519,-0.00169201110430519,-0.00391572125186959,-0.00209937755045914,0.00270105772921821,0.00500417866492027,0.00169201110430519,0.00169201110430519,0.00251887154028615,0.00251887154028615,-0.0291081042347311
"ZEB1",-0.143616989181768,-0.126988934308284,-0.118486870060469,-0.116014424424485,-0.116014424424485,-0.116014424424485,-0.116014424424485,-0.0927840229069614,-0.0753061880768905,0.0148633599445013,0.106069447593538,0.116014424424485,0.116014424424485,0.118486870060469,0.118486870060469,0.143616989181768
"MIR200",0.0596475518975677,-0.001793732223885,-0.069494357940842,-0.0729880288269179,-0.0729880288269179,-0.0729880288269179,-0.0729880288269179,-0.0578089875178603,-0.152745278853561,0.0715295856710578,-0.0110730156582182,0.0729880288269179,0.0729880288269179,0.069494357940842,0.069494357940842,-0.0596475518975677
"MIR340",-0.14408442451988,-0.128432911643323,-0.114493667001846,-0.118486870060469,-0.118486870060469,-0.118486870060469,-0.118486870060469,-0.0887840229069614,-0.0768963909648451,0.116014424424485,0.104766940266934,0.118486870060469,0.118486870060469,0.114493667001846,0.114493667001846,0.14408442451988
"MIR1199",-0.14408442451988,-0.128432911643323,-0.114493667001846,-0.118486870060469,-0.118486870060469,-0.118486870060469,-0.118486870060469,-0.0887840229069614,-0.0768963909648451,0.116014424424485,0.104766940266934,0.118486870060469,0.118486870060469,0.114493667001846,0.114493667001846,0.14408442451988
"CD24",-0.14408442451988,-0.128432911643323,-0.114493667001846,-0.118486870060469,-0.118486870060469,-0.118486870060469,-0.118486870060469,-0.0887840229069614,-0.0768963909648451,0.116014424424485,0.104766940266934,0.118486870060469,0.118486870060469,0.114493667001846,0.114493667001846,0.14408442451988
"MIR190",-0.123576303752765,-0.120023476314066,-0.119902080154535,-0.117145187923958,-0.117145187923958,-0.117145187923958,-0.117145187923958,-0.10420054200542,0.00432217940739941,0.117145187923958,0.0266903145647351,0.117145187923958,0.117145187923958,0.119902080154535,0.119902080154535,0.123576303752765
"SNAIL1",-0.124526685984059,-0.121124070643303,-0.117145187923958,-0.118160341668257,-0.118160341668257,-0.118160341668257,-0.118160341668257,-0.00196947776609284,0.00418009026072538,0.118089620310407,-0.0745139548515359,0.118160341668257,0.118160341668257,0.117145187923958,0.117145187923958,0.124526685984059
"HAS2",-0.145819584337231,-0.127484544941531,-0.10813234384663,-0.114493667001846,-0.114493667001846,-0.114493667001846,-0.114493667001846,-0.0842429601050291,-0.0728921760017261,0.118486870060469,0.104577725508183,0.114493667001846,0.114493667001846,0.00813234384662956,0.10813234384663,0.145819584337231
"ESRP1",-0.145819584337231,-0.127484544941531,-0.20813234384663,-0.114493667001846,-0.114493667001846,-0.114493667001846,-0.114493667001846,-0.0842429601050291,-0.0728921760017261,0.118486870060469,0.104577725508183,0.114493667001846,0.114493667001846,0.10813234384663,0.10813234384663,0.145819584337231
