"","TWIST1","SNAIL1","MIR200","CD44s","MIR1199","HAS2","GRHL2","TGFB","ZEB1","MIR340","MIR190","ESRP1","HA","CD24","MIR34","MIR129"
"TWIST1",-0.137157815714252,-0.210292064833707,0.00383111034873897,0.211031786763521,0.211608083431022,0.211608083431022,0.211608083431022,-0.0690361838828885,-0.211347123096993,-0.211608083431022,-0.211608083431022,-0.211608083431022,-0.211031786763521,-0.211031786763521,-0.00383111034873897,0.083922715087876
"MIR200",0.306334873797541,0.255942895747927,0.277478095283709,0.132563862784945,0.135449938734312,0.135449938734312,0.135449938734312,0.231386337906658,-0.13518636467,-0.135449938734312,-0.135449938734312,-0.135449938734312,-0.132563862784945,-0.132563862784945,-0.277478095283709,-0.306334873797541
"HA",0.215421449997759,0.175986841547504,0.17706152248854,0.119281536348058,0.124634127681957,0.124634127681957,0.124634127681957,0.0279754788723834,-0.122995760091847,-0.124634127681957,-0.124634127681957,-0.124634127681957,-0.119281536348058,-0.119281536348058,-0.17706152248854,-0.215421449997759
"CD44s",0.215421449997759,0.175986841547504,0.17706152248854,0.119281536348058,0.124634127681957,0.124634127681957,0.124634127681957,0.0279754788723834,-0.122995760091847,-0.124634127681957,-0.124634127681957,-0.124634127681957,-0.119281536348058,-0.119281536348058,-0.17706152248854,-0.215421449997759
"CD24",0.215421449997759,0.175986841547504,0.17706152248854,0.119281536348058,0.124634127681957,0.124634127681957,0.124634127681957,0.0279754788723834,-0.122995760091847,-0.124634127681957,-0.124634127681957,-0.124634127681957,-0.119281536348058,-0.119281536348058,-0.17706152248854,-0.215421449997759
"MIR34",-0.295201691920814,-0.232802961582693,-0.152308348853801,0.0357042812014393,0.0339904851431702,0.0339904851431702,0.0339904851431702,-0.143955095245175,-0.0346231171867188,-0.0339904851431702,-0.0339904851431702,-0.0339904851431702,-0.0357042812014393,-0.0357042812014393,0.152308348853801,0.295201691920814
"GRHL2",0.14260685892636,0.113267857017473,0.0467461223460262,0.0178696320162289,0.0228377848824709,0.0228377848824709,0.0228377848824709,0.0133895857334778,-0.0202352264351838,-0.0228377848824709,-0.0228377848824709,-0.0228377848824709,-0.0178696320162289,-0.117869632016229,-0.0467461223460262,-0.14260685892636
"ZEB1",-0.215701911200626,-0.176670657893971,-0.175873439871103,-0.124634127681957,-0.122995760091847,-0.122995760091847,-0.122995760091847,-0.0283332024496191,0.0248395005420865,0.122995760091847,0.122995760091847,0.122995760091847,0.124634127681957,0.124634127681957,0.175873439871103,0.215701911200626
"MIR190",0.29427780278751,0.232570835305999,0.150815811540368,-0.0349524015021911,-0.0357042812014393,-0.0357042812014393,-0.0357042812014393,0.243907679408286,0.0339904851431702,0.0357042812014393,0.0357042812014393,0.0357042812014393,0.0349524015021911,0.0349524015021911,-0.150815811540368,-0.29427780278751
"SNAIL1",0.295672744952268,0.133178691057471,0.152011185413909,-0.0339904851431702,-0.0346231171867188,-0.0346231171867188,-0.0346231171867188,0.144231383234774,0.0340472432727968,0.0346231171867188,0.0346231171867188,0.0346231171867188,0.0339904851431702,0.0339904851431702,-0.152011185413909,-0.295672744952268
"TGFB",0.295201691920814,0.232802961582693,0.152308348853801,-0.0357042812014393,-0.0339904851431702,-0.0339904851431702,-0.0339904851431702,0.143955095245175,0.0346231171867188,0.0339904851431702,0.0339904851431702,0.0339904851431702,0.0357042812014393,0.0357042812014393,-0.152308348853801,-0.295201691920814
"MIR340",-0.215421449997759,-0.175986841547504,-0.17706152248854,-0.119281536348058,-0.124634127681957,-0.124634127681957,-0.124634127681957,-0.0279754788723834,0.122995760091847,0.124634127681957,0.124634127681957,0.124634127681957,0.119281536348058,0.119281536348058,0.17706152248854,0.215421449997759
"MIR1199",-0.215421449997759,-0.175986841547504,-0.17706152248854,-0.119281536348058,-0.124634127681957,-0.124634127681957,-0.124634127681957,-0.0279754788723834,0.122995760091847,0.124634127681957,0.124634127681957,0.124634127681957,0.119281536348058,0.119281536348058,0.17706152248854,0.215421449997759
"HAS2",-0.213686290180408,-0.176459878444382,-0.173162681603398,-0.123098330241187,-0.119281536348058,-0.119281536348058,-0.119281536348058,-0.0282653339448471,0.124634127681957,0.119281536348058,0.119281536348058,0.119281536348058,0.0230983302411874,0.123098330241187,0.173162681603398,0.213686290180408
"ESRP1",-0.213686290180408,-0.176459878444382,-0.173162681603398,-0.223098330241187,-0.119281536348058,-0.119281536348058,-0.119281536348058,-0.0282653339448471,0.124634127681957,0.119281536348058,0.119281536348058,0.119281536348058,0.123098330241187,0.123098330241187,0.173162681603398,0.213686290180408
"MIR129",0.0373147194799427,0.210003880395667,-0.00349233609558221,-0.212373068432671,-0.211031786763521,-0.211031786763521,-0.211031786763521,0.0690080069316346,0.211608083431022,0.211031786763521,0.211031786763521,0.211031786763521,0.212373068432671,0.212373068432671,0.00349233609558221,-0.0840535024276615
