"","MIR340","MIR190","MIR1199","GRHL2","CD24","MIR34","MIR200","MIR129","TWIST1","SNAIL1","ZEB1","TGFB","HA","CD44s","HAS2","ESRP1"
"TGFB",0.333110030368392,0.333110030368392,0.333110030368392,0.333110030368392,0.324112601062479,0.43136817701819,0.43136817701819,0.346977038629882,0.138127065512174,-0.418358887310868,-0.342628935767833,-0.426291844082041,-0.324112601062479,-0.324112601062479,-0.333110030368392,-0.333110030368392
"MIR34",0.333110030368392,0.333110030368392,0.333110030368392,0.333110030368392,0.324112601062479,0.43136817701819,0.43136817701819,0.346977038629882,0.138127065512174,-0.418358887310868,-0.342628935767833,-0.426291844082041,-0.324112601062479,-0.324112601062479,-0.333110030368392,-0.333110030368392
"MIR340",0.330883474431105,0.330883474431105,0.330883474431105,0.330883474431105,0.315845241635863,0.287094036735735,0.287094036735735,0.125124326546406,0.0776061425547324,-0.1120540868403,-0.333296343063813,-0.290032319641633,-0.315845241635863,-0.315845241635863,-0.330883474431105,-0.330883474431105
"MIR1199",0.330883474431105,0.330883474431105,0.330883474431105,0.330883474431105,0.315845241635863,0.287094036735735,0.287094036735735,0.125124326546406,0.0776061425547324,-0.1120540868403,-0.333296343063813,-0.290032319641633,-0.315845241635863,-0.315845241635863,-0.330883474431105,-0.330883474431105
"CD44s",0.330883474431105,0.330883474431105,0.330883474431105,0.330883474431105,0.315845241635863,0.287094036735735,0.287094036735735,0.125124326546406,0.0776061425547324,-0.1120540868403,-0.333296343063813,-0.290032319641633,-0.315845241635863,-0.315845241635863,-0.330883474431105,-0.330883474431105
"ESRP1",0.315845241635863,0.315845241635863,0.315845241635863,0.315845241635863,0.312028447742733,0.27434377330054,0.27434377330054,0.122841221523574,0.0707568274862393,-0.117541314844085,-0.330883474431105,-0.290128937999121,-0.312028447742733,-0.212028447742733,-0.315845241635863,-0.315845241635863
"MIR200",0.160051819483903,0.160051819483903,0.160051819483903,0.160051819483903,0.159596123281371,0.00403927329007923,0.00403927329007923,-0.193813049940578,-0.0955979012623207,0.194331481502001,-0.157785082530819,-0.124561128165651,-0.159596123281371,-0.159596123281371,-0.160051819483903,-0.160051819483903
"GRHL2",0.119983004981171,0.119983004981171,0.119983004981171,0.119983004981171,0.209664533643591,0.107963190546383,0.107963190546383,0.0937179340284981,0.068070623400319,-0.080087524880691,-0.117865669295242,-0.102432886936198,-0.109664533643591,-0.109664533643591,-0.119983004981171,-0.119983004981171
"TWIST1",0.0450810169384225,0.0450810169384225,0.0450810169384225,0.0450810169384225,0.0442040437487457,0.154409120308248,0.154409120308248,0.285431690998137,0.0145716823885841,-0.274580689623371,-0.0489432298820551,-0.117175824649051,-0.0442040437487457,-0.0442040437487457,-0.0450810169384225,-0.0450810169384225
"MIR129",-0.0442040437487457,-0.0442040437487457,-0.0442040437487457,-0.0442040437487457,-0.0351131346578367,-0.154655501583271,-0.154655501583271,-0.285300903658352,-0.11692523887394,0.271822352859271,0.0450810169384225,0.10858185451662,0.0351131346578367,0.0351131346578367,0.0442040437487457,0.0442040437487457
"ZEB1",-0.333296343063813,-0.333296343063813,-0.333296343063813,-0.333296343063813,-0.330883474431105,-0.28645429994173,-0.28645429994173,-0.123846669955567,-0.0732122503764837,0.115342917839975,0.239072038286386,0.303658335901795,0.330883474431105,0.330883474431105,0.333296343063813,0.333296343063813
"HAS2",-0.315845241635863,-0.315845241635863,-0.315845241635863,-0.315845241635863,-0.312028447742733,-0.27434377330054,-0.27434377330054,-0.122841221523574,-0.0707568274862393,0.117541314844085,0.330883474431105,0.290128937999121,0.412028447742734,0.312028447742733,0.315845241635863,0.315845241635863
"MIR190",-0.324112601062479,-0.324112601062479,-0.324112601062479,-0.324112601062479,-0.303059969483532,-0.425738431011382,-0.425738431011382,-0.345437223407709,-0.139754870175614,0.414969843671127,0.333110030368392,0.308131578553355,0.303059969483532,0.303059969483532,0.324112601062479,0.324112601062479
"HA",-0.330883474431105,-0.330883474431105,-0.330883474431105,-0.330883474431105,-0.315845241635863,-0.287094036735735,-0.287094036735735,-0.125124326546406,-0.0776061425547324,0.1120540868403,0.333296343063813,0.290032319641633,0.315845241635863,0.315845241635863,0.330883474431105,0.330883474431105
"CD24",-0.330883474431105,-0.330883474431105,-0.330883474431105,-0.330883474431105,-0.315845241635863,-0.287094036735735,-0.287094036735735,-0.125124326546406,-0.0776061425547324,0.1120540868403,0.333296343063813,0.290032319641633,0.315845241635863,0.315845241635863,0.330883474431105,0.330883474431105
"SNAIL1",-0.342628935767833,-0.342628935767833,-0.342628935767833,-0.342628935767833,-0.333110030368392,-0.438509104528321,-0.438509104528321,-0.348633321869511,-0.139813739269961,0.317887226906359,0.346973247750051,0.433199043822005,0.333110030368392,0.333110030368392,0.342628935767833,0.342628935767833
