"","MIR200","TWIST1","HA","CD44s","MIR340","MIR190","MIR34","ZEB1","MIR129","MIR1199","HAS2","GRHL2","ESRP1","CD24","SNAIL1","TGFB"
"GRHL2",0.292091435396553,0.165434447254511,0.269539565340612,0.269539565340612,0.270176508015772,0.270176508015772,0.214440455966457,-0.270397063816389,-0.104571130302956,-0.270176508015772,-0.270176508015772,-0.270176508015772,-0.270176508015772,-0.169539565340612,-0.155527967978388,-0.282448128178179
"TWIST1",0.100177617315755,-0.0395993062652877,0.178399435128618,0.178399435128618,0.179226295564599,0.179226295564599,0.0751040645307672,-0.179522050609832,0.0984851612450574,-0.179226295564599,-0.179226295564599,-0.179226295564599,-0.179226295564599,-0.178399435128618,-0.0348820751110927,-0.125223463547312
"MIR200",0.233378592306858,0.129173414360233,0.144185330733043,0.144185330733043,0.144944824403929,0.144944824403929,0.0243534859714107,-0.144751536756767,-0.0647415436086597,-0.144944824403929,-0.144944824403929,-0.144944824403929,-0.144944824403929,-0.144185330733043,-0.112386212928158,-0.337205384586996
"ESRP1",0.161649041419265,0.144219584337231,0.125386518243661,0.0253865182436611,0.122078630202949,0.122078630202949,0.0928382254361781,-0.124032750848658,-0.0856849816849817,-0.122078630202949,-0.122078630202949,-0.122078630202949,-0.122078630202949,-0.125386518243661,-0.130322114257723,-0.148936076319443
"MIR340",0.16249203404308,0.143580314930839,0.122078630202949,0.122078630202949,0.124032750848658,0.124032750848658,0.0944188366058304,-0.123645500327359,-0.0841324702694566,-0.124032750848658,-0.124032750848658,-0.124032750848658,-0.124032750848658,-0.122078630202949,-0.130322114257723,-0.146907090812197
"HA",0.16249203404308,0.143580314930839,0.122078630202949,0.122078630202949,0.124032750848658,0.124032750848658,0.0944188366058304,-0.123645500327359,-0.0841324702694566,-0.124032750848658,-0.124032750848658,-0.124032750848658,-0.124032750848658,-0.122078630202949,-0.130322114257723,-0.146907090812197
"CD24",0.16249203404308,0.143580314930839,0.122078630202949,0.122078630202949,0.124032750848658,0.124032750848658,0.0944188366058304,-0.123645500327359,-0.0841324702694566,-0.124032750848658,-0.124032750848658,-0.124032750848658,-0.124032750848658,-0.122078630202949,-0.130322114257723,-0.146907090812197
"TGFB",-0.0359248020156332,-0.0626251417692785,0.0188039334499805,0.0188039334499805,0.0187182436470671,0.0187182436470671,0.0566294653735196,-0.019262601451981,0.0134542894530525,-0.0187182436470671,-0.0187182436470671,-0.0187182436470671,-0.0187182436470671,-0.0188039334499805,-0.00438842239418796,0.0501903094389566
"SNAIL1",-0.0354655494267093,-0.0626403370283577,0.0187182436470671,0.0187182436470671,0.019262601451981,0.019262601451981,0.0568365792861716,-0.0188281702537592,0.01258815968554,-0.019262601451981,-0.019262601451981,-0.019262601451981,-0.019262601451981,-0.0187182436470671,-0.104796128845543,0.0505316063672843
"MIR190",0.0354272895778223,0.060733368782037,-0.0178014271843164,-0.0178014271843164,-0.0188039334499805,-0.0188039334499805,-0.0562366923963005,0.0187182436470671,-0.0127943686435497,0.0188039334499805,0.0188039334499805,0.0188039334499805,0.0188039334499805,0.0178014271843164,0.00406344560681563,-0.150522220297183
"MIR34",0.0359248020156332,0.0626251417692785,-0.0188039334499805,-0.0188039334499805,-0.0187182436470671,-0.0187182436470671,-0.0566294653735196,0.019262601451981,-0.0134542894530525,0.0187182436470671,0.0187182436470671,0.0187182436470671,0.0187182436470671,0.0188039334499805,0.00438842239418796,-0.0501903094389566
"ZEB1",-0.162254417519592,-0.143050554880979,-0.124032750848658,-0.124032750848658,-0.123645500327359,-0.123645500327359,-0.0941812200823429,0.0241038888370873,0.0843506067605753,0.123645500327359,0.123645500327359,0.123645500327359,0.123645500327359,0.124032750848658,0.130582615723044,0.148175383495124
"MIR1199",-0.16249203404308,-0.143580314930839,-0.122078630202949,-0.122078630202949,-0.124032750848658,-0.124032750848658,-0.0944188366058304,0.123645500327359,0.0841324702694566,0.124032750848658,0.124032750848658,0.124032750848658,0.124032750848658,0.122078630202949,0.130322114257723,0.146907090812197
"CD44s",-0.16249203404308,-0.143580314930839,-0.122078630202949,-0.122078630202949,-0.124032750848658,-0.124032750848658,-0.0944188366058304,0.123645500327359,0.0841324702694566,0.124032750848658,0.124032750848658,0.124032750848658,0.124032750848658,0.122078630202949,0.130322114257723,0.146907090812197
"HAS2",-0.161649041419265,-0.144219584337231,-0.225386518243661,-0.125386518243661,-0.122078630202949,-0.122078630202949,-0.0928382254361781,0.124032750848658,0.0856849816849817,0.122078630202949,0.122078630202949,0.122078630202949,0.122078630202949,0.125386518243661,0.130322114257723,0.148936076319443
"MIR129",-0.100300807953267,-0.0626496477096077,-0.179144591611479,-0.179144591611479,-0.178399435128618,-0.178399435128618,-0.0739645511337854,0.179226295564599,-0.0971511303792452,0.178399435128618,0.178399435128618,0.178399435128618,0.178399435128618,0.179144591611479,0.0345664445360961,0.126040595133674
