"","TGFB","HA","CD24","MIR34","MIR200","MIR340","MIR190","ESRP1","ZEB1","SNAIL1","MIR129","TWIST1","MIR1199","HAS2","GRHL2","CD44s"
"TWIST1",0.117630538823856,0.181992915256133,0.181992915256133,0.0803622724696585,0.0803622724696585,0.178860868150145,0.178860868150145,0.178860868150145,-0.18122690851201,-0.0133883896447206,-0.0184064359377984,0.00312603678307574,-0.178860868150145,-0.178860868150145,-0.178860868150145,-0.181992915256133
"MIR129",0.112136033329351,0.178118101545254,0.178118101545254,0.0854438862670099,0.0854438862670099,0.181992915256133,0.181992915256133,0.181992915256133,-0.178860868150145,-0.0198519548979112,-0.0249196454591167,0.1005632752768,-0.181992915256133,-0.181992915256133,-0.181992915256133,-0.178118101545254
"TGFB",-0.0205084373284148,0.0942306651297572,0.0942306651297572,-0.0438671708907737,-0.0438671708907737,0.0843763377947101,0.0843763377947101,0.0843763377947101,-0.0921886079138803,-0.0514681325317373,0.0420337232397381,0.11273462623976,-0.0843763377947101,-0.0843763377947101,-0.0843763377947101,-0.0942306651297572
"MIR200",0.0809506385075458,0.0828923615399523,0.0828923615399523,-0.0011023995668441,-0.0011023995668441,0.092360715970332,0.092360715970332,0.092360715970332,-0.084681924896707,-0.0736361610079954,0.0363353082904466,0.0900770173090758,-0.092360715970332,-0.092360715970332,-0.092360715970332,-0.0828923615399523
"MIR190",0.0616157921642358,0.0814487102425392,0.0814487102425392,-0.0274492604430126,-0.0274492604430126,0.0942306651297572,0.0942306651297572,0.0942306651297572,-0.0843763377947101,-0.0727308994769555,0.0209602520562801,0.104507613481291,-0.0942306651297572,-0.0942306651297572,-0.0942306651297572,-0.0814487102425392
"HAS2",0.0654477368473312,-0.0364254792826221,0.0635745207173779,0.0538808862481721,0.0538808862481721,0.0536508565952405,0.0536508565952405,0.0536508565952405,-0.0608726068076449,0.0407838377598906,-0.0271224461812697,-0.0473852030322618,-0.0536508565952405,-0.0536508565952405,-0.0536508565952405,-0.0635745207173779
"MIR340",0.0516313117265582,0.0536508565952405,0.0536508565952405,0.0664204015274134,0.0664204015274134,0.0608726068076449,0.0608726068076449,0.0608726068076449,-0.0547063869685028,0.024038331610411,-0.043834774948393,-0.0540518696989285,-0.0608726068076449,-0.0608726068076449,-0.0608726068076449,-0.0536508565952405
"MIR1199",0.0516313117265582,0.0536508565952405,0.0536508565952405,0.0664204015274134,0.0664204015274134,0.0608726068076449,0.0608726068076449,0.0608726068076449,-0.0547063869685028,0.024038331610411,-0.043834774948393,-0.0540518696989285,-0.0608726068076449,-0.0608726068076449,-0.0608726068076449,-0.0536508565952405
"CD44s",0.0516313117265582,0.0536508565952405,0.0536508565952405,0.0664204015274134,0.0664204015274134,0.0608726068076449,0.0608726068076449,0.0608726068076449,-0.0547063869685028,0.024038331610411,-0.043834774948393,-0.0540518696989285,-0.0608726068076449,-0.0608726068076449,-0.0608726068076449,-0.0536508565952405
"CD24",0.0516313117265582,0.0536508565952405,0.0536508565952405,0.0664204015274134,0.0664204015274134,0.0608726068076449,0.0608726068076449,0.0608726068076449,-0.0547063869685028,0.024038331610411,-0.043834774948393,-0.0540518696989285,-0.0608726068076449,-0.0608726068076449,-0.0608726068076449,-0.0536508565952405
"ZEB1",-0.0621353767672086,-0.0608726068076449,-0.0608726068076449,-0.0561663346292229,-0.0561663346292229,-0.0547063869685028,-0.0547063869685028,-0.0547063869685028,-0.0404754404736893,-0.0371936556091085,0.0305284489901506,0.0487231068444567,0.0547063869685028,0.0547063869685028,0.0547063869685028,0.0608726068076449
"GRHL2",-0.0175342417180266,-0.0164978893512925,-0.116497889351292,-0.00293287160816906,-0.00293287160816906,-0.00859980017931797,-0.00859980017931797,-0.00859980017931797,0.0150400295573506,0.0330756215225127,-0.0507226249544744,-0.0554881728218118,0.00859980017931797,0.00859980017931797,0.00859980017931797,0.0164978893512925
"HA",-0.0516313117265582,-0.0536508565952405,-0.0536508565952405,-0.0664204015274134,-0.0664204015274134,-0.0608726068076449,-0.0608726068076449,-0.0608726068076449,0.0547063869685028,-0.024038331610411,0.043834774948393,0.0540518696989285,0.0608726068076449,0.0608726068076449,0.0608726068076449,0.0536508565952405
"ESRP1",-0.0654477368473312,-0.0635745207173779,-0.0635745207173779,-0.0538808862481721,-0.0538808862481721,-0.0536508565952405,-0.0536508565952405,-0.0536508565952405,0.0608726068076449,-0.0407838377598906,0.0271224461812697,0.0473852030322618,0.0536508565952405,0.0536508565952405,0.0536508565952405,-0.0364254792826221
"SNAIL1",0.0344366024511191,-0.0843763377947101,-0.0843763377947101,0.0308370042991484,0.0308370042991484,-0.0921886079138803,-0.0921886079138803,-0.0921886079138803,0.0859853345253169,-0.0316879950563993,-0.0252733524754166,-0.106094298022164,0.0921886079138803,0.0921886079138803,0.0921886079138803,0.0843763377947101
"MIR34",0.0205084373284148,-0.0942306651297572,-0.0942306651297572,0.0438671708907737,0.0438671708907737,-0.0843763377947101,-0.0843763377947101,-0.0843763377947101,0.0921886079138803,0.0514681325317373,-0.0420337232397381,-0.11273462623976,0.0843763377947101,0.0843763377947101,0.0843763377947101,0.0942306651297572
