"","ZEB1","TGFB","CD44s","CD24","MIR34","MIR340","MIR1199","MIR190","HAS2","GRHL2","ESRP1","MIR200","HA","MIR129","SNAIL1","TWIST1"
"GRHL2",-0.159784331359824,0.153676823867381,0.160588222132725,0.0605882221327247,0.147281510716086,0.160842999202788,0.160842999202788,-0.160842999202788,-0.160842999202788,-0.160842999202788,-0.160842999202788,-0.147281510716086,-0.160588222132725,-0.0895521921871381,-0.119792904374361,-0.135170828943437
"MIR190",-0.101839827006966,0.0233973515741472,0.100501004371972,0.100501004371972,0.0866591453790709,0.101754137204052,0.101754137204052,-0.101754137204052,-0.101754137204052,-0.101754137204052,-0.101754137204052,-0.0866591453790709,-0.100501004371972,0.00689149742925451,-0.0232747741559096,0.0488490881142511
"SNAIL1",-0.101366565132343,0.12437415017983,0.101839827006966,0.101839827006966,0.0860722884365035,0.101619141410379,0.101619141410379,-0.101619141410379,-0.101619141410379,-0.101619141410379,-0.101619141410379,-0.0860722884365035,-0.101839827006966,0.00603085613851452,-0.123711963557813,0.0480668899251543
"ZEB1",-0.0557777649129172,-0.0467741661470536,-0.0457405110474343,-0.0457405110474343,-0.0449747144291752,-0.0445787594835379,-0.0445787594835379,0.0445787594835379,0.0445787594835379,0.0445787594835379,0.0445787594835379,0.0449747144291752,0.0457405110474343,0.0691823616239117,0.094453163985963,0.113802287172443
"HAS2",-0.0457405110474343,0.0456863848344579,0.0431972789115646,0.0431972789115646,0.0465348517101619,0.0465051669522771,0.0465051669522771,-0.0465051669522771,-0.0465051669522771,-0.0465051669522771,-0.0465051669522771,-0.0465348517101619,0.0568027210884354,-0.0703427396133278,-0.0943647179468268,-0.112953532741768
"MIR1199",-0.0445787594835379,0.0475221336267284,0.0465051669522771,0.0465051669522771,0.0457972331643242,0.0457405110474343,0.0457405110474343,-0.0457405110474343,-0.0457405110474343,-0.0457405110474343,-0.0457405110474343,-0.0457972331643242,-0.0465051669522771,-0.0693381734032822,-0.0946485400849535,-0.113958098951814
"HA",-0.0445787594835379,0.0475221336267284,0.0465051669522771,0.0465051669522771,0.0457972331643242,0.0457405110474343,0.0457405110474343,-0.0457405110474343,-0.0457405110474343,-0.0457405110474343,-0.0457405110474343,-0.0457972331643242,-0.0465051669522771,-0.0693381734032822,-0.0946485400849535,-0.113958098951814
"CD44s",-0.0445787594835379,0.0475221336267284,0.0465051669522771,0.0465051669522771,0.0457972331643242,0.0457405110474343,0.0457405110474343,-0.0457405110474343,-0.0457405110474343,-0.0457405110474343,-0.0457405110474343,-0.0457972331643242,-0.0465051669522771,-0.0693381734032822,-0.0946485400849535,-0.113958098951814
"MIR129",0.0126730297874491,-0.00897364988057112,-0.0127455849889625,-0.0127455849889625,-0.00679645636007641,-0.0124475223958179,-0.0124475223958179,0.0124475223958179,0.0124475223958179,0.0124475223958179,0.0124475223958179,0.00679645636007641,0.0127455849889625,-0.110696992103731,0.00580306572680705,0.0377562288921383
"TWIST1",0.0129165927658764,-0.00917088853934824,-0.0124475223958179,-0.0124475223958179,-0.00679645636007641,-0.0126730297874491,-0.0126730297874491,0.0126730297874491,0.0126730297874491,0.0126730297874491,0.0126730297874491,0.00679645636007641,0.0124475223958179,-0.109833795661147,0.00625592698658474,-0.0626098798944726
"MIR200",0.0441043673265205,-0.0633857289676887,-0.0457868284187626,-0.0457868284187626,0.0271287394176286,-0.0448248031023069,-0.0448248031023069,0.0448248031023069,0.0448248031023069,0.0448248031023069,0.0448248031023069,-0.0271287394176286,0.0457868284187626,0.0540660358630241,0.0836989111097198,0.107436774086639
"MIR340",0.0445787594835379,-0.0475221336267284,-0.0465051669522771,-0.0465051669522771,-0.0457972331643242,-0.0457405110474343,-0.0457405110474343,0.0457405110474343,0.0457405110474343,0.0457405110474343,0.0457405110474343,0.0457972331643242,0.0465051669522771,0.0693381734032822,0.0946485400849535,0.113958098951814
"CD24",0.0445787594835379,-0.0475221336267284,-0.0465051669522771,-0.0465051669522771,-0.0457972331643242,-0.0457405110474343,-0.0457405110474343,0.0457405110474343,0.0457405110474343,0.0457405110474343,0.0457405110474343,0.0457972331643242,0.0465051669522771,0.0693381734032822,0.0946485400849535,0.113958098951814
"ESRP1",0.0457405110474343,-0.0456863848344579,-0.143197278911565,-0.0431972789115646,-0.0465348517101619,-0.0465051669522771,-0.0465051669522771,0.0465051669522771,0.0465051669522771,0.0465051669522771,0.0465051669522771,0.0465348517101619,0.0431972789115646,0.0703427396133278,0.0943647179468268,0.112953532741768
"TGFB",0.101619141410379,-0.124487915822606,-0.101754137204052,-0.101754137204052,-0.0864234815927394,-0.101839827006966,-0.101839827006966,0.101839827006966,0.101839827006966,0.101839827006966,0.101839827006966,0.0864234815927394,0.101754137204052,-0.0063195660610187,0.0238318772199764,-0.0486291145110835
"MIR34",0.101619141410379,-0.124487915822606,-0.101754137204052,-0.101754137204052,-0.0864234815927394,-0.101839827006966,-0.101839827006966,0.101839827006966,0.101839827006966,0.101839827006966,0.101839827006966,0.0864234815927394,0.101754137204052,-0.0063195660610187,0.0238318772199764,-0.0486291145110835
