"","MIR340","MIR190","MIR1199","HAS2","GRHL2","ESRP1","HA","TGFB","MIR200","SNAIL1","MIR129","TWIST1","ZEB1","MIR34","CD44s","CD24"
"GRHL2",0.273012529931061,0.273012529931061,0.273012529931061,0.273012529931061,0.273012529931061,0.273012529931061,0.272502975790934,0.270877833588651,0.271982974228203,0.109171882072497,-0.0806344445598894,-0.120843110326788,-0.274115308934149,-0.271982974228203,-0.272502975790934,-0.372502975790934
"SNAIL1",0.249266696464596,0.249266696464596,0.249266696464596,0.249266696464596,0.249266696464596,0.249266696464596,0.245220793860506,0.391511658920841,0.421448924586114,0.412837702849532,-0.173523769950556,-0.418327837762324,-0.251792459244956,-0.421448924586114,-0.245220793860506,-0.245220793860506
"MIR340",0.208120343223127,0.208120343223127,0.208120343223127,0.208120343223127,0.208120343223127,0.208120343223127,0.206845916715055,0.183470322976452,0.173926933095219,0.0837593412098306,-0.0624423130992027,-0.10096654932497,-0.209162940780469,-0.173926933095219,-0.206845916715055,-0.206845916715055
"HA",0.208120343223127,0.208120343223127,0.208120343223127,0.208120343223127,0.208120343223127,0.208120343223127,0.206845916715055,0.183470322976452,0.173926933095219,0.0837593412098306,-0.0624423130992027,-0.10096654932497,-0.209162940780469,-0.173926933095219,-0.206845916715055,-0.206845916715055
"HAS2",0.206845916715055,0.206845916715055,0.206845916715055,0.206845916715055,0.206845916715055,0.206845916715055,0.308627087198516,0.184339888193844,0.17287319231545,0.0848000223829621,-0.0616203952909835,-0.0999619831149243,-0.208120343223127,-0.17287319231545,-0.208627087198516,-0.208627087198516
"ESRP1",0.206845916715055,0.206845916715055,0.206845916715055,0.206845916715055,0.206845916715055,0.206845916715055,0.208627087198516,0.184339888193844,0.17287319231545,0.0848000223829621,-0.0616203952909835,-0.0999619831149243,-0.208120343223127,-0.17287319231545,-0.308627087198516,-0.208627087198516
"ZEB1",-0.209162940780469,-0.209162940780469,-0.209162940780469,-0.209162940780469,-0.209162940780469,-0.209162940780469,-0.208120343223127,-0.184608534358566,-0.174164549618706,-0.0840524053583165,0.0614139553553573,0.100561438698607,0.10878604356136,0.174164549618706,0.208120343223127,0.208120343223127
"MIR1199",-0.208120343223127,-0.208120343223127,-0.208120343223127,-0.208120343223127,-0.208120343223127,-0.208120343223127,-0.206845916715055,-0.183470322976452,-0.173926933095219,-0.0837593412098306,0.0624423130992027,0.10096654932497,0.209162940780469,0.173926933095219,0.206845916715055,0.206845916715055
"CD44s",-0.208120343223127,-0.208120343223127,-0.208120343223127,-0.208120343223127,-0.208120343223127,-0.208120343223127,-0.206845916715055,-0.183470322976452,-0.173926933095219,-0.0837593412098306,0.0624423130992027,0.10096654932497,0.209162940780469,0.173926933095219,0.206845916715055,0.206845916715055
"CD24",-0.208120343223127,-0.208120343223127,-0.208120343223127,-0.208120343223127,-0.208120343223127,-0.208120343223127,-0.206845916715055,-0.183470322976452,-0.173926933095219,-0.0837593412098306,0.0624423130992027,0.10096654932497,0.209162940780469,0.173926933095219,0.206845916715055,0.206845916715055
"MIR200",-0.235878030552643,-0.235878030552643,-0.235878030552643,-0.235878030552643,-0.235878030552643,-0.235878030552643,-0.231574233084288,-0.244567734298144,-0.35998389454949,-0.332112445223051,0.151686016571657,0.301490301231968,0.238671915634351,0.35998389454949,0.231574233084288,0.231574233084288
"MIR190",-0.239908026079872,-0.239908026079872,-0.239908026079872,-0.239908026079872,-0.239908026079872,-0.239908026079872,-0.231136096255311,-0.274959948494513,-0.409428776977042,-0.502674016061494,0.169426932897549,0.405747901373837,0.245220793860506,0.409428776977042,0.231136096255311,0.231136096255311
"TGFB",-0.245220793860506,-0.245220793860506,-0.245220793860506,-0.245220793860506,-0.245220793860506,-0.245220793860506,-0.239908026079872,-0.385059521751981,-0.416577245162431,-0.508848575021568,0.172110610856194,0.413358988043436,0.249266696464596,0.416577245162431,0.239908026079872,0.239908026079872
"MIR34",-0.245220793860506,-0.245220793860506,-0.245220793860506,-0.245220793860506,-0.245220793860506,-0.245220793860506,-0.239908026079872,-0.385059521751981,-0.416577245162431,-0.508848575021568,0.172110610856194,0.413358988043436,0.249266696464596,0.416577245162431,0.239908026079872,0.239908026079872
"MIR129",-0.278734109908114,-0.278734109908114,-0.278734109908114,-0.278734109908114,-0.278734109908114,-0.278734109908114,-0.274710264900662,-0.290987651083116,-0.306205114731136,-0.356698320843183,0.0631959382225761,0.319108761547136,0.281164578462361,0.306205114731136,0.274710264900662,0.274710264900662
"TWIST1",-0.281164578462361,-0.281164578462361,-0.281164578462361,-0.281164578462361,-0.281164578462361,-0.281164578462361,-0.278734109908114,-0.295636848040006,-0.309654452581459,-0.359264534648589,0.0649484885757019,0.222874451923705,0.28339143997941,0.309654452581459,0.278734109908114,0.278734109908114
