"","MIR34","MIR200","MIR340","MIR1199","ESRP1","TWIST1","MIR129","ZEB1","SNAIL1","MIR190","HAS2","GRHL2","HA","CD44s","CD24","TGFB"
"GRHL2",0.189558290637237,0.189558290637237,0.176458160074494,0.176458160074494,0.176458160074494,0.0775353403489674,0.0775353403489674,-0.175928826153012,-0.0526181821510723,-0.176458160074494,-0.176458160074494,-0.176458160074494,-0.17620338300443,-0.17620338300443,-0.0762033830044301,-0.181487911141258
"SNAIL1",-0.00289534483686848,-0.00289534483686848,0.156416139110853,0.156416139110853,0.156416139110853,-0.163278681384397,-0.163278681384397,-0.155820059094688,-0.027649371678877,-0.156416139110853,-0.156416139110853,-0.156416139110853,-0.155342135874131,-0.155342135874131,-0.155342135874131,-0.0129459417560255
"MIR340",0.0634058208550146,0.0634058208550146,0.0586772184796013,0.0586772184796013,0.0586772184796013,0.0617174175810759,0.0617174175810759,-0.0576346209222584,-0.026531555325047,-0.0586772184796013,-0.0586772184796013,-0.0586772184796013,-0.057742639040349,-0.057742639040349,-0.057742639040349,-0.054441822006863
"MIR1199",0.0634058208550146,0.0634058208550146,0.0586772184796013,0.0586772184796013,0.0586772184796013,0.0617174175810759,0.0617174175810759,-0.0576346209222584,-0.026531555325047,-0.0586772184796013,-0.0586772184796013,-0.0586772184796013,-0.057742639040349,-0.057742639040349,-0.057742639040349,-0.054441822006863
"CD44s",0.0634058208550146,0.0634058208550146,0.0586772184796013,0.0586772184796013,0.0586772184796013,0.0617174175810759,0.0617174175810759,-0.0576346209222584,-0.026531555325047,-0.0586772184796013,-0.0586772184796013,-0.0586772184796013,-0.057742639040349,-0.057742639040349,-0.057742639040349,-0.054441822006863
"CD24",0.0634058208550146,0.0634058208550146,0.0586772184796013,0.0586772184796013,0.0586772184796013,0.0617174175810759,0.0617174175810759,-0.0576346209222584,-0.026531555325047,-0.0586772184796013,-0.0586772184796013,-0.0586772184796013,-0.057742639040349,-0.057742639040349,-0.057742639040349,-0.054441822006863
"ZEB1",-0.0577213024854295,-0.0577213024854295,-0.0576346209222584,-0.0576346209222584,-0.0576346209222584,-0.0558277323208703,-0.0558277323208703,-0.0416625166961586,0.0358770453934287,0.0576346209222584,0.0576346209222584,0.0576346209222584,0.0586772184796013,0.0586772184796013,0.0586772184796013,0.0592873504621476
"MIR200",-0.161310869758553,-0.161310869758553,-0.0353480515241835,-0.0353480515241835,-0.0353480515241835,-0.149207704169584,-0.149207704169584,0.0350493342512965,0.0989796236389948,0.0353480515241835,0.0353480515241835,0.0353480515241835,0.0359050135495,0.0359050135495,0.0359050135495,0.0521887726691277
"HA",-0.0634058208550146,-0.0634058208550146,-0.0586772184796013,-0.0586772184796013,-0.0586772184796013,-0.0617174175810759,-0.0617174175810759,0.0576346209222584,0.026531555325047,0.0586772184796013,0.0586772184796013,0.0586772184796013,0.057742639040349,0.057742639040349,0.057742639040349,0.054441822006863
"HAS2",-0.0561350094746142,-0.0561350094746142,-0.057742639040349,-0.057742639040349,-0.057742639040349,-0.0537722121016239,-0.0537722121016239,0.0586772184796013,0.0395873736788786,0.057742639040349,0.057742639040349,0.057742639040349,0.15952380952381,0.0595238095238095,0.0595238095238095,0.0614949621034814
"ESRP1",-0.0561350094746142,-0.0561350094746142,-0.057742639040349,-0.057742639040349,-0.057742639040349,-0.0537722121016239,-0.0537722121016239,0.0586772184796013,0.0395873736788786,0.057742639040349,0.057742639040349,0.057742639040349,0.0595238095238095,-0.0404761904761905,0.0595238095238095,0.0614949621034814
"MIR190",0.00106241370825128,0.00106241370825128,-0.156113344100352,-0.156113344100352,-0.156113344100352,0.160333969866023,0.160333969866023,0.155342135874131,-0.0756702103668968,0.156113344100352,0.156113344100352,0.156113344100352,0.153356451869776,0.153356451869776,0.153356451869776,0.109984428573567
"TGFB",0.00857747000571134,0.00857747000571134,-0.155342135874131,-0.155342135874131,-0.155342135874131,0.168824950948293,0.168824950948293,0.156416139110853,-0.0627175641273425,0.155342135874131,0.155342135874131,0.155342135874131,0.156113344100352,0.156113344100352,0.156113344100352,0.0179028733341175
"MIR34",0.00857747000571134,0.00857747000571134,-0.155342135874131,-0.155342135874131,-0.155342135874131,0.168824950948293,0.168824950948293,0.156416139110853,-0.0627175641273425,0.155342135874131,0.155342135874131,0.155342135874131,0.156113344100352,0.156113344100352,0.156113344100352,0.0179028733341175
"MIR129",-0.108628004446762,-0.108628004446762,-0.241051571243869,-0.241051571243869,-0.241051571243869,0.267958056822147,0.298513541362727,0.241026514867021,-0.0567535336911622,0.241051571243869,0.241051571243869,0.241051571243869,0.239561258278146,0.239561258278146,0.239561258278146,0.151294115590058
"TWIST1",-0.105733024465241,-0.105733024465241,-0.241026514867021,-0.241026514867021,-0.241026514867021,0.171776048453947,0.302306374216506,0.241531038179477,-0.0517720598336076,0.241026514867021,0.241026514867021,0.241026514867021,0.241051571243869,0.241051571243869,0.241051571243869,0.154703526691777
