"","SNAIL1","MIR340","MIR1199","ESRP1","HA","CD44s","CD24","TWIST1","MIR34","MIR200","TGFB","ZEB1","MIR190","HAS2","GRHL2","MIR129"
"GRHL2",0.138754458099734,0.198947596000052,0.198947596000052,0.198947596000052,0.198055876254829,0.198055876254829,0.0980558762548291,0.0981124457690406,0.166702884490294,0.166702884490294,0.0187502296090338,-0.199256374120917,-0.198947596000052,-0.198947596000052,-0.198947596000052,-0.152052828017284
"MIR200",0.181600467557365,0.122728842379578,0.122728842379578,0.122728842379578,0.122273146177047,0.122273146177047,0.122273146177047,0.0921764318462699,-0.00699590007674337,-0.00699590007674337,0.0130037026430366,-0.122254409063817,-0.122728842379578,-0.122728842379578,-0.122728842379578,-0.185371245909334
"SNAIL1",0.0518887104044015,0.101897868624806,0.101897868624806,0.101897868624806,0.101706607774431,0.101706607774431,0.101706607774431,0.0501466846684254,-0.0776668626749194,-0.0776668626749194,0.11757891625041,-0.102332299823028,-0.101897868624806,-0.101897868624806,-0.101897868624806,-0.151533581603504
"MIR34",0.152184497437738,0.101706607774431,0.101706607774431,0.101706607774431,0.102906265015219,0.102906265015219,0.102906265015219,0.0495540695643379,-0.0773516893295794,-0.0773516893295794,0.117270123791447,-0.101897868624806,-0.101706607774431,-0.101706607774431,-0.101706607774431,-0.149998860436509
"MIR190",0.151070291309604,0.102906265015219,0.102906265015219,0.102906265015219,0.103407518148051,0.103407518148051,0.103407518148051,0.0472223493707611,-0.076121000667626,-0.076121000667626,0.0179813613447895,-0.101706607774431,-0.102906265015219,-0.102906265015219,-0.102906265015219,-0.149602907950807
"MIR1199",0.113639905730628,0.098174045572103,0.098174045572103,0.098174045572103,0.0970695425984412,0.0970695425984412,0.0970695425984412,0.0778129388205133,0.0714674334847669,0.0714674334847669,0.0164254771010217,-0.0982038340737414,-0.098174045572103,-0.098174045572103,-0.098174045572103,-0.130521858372624
"HA",0.113639905730628,0.098174045572103,0.098174045572103,0.098174045572103,0.0970695425984412,0.0970695425984412,0.0970695425984412,0.0778129388205133,0.0714674334847669,0.0714674334847669,0.0164254771010217,-0.0982038340737414,-0.098174045572103,-0.098174045572103,-0.098174045572103,-0.130521858372624
"ZEB1",-0.113867844512783,-0.0982038340737414,-0.0982038340737414,-0.0982038340737414,-0.098174045572103,-0.098174045572103,-0.098174045572103,-0.0772831787706536,-0.0717781627847121,-0.0717781627847121,-0.0162628754750054,-0.00209157185474999,0.0982038340737414,0.0982038340737414,0.0982038340737414,0.129493500628778
"MIR129",-0.12693675514812,-0.000408240476636959,-0.000408240476636959,-0.000408240476636959,-0.00130242825607064,-0.00130242825607064,-0.00130242825607064,0.058771453951334,0.0681126921529462,0.0681126921529462,-0.0482260286635784,-0.00122042401847705,0.000408240476636959,0.000408240476636959,0.000408240476636959,0.0257107597528662
"TWIST1",-0.12824044665354,0.00122042401847705,0.00122042401847705,0.00122042401847705,-0.000408240476636959,-0.000408240476636959,-0.000408240476636959,-0.044157416341553,0.0697141704405963,0.0697141704405963,-0.0473525431747083,-0.00101165575125367,-0.00122042401847705,-0.00122042401847705,-0.00122042401847705,0.0261554367081369
"HAS2",-0.114396764765632,-0.0970695425984412,-0.0970695425984412,-0.0970695425984412,-0.196815089672233,-0.0968150896722325,-0.0968150896722325,-0.0793654502360385,-0.0705190667829756,-0.0705190667829756,-0.0159423853135821,0.098174045572103,0.0970695425984412,0.0970695425984412,0.0970695425984412,0.130430534171711
"ESRP1",-0.114396764765632,-0.0970695425984412,-0.0970695425984412,-0.0970695425984412,-0.0968150896722325,0.00318491032776747,-0.0968150896722325,-0.0793654502360385,-0.0705190667829756,-0.0705190667829756,-0.0159423853135821,0.098174045572103,0.0970695425984412,0.0970695425984412,0.0970695425984412,0.130430534171711
"MIR340",-0.113639905730628,-0.098174045572103,-0.098174045572103,-0.098174045572103,-0.0970695425984412,-0.0970695425984412,-0.0970695425984412,-0.0778129388205133,-0.0714674334847669,-0.0714674334847669,-0.0164254771010217,0.0982038340737414,0.098174045572103,0.098174045572103,0.098174045572103,0.130521858372624
"CD44s",-0.113639905730628,-0.098174045572103,-0.098174045572103,-0.098174045572103,-0.0970695425984412,-0.0970695425984412,-0.0970695425984412,-0.0778129388205133,-0.0714674334847669,-0.0714674334847669,-0.0164254771010217,0.0982038340737414,0.098174045572103,0.098174045572103,0.098174045572103,0.130521858372624
"CD24",-0.113639905730628,-0.098174045572103,-0.098174045572103,-0.098174045572103,-0.0970695425984412,-0.0970695425984412,-0.0970695425984412,-0.0778129388205133,-0.0714674334847669,-0.0714674334847669,-0.0164254771010217,0.0982038340737414,0.098174045572103,0.098174045572103,0.098174045572103,0.130521858372624
"TGFB",-0.152184497437738,-0.101706607774431,-0.101706607774431,-0.101706607774431,-0.102906265015219,-0.102906265015219,-0.102906265015219,-0.0495540695643379,0.0773516893295794,0.0773516893295794,-0.117270123791447,0.101897868624806,0.101706607774431,0.101706607774431,0.101706607774431,0.149998860436509
