"","MIR129","MIR34","MIR200","HA","CD24","MIR340","MIR190","MIR1199","GRHL2","ZEB1","TGFB","HAS2","ESRP1","CD44s","SNAIL1","TWIST1"
"TWIST1",-0.288343289799872,0.120401468496504,0.120401468496504,0.256675018834529,0.256675018834529,0.256800300718769,0.256800300718769,0.256800300718769,0.256800300718769,-0.256817698074371,0.00730833054191478,-0.256800300718769,-0.256800300718769,-0.256675018834529,0.039899559473766,0.157956314638617
"GRHL2",0.14918018080477,0.218155779034393,0.218155779034393,0.187285332856013,0.287285332856014,0.186521001645822,0.186521001645822,0.186521001645822,0.186521001645822,-0.186168112364834,-0.0150049911024242,-0.186521001645822,-0.186521001645822,-0.187285332856013,-0.120142967550122,-0.14918018080477
"SNAIL1",-0.170939421159141,0.000263675822087224,0.000263675822087224,0.170199029714619,0.170199029714619,0.170272591580148,0.170272591580148,0.170272591580148,0.170272591580148,-0.170282694631269,0.0923866187482755,-0.170272591580148,-0.170272591580148,-0.170199029714619,-0.0257331291572606,0.170939421159141
"TGFB",-0.171775160408495,-0.000573784781244608,-0.000573784781244608,0.169941960305878,0.169941960305878,0.170199029714619,0.170199029714619,0.170199029714619,0.170199029714619,-0.170272591580148,0.0915577547794798,-0.170199029714619,-0.170199029714619,-0.169941960305878,0.0732036363715587,0.171775160408495
"MIR190",-0.170323334627589,0.000604534150412894,0.000604534150412894,0.16919008060663,0.16919008060663,0.169941960305878,0.169941960305878,0.169941960305878,0.169941960305878,-0.170199029714619,0.193122477396834,-0.169941960305878,-0.169941960305878,-0.16919008060663,0.0752463476064705,0.170323334627589
"ESRP1",0.128142163718634,0.105090082388986,0.105090082388986,0.0886518243661101,0.0886518243661101,0.0873795597350668,0.0873795597350668,0.0873795597350668,0.0873795597350668,-0.0867848273646335,-0.00719521632300537,-0.0873795597350668,-0.0873795597350668,0.0113481756338899,-0.0968322858606457,-0.128142163718634
"MIR340",0.129512026732333,0.10561695277887,0.10561695277887,0.0873795597350668,0.0873795597350668,0.0867848273646335,0.0867848273646335,0.0867848273646335,0.0867848273646335,-0.0865167308498882,-0.00632565110561406,-0.0867848273646335,-0.0867848273646335,-0.0873795597350668,-0.095602389928763,-0.129512026732333
"HA",0.129512026732333,0.10561695277887,0.10561695277887,0.0873795597350668,0.0873795597350668,0.0867848273646335,0.0867848273646335,0.0867848273646335,0.0867848273646335,-0.0865167308498882,-0.00632565110561406,-0.0867848273646335,-0.0867848273646335,-0.0873795597350668,-0.095602389928763,-0.129512026732333
"CD44s",0.129512026732333,0.10561695277887,0.10561695277887,0.0873795597350668,0.0873795597350668,0.0867848273646335,0.0867848273646335,0.0867848273646335,0.0867848273646335,-0.0865167308498882,-0.00632565110561406,-0.0867848273646335,-0.0867848273646335,-0.0873795597350668,-0.095602389928763,-0.129512026732333
"CD24",0.129512026732333,0.10561695277887,0.10561695277887,0.0873795597350668,0.0873795597350668,0.0867848273646335,0.0867848273646335,0.0867848273646335,0.0867848273646335,-0.0865167308498882,-0.00632565110561406,-0.0867848273646335,-0.0867848273646335,-0.0873795597350668,-0.095602389928763,-0.129512026732333
"ZEB1",-0.129169240817718,-0.104977215984866,-0.104977215984866,-0.0867848273646335,-0.0867848273646335,-0.0865167308498882,-0.0865167308498882,-0.0865167308498882,-0.0865167308498882,-0.013595319674712,0.00687849663406935,0.0865167308498882,0.0865167308498882,0.0867848273646335,0.09628620627523,0.129169240817718
"MIR1199",-0.129512026732333,-0.10561695277887,-0.10561695277887,-0.0873795597350668,-0.0873795597350668,-0.0867848273646335,-0.0867848273646335,-0.0867848273646335,-0.0867848273646335,0.0865167308498882,0.00632565110561406,0.0867848273646335,0.0867848273646335,0.0873795597350668,0.095602389928763,0.129512026732333
"HAS2",-0.128142163718634,-0.105090082388986,-0.105090082388986,-0.18865182436611,-0.0886518243661101,-0.0873795597350668,-0.0873795597350668,-0.0873795597350668,-0.0873795597350668,0.0867848273646335,0.00719521632300537,0.0873795597350668,0.0873795597350668,0.0886518243661101,0.0968322858606457,0.128142163718634
"MIR200",0.0891677802143431,-0.0325924193400974,-0.0325924193400974,-0.139263264112502,-0.139263264112502,-0.139212631201109,-0.139212631201109,-0.139212631201109,-0.139212631201109,0.139159916388247,-0.198544115439692,0.139212631201109,0.139212631201109,0.139263264112502,-0.0388345636726013,-0.0891677802143431
"MIR34",0.171775160408495,0.000573784781244608,0.000573784781244608,-0.169941960305878,-0.169941960305878,-0.170199029714619,-0.170199029714619,-0.170199029714619,-0.170199029714619,0.170272591580148,-0.0915577547794798,0.170199029714619,0.170199029714619,0.169941960305878,-0.0732036363715587,-0.171775160408495
"MIR129",0.287480093357288,-0.121171409980951,-0.121171409980951,-0.256227924944812,-0.256227924944812,-0.256675018834529,-0.256675018834529,-0.256675018834529,-0.256675018834529,0.256800300718769,-0.00835087773830813,0.256675018834529,0.256675018834529,0.256227924944812,-0.0412581432530991,-0.257067193299705
