"","MIR34","SNAIL1","MIR340","MIR1199","ESRP1","HA","CD24","MIR200","TGFB","ZEB1","TWIST1","CD44s","MIR190","HAS2","GRHL2","MIR129"
"SNAIL1",0.439769858624858,0.373244245235649,0.319240386397662,0.319240386397662,0.319240386397662,0.315429881763264,0.315429881763264,-0.100714703095031,0.209609664668326,-0.321816664433628,-0.159496151134378,-0.315429881763264,-0.319240386397662,-0.319240386397662,-0.319240386397662,-0.388291465235436
"MIR34",0.435150317877447,0.469143197989666,0.315429881763264,0.315429881763264,0.315429881763264,0.309688664968063,0.309688664968063,-0.100759727858651,0.20741561298622,-0.319240386397662,-0.158052601521857,-0.309688664968063,-0.315429881763264,-0.315429881763264,-0.315429881763264,-0.383596130179973
"MIR190",0.42810658915265,0.463247190561626,0.309688664968063,0.309688664968063,0.309688664968063,0.301417988276333,0.301417988276333,-0.100733542993503,0.104333583588401,-0.315429881763264,-0.155632891887013,-0.301417988276333,-0.309688664968063,-0.309688664968063,-0.309688664968063,-0.376600969599243
"MIR129",0.321616662817397,0.363372878674644,0.298974373525725,0.298974373525725,0.298974373525725,0.293758278145695,0.293758278145695,-0.00398137298907575,0.104027494059316,-0.302407097153889,-0.146530437140031,-0.293758278145695,-0.298974373525725,-0.298974373525725,-0.298974373525725,-0.355131691660194
"MIR1199",0.215196620085823,0.214073206993076,0.18951663694527,0.18951663694527,0.18951663694527,0.186203128024284,0.186203128024284,0.0931220036737896,0.0351113980922606,-0.191810351571424,-0.119611001944604,-0.186203128024284,-0.18951663694527,-0.18951663694527,-0.18951663694527,-0.208471987105025
"HA",0.215196620085823,0.214073206993076,0.18951663694527,0.18951663694527,0.18951663694527,0.186203128024284,0.186203128024284,0.0931220036737896,0.0351113980922606,-0.191810351571424,-0.119611001944604,-0.186203128024284,-0.18951663694527,-0.18951663694527,-0.18951663694527,-0.208471987105025
"CD44s",0.215196620085823,0.214073206993076,0.18951663694527,0.18951663694527,0.18951663694527,0.186203128024284,0.186203128024284,0.0931220036737896,0.0351113980922606,-0.191810351571424,-0.119611001944604,-0.186203128024284,-0.18951663694527,-0.18951663694527,-0.18951663694527,-0.208471987105025
"CD24",0.215196620085823,0.214073206993076,0.18951663694527,0.18951663694527,0.18951663694527,0.186203128024284,0.186203128024284,0.0931220036737896,0.0351113980922606,-0.191810351571424,-0.119611001944604,-0.186203128024284,-0.18951663694527,-0.18951663694527,-0.18951663694527,-0.208471987105025
"MIR200",0.0570163226734883,0.160033387256043,-0.0494237515934221,-0.0494237515934221,-0.0494237515934221,-0.050790840201017,-0.050790840201017,-0.193066746930615,0.0155224114070582,0.0484221701490362,-0.0834323777301536,0.050790840201017,0.0494237515934221,0.0494237515934221,0.0494237515934221,-0.16660579928805
"ZEB1",-0.21799318378533,-0.216580533596788,-0.191810351571424,-0.191810351571424,-0.191810351571424,-0.18951663694527,-0.18951663694527,-0.093140281867904,-0.0364447314255939,0.0933892453271537,0.120514710264953,0.18951663694527,0.191810351571424,0.191810351571424,0.191810351571424,0.211370086201317
"HAS2",-0.21098165696675,-0.210478126576803,-0.186203128024284,-0.186203128024284,-0.186203128024284,-0.280859616573902,-0.180859616573902,-0.0932273777517664,-0.0332756492999901,0.18951663694527,0.118058490529079,0.180859616573902,0.186203128024284,0.186203128024284,0.186203128024284,0.204179749662103
"ESRP1",-0.21098165696675,-0.210478126576803,-0.186203128024284,-0.186203128024284,-0.186203128024284,-0.180859616573902,-0.180859616573902,-0.0932273777517664,-0.0332756492999901,0.18951663694527,0.118058490529079,0.0808596165739023,0.186203128024284,0.186203128024284,0.186203128024284,0.204179749662103
"MIR340",-0.215196620085823,-0.214073206993076,-0.18951663694527,-0.18951663694527,-0.18951663694527,-0.186203128024284,-0.186203128024284,-0.0931220036737896,-0.0351113980922606,0.191810351571424,0.119611001944604,0.186203128024284,0.18951663694527,0.18951663694527,0.18951663694527,0.208471987105025
"GRHL2",-0.314286288748023,-0.238020374913602,-0.273370215887473,-0.273370215887473,-0.273370215887473,-0.269548559836518,-0.369548559836518,-0.18163115371116,-0.0376881410653541,0.275928663174637,0.139298614926046,0.269548559836518,0.273370215887473,0.273370215887473,0.273370215887473,0.229400696115287
"TWIST1",-0.325866739811545,-0.366982045684387,-0.302407097153889,-0.302407097153889,-0.302407097153889,-0.298974373525725,-0.298974373525725,0.00401217064845364,-0.105915349793325,0.304720945448948,0.0479948722864743,0.298974373525725,0.302407097153889,0.302407097153889,0.302407097153889,0.359395358937201
"TGFB",-0.435150317877447,-0.469143197989666,-0.315429881763264,-0.315429881763264,-0.315429881763264,-0.309688664968063,-0.309688664968063,0.100759727858651,-0.20741561298622,0.319240386397662,0.158052601521857,0.309688664968063,0.315429881763264,0.315429881763264,0.315429881763264,0.383596130179973
