"","MIR200","TGFB","HA","CD24","MIR340","MIR190","MIR1199","HAS2","MIR34","ZEB1","TWIST1","MIR129","SNAIL1","GRHL2","ESRP1","CD44s"
"HAS2",0.0921791135450802,0.07772781647021,0.163543599257885,0.063543599257885,0.0622713346268417,0.0622713346268417,0.0622713346268417,0.0622713346268417,0.0507778460752249,-0.0718720143209794,0.0254715167185755,0.0254715167185755,-0.0340127356237327,-0.0622713346268417,-0.0622713346268417,-0.063543599257885
"ESRP1",0.0921791135450802,0.07772781647021,0.063543599257885,0.063543599257885,0.0622713346268417,0.0622713346268417,0.0622713346268417,0.0622713346268417,0.0507778460752249,-0.0718720143209794,0.0254715167185755,0.0254715167185755,-0.0340127356237327,-0.0622713346268417,-0.0622713346268417,0.036456400742115
"MIR1199",0.0910199986873352,0.0830418261320457,0.0622713346268417,0.0622713346268417,0.0718720143209794,0.0718720143209794,0.0718720143209794,0.0718720143209794,0.0638442317443503,-0.0632035603442144,0.0467500555313609,0.0467500555313609,-0.0209569172699011,-0.0718720143209794,-0.0718720143209794,-0.0622713346268417
"HA",0.0910199986873352,0.0830418261320457,0.0622713346268417,0.0622713346268417,0.0718720143209794,0.0718720143209794,0.0718720143209794,0.0718720143209794,0.0638442317443503,-0.0632035603442144,0.0467500555313609,0.0467500555313609,-0.0209569172699011,-0.0718720143209794,-0.0718720143209794,-0.0622713346268417
"CD44s",0.0910199986873352,0.0830418261320457,0.0622713346268417,0.0622713346268417,0.0718720143209794,0.0718720143209794,0.0718720143209794,0.0718720143209794,0.0638442317443503,-0.0632035603442144,0.0467500555313609,0.0467500555313609,-0.0209569172699011,-0.0718720143209794,-0.0718720143209794,-0.0622713346268417
"CD24",0.0910199986873352,0.0830418261320457,0.0622713346268417,0.0622713346268417,0.0718720143209794,0.0718720143209794,0.0718720143209794,0.0718720143209794,0.0638442317443503,-0.0632035603442144,0.0467500555313609,0.0467500555313609,-0.0209569172699011,-0.0718720143209794,-0.0718720143209794,-0.0622713346268417
"TGFB",0.104584088844631,0.112107121016759,0.0370478575335739,0.0370478575335739,0.0228233502499407,0.0228233502499407,0.0228233502499407,0.0228233502499407,-0.0804596186100739,-0.0349316333159992,-0.0786338587055328,-0.0786338587055328,0.0551867705607989,-0.0228233502499407,-0.0228233502499407,-0.0370478575335739
"ZEB1",-0.0907458257756188,-0.0860011757255417,-0.0718720143209794,-0.0718720143209794,-0.0632035603442144,-0.0632035603442144,-0.0632035603442144,-0.0632035603442144,-0.0534804956814733,-0.0325894517776151,-0.030888416391442,-0.030888416391442,0.0323864190608486,0.0632035603442144,0.0632035603442144,0.0718720143209794
"SNAIL1",0.0993342014065405,0.110660672130037,0.0228233502499407,0.0228233502499407,0.0349316333159992,0.0349316333159992,0.0349316333159992,0.0349316333159992,-0.0603875789882819,-0.0241415747183027,-0.0424539468380355,-0.0424539468380355,-0.0178806209173369,-0.0349316333159992,-0.0349316333159992,-0.0228233502499407
"MIR190",0.0982211666136809,0.208266438228707,0.0174989853531228,0.0174989853531228,0.0370478575335739,0.0370478575335739,0.0370478575335739,0.0370478575335739,-0.0567099459208882,-0.0228233502499407,-0.035739006087847,-0.035739006087847,0.0878237250640486,-0.0370478575335739,-0.0370478575335739,-0.0174989853531228
"TWIST1",-0.0123331869183437,-0.00381354101138692,-0.00262114550126167,-0.00262114550126167,0.0106837906049774,0.0106837906049774,0.0106837906049774,0.0106837906049774,0.0314665034149355,0.000763669381104744,0.0724739557907195,-0.0288316756422836,-0.0477939481662976,-0.0106837906049774,-0.0106837906049774,0.00262114550126167
"MIR129",0.00734396609912595,0.00237651649743933,-0.0124310154525386,-0.0124310154525386,0.00262114550126167,0.00262114550126167,0.00262114550126167,0.00262114550126167,-0.0101237254660596,0.0106837906049774,-0.134450943238418,0.0668384765839524,0.0757203925192549,-0.00262114550126167,-0.00262114550126167,0.0124310154525386
"GRHL2",-0.0137191311050556,-0.0122508798432605,-0.0169660207932459,-0.116966020793246,-0.00945009722636695,-0.00945009722636695,-0.00945009722636695,-0.00945009722636695,-0.0103023688963358,0.0183605515713162,0.0533863655036132,0.0533863655036132,-0.0323792418811835,0.00945009722636695,0.00945009722636695,0.0169660207932459
"MIR34",-0.104584088844631,-0.112107121016759,-0.0370478575335739,-0.0370478575335739,-0.0228233502499407,-0.0228233502499407,-0.0228233502499407,-0.0228233502499407,0.0804596186100739,0.0349316333159992,0.0786338587055328,0.0786338587055328,-0.0551867705607989,0.0228233502499407,0.0228233502499407,0.0370478575335739
"MIR340",-0.0910199986873352,-0.0830418261320457,-0.0622713346268417,-0.0622713346268417,-0.0718720143209794,-0.0718720143209794,-0.0718720143209794,-0.0718720143209794,-0.0638442317443503,0.0632035603442144,-0.0467500555313609,-0.0467500555313609,0.0209569172699011,0.0718720143209794,0.0718720143209794,0.0622713346268417
"MIR200",0.0142909493631915,0.114655842268209,-0.0909323472287435,-0.0909323472287435,-0.0887551320388701,-0.0887551320388701,-0.0887551320388701,-0.0887551320388701,-0.182961725293398,0.0894755678146564,-0.0694250485630991,-0.0694250485630991,0.101617000559947,0.0887551320388701,0.0887551320388701,0.0909323472287435
