"","MIR340","MIR190","GRHL2","ESRP1","HA","CD24","MIR200","TWIST1","MIR129","SNAIL1","ZEB1","MIR34","TGFB","CD44s","MIR1199","HAS2"
"MIR200",0.220436631482718,0.220436631482718,0.220436631482718,0.220436631482718,0.217753087178921,0.217753087178921,0.303143782426174,-0.163728738323912,0.0818089305204169,0.155604987035783,-0.221895074638578,-0.303143782426174,-0.408375315991125,-0.217753087178921,-0.220436631482718,-0.220436631482718
"SNAIL1",0.19301708361062,0.19301708361062,0.19301708361062,0.19301708361062,0.191648832911782,0.191648832911782,0.292464763854684,-0.25437361276546,0.0962651577180668,0.191343465435901,-0.193805121598092,-0.292464763854684,-0.291525275699544,-0.191648832911782,-0.19301708361062,-0.19301708361062
"MIR34",0.191648832911782,0.191648832911782,0.191648832911782,0.191648832911782,0.189335208233119,0.189335208233119,0.291375164575081,-0.253811388179531,0.096280352977146,0.290935758984546,-0.19301708361062,-0.291375164575081,-0.289428737425532,-0.189335208233119,-0.191648832911782,-0.191648832911782
"MIR190",0.189335208233119,0.189335208233119,0.189335208233119,0.189335208233119,0.185826436303295,0.185826436303295,0.289411299688985,-0.252535541281159,0.0958844004914443,0.290285805409801,-0.191648832911782,-0.289411299688985,-0.386157044680155,-0.185826436303295,-0.189335208233119,-0.189335208233119
"MIR340",0.188891547850567,0.188891547850567,0.188891547850567,0.188891547850567,0.186767503670448,0.186767503670448,0.158757445901663,0.0913989041847221,-0.0571620022201811,-0.0730091632915997,-0.18975541439808,-0.158757445901663,-0.171076311563127,-0.186767503670448,-0.188891547850567,-0.188891547850567
"HA",0.188891547850567,0.188891547850567,0.188891547850567,0.188891547850567,0.186767503670448,0.186767503670448,0.158757445901663,0.0913989041847221,-0.0571620022201811,-0.0730091632915997,-0.18975541439808,-0.158757445901663,-0.171076311563127,-0.186767503670448,-0.188891547850567,-0.188891547850567
"CD44s",0.188891547850567,0.188891547850567,0.188891547850567,0.188891547850567,0.186767503670448,0.186767503670448,0.158757445901663,0.0913989041847221,-0.0571620022201811,-0.0730091632915997,-0.18975541439808,-0.158757445901663,-0.171076311563127,-0.186767503670448,-0.188891547850567,-0.188891547850567
"CD24",0.188891547850567,0.188891547850567,0.188891547850567,0.188891547850567,0.186767503670448,0.186767503670448,0.158757445901663,0.0913989041847221,-0.0571620022201811,-0.0730091632915997,-0.18975541439808,-0.158757445901663,-0.171076311563127,-0.186767503670448,-0.188891547850567,-0.188891547850567
"MIR129",0.0134466160355043,0.0134466160355043,0.0134466160355043,0.0134466160355043,0.0125524282560706,0.0125524282560706,0.121428263488289,-0.229248754798388,0.0177442580843378,0.236291053140543,-0.0140229127030062,-0.121428263488289,-0.0841454270412107,-0.0125524282560706,-0.0134466160355043,-0.0134466160355043
"TWIST1",-0.0140229127030062,-0.0140229127030062,-0.0140229127030062,-0.0140229127030062,-0.0134466160355043,-0.0134466160355043,-0.122044216675847,0.12971946609546,-0.0181889350396085,-0.236496899167714,0.0144752439486569,0.122044216675847,0.084962558627573,0.0134466160355043,0.0140229127030062,0.0140229127030062
"GRHL2",-0.0450686451308387,-0.0450686451308387,-0.0450686451308387,-0.0450686451308387,-0.044049536850584,0.055950463149416,-0.0299479136775793,-0.075328406705996,0.0556375354639433,0.0615474516957552,0.0451568674510858,0.0299479136775793,0.0367096857348737,0.044049536850584,0.0450686451308387,0.0450686451308387
"ZEB1",-0.18975541439808,-0.18975541439808,-0.18975541439808,-0.18975541439808,-0.188891547850567,-0.188891547850567,-0.159433739083896,-0.0912430924053516,0.057130839864307,0.0728137871926092,0.0903767854890443,0.159433739083896,0.172734848148493,0.188891547850567,0.18975541439808,0.18975541439808
"HAS2",-0.186767503670448,-0.186767503670448,-0.186767503670448,-0.186767503670448,-0.28447742733457,-0.18447742733457,-0.157387582887964,-0.0920381735911148,0.0568880296174414,0.0733875928091021,0.188891547850567,0.157387582887964,0.168854089340905,0.18447742733457,0.186767503670448,0.186767503670448
"ESRP1",-0.186767503670448,-0.186767503670448,-0.186767503670448,-0.186767503670448,-0.18447742733457,-0.18447742733457,-0.157387582887964,-0.0920381735911148,0.0568880296174414,0.0733875928091021,0.188891547850567,0.157387582887964,0.168854089340905,0.0844774273345702,0.186767503670448,0.186767503670448
"MIR1199",-0.188891547850567,-0.188891547850567,-0.188891547850567,-0.188891547850567,-0.186767503670448,-0.186767503670448,-0.158757445901663,-0.0913989041847221,0.0571620022201811,0.0730091632915997,0.18975541439808,0.158757445901663,0.171076311563127,0.186767503670448,0.188891547850567,0.188891547850567
"TGFB",-0.191648832911782,-0.191648832911782,-0.191648832911782,-0.191648832911782,-0.189335208233119,-0.189335208233119,-0.291375164575081,0.253811388179531,-0.096280352977146,-0.290935758984546,0.19301708361062,0.291375164575081,0.289428737425532,0.189335208233119,0.191648832911782,0.191648832911782
