"","TWIST1","ZEB1","MIR200","MIR340","GRHL2","HA","CD44s","CD24","MIR190","MIR1199","HAS2","ESRP1","TGFB","MIR34","SNAIL1","MIR129"
"MIR129",-0.483555580550917,-0.212300856076472,-0.259818661364053,-0.212376025207015,-0.212376025207015,-0.211183774834437,0.211183774834437,0.211183774834437,0.212376025207015,0.212376025207015,0.212376025207015,0.212376025207015,0.239533047170279,0.0441356407855049,0.335983830996188,0.482234556705869
"SNAIL1",-0.503703981400276,-0.175969357569436,-0.35315542580989,-0.175282350093178,-0.175282350093178,-0.174384895333726,0.174384895333726,0.174384895333726,0.175282350093178,0.175282350093178,0.175282350093178,0.175282350093178,0.323856973771571,0.171202290309551,0.352138807220561,0.503703981400276
"MIR34",-0.49724599629163,-0.175282350093178,-0.350841152959823,-0.174384895333726,-0.174384895333726,-0.172585409472543,0.172585409472543,0.172585409472543,0.174384895333726,0.174384895333726,0.174384895333726,0.174384895333726,0.320720292477894,0.169986621691812,0.449188931131346,0.49724599629163
"ZEB1",-0.299932478767771,-0.131904212835765,-0.0684092478336161,-0.0331367686063673,-0.0331367686063673,-0.0326899410817918,0.0326899410817918,0.0326899410817918,0.0331367686063673,0.0331367686063673,0.0331367686063673,0.0331367686063673,0.0527971434949854,0.095269556655344,0.257699545743454,0.299932478767771
"GRHL2",0.316993093618254,-0.0749110694679989,-0.0314607451464761,-0.0767196270330629,-0.0767196270330629,-0.0829616652496234,0.0829616652496234,-0.0170383347503766,0.0767196270330629,0.0767196270330629,0.0767196270330629,0.0767196270330629,0.0563727575017417,-0.189903413851924,-0.280379618160579,-0.316993093618254
"MIR200",-0.180890882535391,-0.0623893326392387,-0.190145245394433,-0.061914899323477,-0.061914899323477,-0.0636870512222112,0.0636870512222112,0.0636870512222112,0.061914899323477,0.061914899323477,0.061914899323477,0.061914899323477,0.0810460709038003,0.0342901227703333,0.132497046828801,0.180890882535391
"CD44s",-0.294977664183788,-0.0331367686063673,-0.0667093757809749,-0.0326899410817918,-0.0326899410817918,-0.026997502679073,0.026997502679073,0.026997502679073,0.0326899410817918,0.0326899410817918,0.0326899410817918,0.0326899410817918,0.0467158426819773,0.0941180304261355,0.256657539882171,0.294977664183788
"CD24",-0.294977664183788,-0.0331367686063673,-0.0667093757809749,-0.0326899410817918,-0.0326899410817918,-0.026997502679073,0.026997502679073,0.026997502679073,0.0326899410817918,0.0326899410817918,0.0326899410817918,0.0326899410817918,0.0467158426819773,0.0941180304261355,0.256657539882171,0.294977664183788
"HAS2",-0.287580403909816,-0.0326899410817918,-0.0603869311023659,-0.026997502679073,-0.026997502679073,-0.119109461966605,0.0191094619666048,0.0191094619666048,0.026997502679073,0.026997502679073,0.026997502679073,0.026997502679073,0.0388897557254555,0.0948556489719732,0.252967852086523,0.287580403909816
"ESRP1",-0.287580403909816,-0.0326899410817918,-0.0603869311023659,-0.026997502679073,-0.026997502679073,-0.0191094619666048,0.119109461966605,0.0191094619666048,0.026997502679073,0.026997502679073,0.026997502679073,0.026997502679073,0.0388897557254555,0.0948556489719732,0.252967852086523,0.287580403909816
"MIR340",0.294977664183788,0.0331367686063673,0.0667093757809749,0.0326899410817918,0.0326899410817918,0.026997502679073,-0.026997502679073,-0.026997502679073,-0.0326899410817918,-0.0326899410817918,-0.0326899410817918,-0.0326899410817918,-0.0467158426819773,-0.0941180304261355,-0.256657539882171,-0.294977664183788
"MIR1199",0.294977664183788,0.0331367686063673,0.0667093757809749,0.0326899410817918,0.0326899410817918,0.026997502679073,-0.026997502679073,-0.026997502679073,-0.0326899410817918,-0.0326899410817918,-0.0326899410817918,-0.0326899410817918,-0.0467158426819773,-0.0941180304261355,-0.256657539882171,-0.294977664183788
"HA",0.294977664183788,0.0331367686063673,0.0667093757809749,0.0326899410817918,0.0326899410817918,0.026997502679073,-0.026997502679073,-0.026997502679073,-0.0326899410817918,-0.0326899410817918,-0.0326899410817918,-0.0326899410817918,-0.0467158426819773,-0.0941180304261355,-0.256657539882171,-0.294977664183788
"MIR190",0.487171205266553,0.174384895333726,0.346887238322483,0.172585409472543,0.172585409472543,0.168575384409887,-0.168575384409887,-0.168575384409887,-0.172585409472543,-0.172585409472543,-0.172585409472543,-0.172585409472543,-0.214888144540482,-0.168232235726899,-0.444639256108133,-0.487171205266553
"TGFB",0.49724599629163,0.175282350093178,0.350841152959823,0.174384895333726,0.174384895333726,0.172585409472543,-0.172585409472543,-0.172585409472543,-0.174384895333726,-0.174384895333726,-0.174384895333726,-0.174384895333726,-0.320720292477894,-0.169986621691812,-0.449188931131346,-0.49724599629163
"TWIST1",0.38920411611577,0.212840174100132,0.261204556036058,0.212300856076472,0.212300856076472,0.212376025207015,-0.212376025207015,-0.212376025207015,-0.212300856076472,-0.212300856076472,-0.212300856076472,-0.212300856076472,-0.241984441929366,-0.0456139284356434,-0.338357921842901,-0.487858412316646
