"","CD24","MIR340","MIR190","MIR1199","HAS2","GRHL2","MIR200","SNAIL1","TWIST1","MIR129","ZEB1","MIR34","ESRP1","TGFB","HA","CD44s"
"TGFB",0.21913437169361,0.219991269722744,0.219991269722744,0.219991269722744,0.219991269722744,0.219991269722744,-0.0898482149232052,0.328547726370854,-0.157297001277633,-0.157297001277633,-0.223154429940488,-0.323238817432803,-0.219991269722744,0.0178378487302664,-0.21913437169361,-0.21913437169361
"SNAIL1",0.219991269722744,0.223154429940488,0.223154429940488,0.223154429940488,0.223154429940488,0.223154429940488,-0.0885424967782254,0.228635663056441,-0.158345474154095,-0.158345474154095,-0.222911956713573,-0.325805228959143,-0.223154429940488,0.0174965518019388,-0.219991269722744,-0.219991269722744
"ESRP1",0.223376623376623,0.195132348567463,0.195132348567463,0.195132348567463,0.195132348567463,0.195132348567463,0.177742176518596,0.0919933404285274,-0.0680830306947954,-0.0680830306947954,-0.219516375755229,-0.196003067288712,-0.195132348567463,-0.207454479259753,-0.223376623376623,-0.123376623376623
"MIR340",0.195132348567463,0.219516375755229,0.219516375755229,0.219516375755229,0.219516375755229,0.219516375755229,0.189965569563906,0.0848977869753581,-0.0776720717906858,-0.0776720717906858,-0.201673063273846,-0.214022034622748,-0.219516375755229,-0.188807136264584,-0.195132348567463,-0.195132348567463
"MIR1199",0.195132348567463,0.219516375755229,0.219516375755229,0.219516375755229,0.219516375755229,0.219516375755229,0.189965569563906,0.0848977869753581,-0.0776720717906858,-0.0776720717906858,-0.201673063273846,-0.214022034622748,-0.219516375755229,-0.188807136264584,-0.195132348567463,-0.195132348567463
"HA",0.195132348567463,0.219516375755229,0.219516375755229,0.219516375755229,0.219516375755229,0.219516375755229,0.189965569563906,0.0848977869753581,-0.0776720717906858,-0.0776720717906858,-0.201673063273846,-0.214022034622748,-0.219516375755229,-0.188807136264584,-0.195132348567463,-0.195132348567463
"CD44s",0.195132348567463,0.219516375755229,0.219516375755229,0.219516375755229,0.219516375755229,0.219516375755229,0.189965569563906,0.0848977869753581,-0.0776720717906858,-0.0776720717906858,-0.201673063273846,-0.214022034622748,-0.219516375755229,-0.188807136264584,-0.195132348567463,-0.195132348567463
"MIR200",0.123006714791841,0.134500385677917,0.134500385677917,0.134500385677917,0.134500385677917,0.134500385677917,0.258994938191474,-0.166498209067494,0.104141389781866,0.104141389781866,-0.123623562623972,-0.00582792996309663,-0.134500385677917,-0.343544655396236,-0.123006714791841,-0.123006714791841
"GRHL2",0.152416923971898,0.0777672424432354,0.0777672424432354,0.0777672424432354,0.0777672424432354,0.0777672424432354,0.0559773346034743,0.065946976519075,-0.0687895561603251,-0.0687895561603251,-0.0582259985085199,-0.0767325597165898,-0.0777672424432354,-0.0493826897371341,-0.0524169239718978,-0.0524169239718978
"MIR129",0.0128476821192053,-0.0029496353174564,-0.0029496353174564,-0.0029496353174564,-0.0029496353174564,-0.0029496353174564,0.144997229697842,-0.301901933094431,-0.0644708001303604,0.289342807459871,-0.00534402541920108,0.141165400894154,0.0029496353174564,-0.104573042973998,-0.0128476821192053,-0.0128476821192053
"TWIST1",0.0029496353174564,-0.00534402541920108,-0.00534402541920108,-0.00534402541920108,-0.00534402541920108,-0.00534402541920108,-0.149586080945147,0.305895346021562,-0.0322865220453718,-0.286125438901148,-0.0035808180045985,-0.135560226887379,0.00534402541920108,0.09462657918138,-0.0029496353174564,-0.0029496353174564
"ZEB1",-0.219516375755229,-0.201673063273846,-0.201673063273846,-0.201673063273846,-0.201673063273846,-0.201673063273846,-0.181758660406531,-0.0894565626184711,0.0697256710427893,0.0697256710427893,0.115740497316833,0.200331667231047,0.201673063273846,0.205685185045072,0.219516375755229,0.219516375755229
"CD24",-0.195132348567463,-0.219516375755229,-0.219516375755229,-0.219516375755229,-0.219516375755229,-0.219516375755229,-0.189965569563906,-0.0848977869753581,0.0776720717906858,0.0776720717906858,0.201673063273846,0.214022034622748,0.219516375755229,0.188807136264584,0.195132348567463,0.195132348567463
"HAS2",-0.223376623376623,-0.195132348567463,-0.195132348567463,-0.195132348567463,-0.195132348567463,-0.195132348567463,-0.177742176518596,-0.0919933404285274,0.0680830306947954,0.0680830306947954,0.219516375755229,0.196003067288712,0.195132348567463,0.207454479259753,0.123376623376623,0.223376623376623
"MIR190",-0.211615574701129,-0.21913437169361,-0.21913437169361,-0.21913437169361,-0.21913437169361,-0.21913437169361,0.0898743997883531,-0.326922842433993,0.157253006556999,0.157253006556999,0.219991269722744,0.322217607692033,0.21913437169361,-0.12243718490855,0.211615574701129,0.211615574701129
"MIR34",-0.21913437169361,-0.219991269722744,-0.219991269722744,-0.219991269722744,-0.219991269722744,-0.219991269722744,0.0898482149232052,-0.328547726370854,0.157297001277633,0.157297001277633,0.223154429940488,0.323238817432803,0.219991269722744,-0.0178378487302664,0.21913437169361,0.21913437169361
