"","MIR34","CD44s","MIR340","MIR190","MIR1199","HAS2","GRHL2","ESRP1","TGFB","MIR200","TWIST1","MIR129","ZEB1","SNAIL1","HA","CD24"
"MIR129",0.111690923876048,0.212061258278146,0.212806414761007,0.212806414761007,0.212806414761007,0.212806414761007,0.212806414761007,0.212806414761007,0.138584849547459,0.103181964049163,-0.135936648295076,0.0770466759184569,-0.21253079461568,0.018989058832631,-0.212061258278146,-0.212061258278146
"MIR200",0.205258326800198,0.112218473259909,0.113686827690289,0.113686827690289,0.113686827690289,0.113686827690289,0.113686827690289,0.113686827690289,0.111504689299132,0.0185580749656219,-0.0405184904145272,-0.0405184904145272,-0.112790675871628,0.0448311285669483,-0.112218473259909,-0.112218473259909
"HAS2",0.125241146093011,0.110420531849103,0.10914826721806,0.10914826721806,0.10914826721806,0.10914826721806,0.10914826721806,0.10914826721806,0.0983024187892342,0.0885913346708324,0.0308319445260622,0.0308319445260622,-0.11076254079495,-0.0285395251674833,-0.210420531849103,-0.110420531849103
"MIR340",0.123344412689428,0.10914826721806,0.11076254079495,0.11076254079495,0.11076254079495,0.11076254079495,0.11076254079495,0.11076254079495,0.0941478294172536,0.0924901755559746,0.041334227631085,0.041334227631085,-0.109958251250714,-0.0236199414399525,-0.10914826721806,-0.10914826721806
"TGFB",0.0912896984869271,0.0679190288808655,0.066890751245904,0.066890751245904,0.066890751245904,0.066890751245904,0.066890751245904,0.066890751245904,-0.0243692962105859,-0.0243268602682463,-0.0384570769440705,-0.0384570769440705,-0.0678176307515683,0.00958413453810719,-0.0679190288808655,-0.0679190288808655
"SNAIL1",0.0896057723275395,0.066890751245904,0.0678176307515683,0.0678176307515683,0.0678176307515683,0.0678176307515683,0.0678176307515683,0.0678176307515683,-0.0273109506880765,-0.0215083100656349,-0.0307530805909327,-0.0307530805909327,-0.0672316537865248,-0.0865706340285248,-0.066890751245904,-0.066890751245904
"MIR190",0.0884355481858012,0.0666658960487853,0.0679190288808655,0.0679190288808655,0.0679190288808655,0.0679190288808655,0.0679190288808655,0.0679190288808655,0.0716951893275839,-0.020215836440019,-0.0271504337412548,-0.0271504337412548,-0.066890751245904,0.0153872914554702,-0.0666658960487853,-0.0666658960487853
"GRHL2",-0.00482411425044072,-0.00476726182485345,-0.00629592424523561,-0.00629592424523561,-0.00629592424523561,-0.00629592424523561,-0.00629592424523561,-0.00629592424523561,-0.000765530216537107,-0.00417717911203654,-0.0479917173763481,-0.0479917173763481,0.00528136756239485,0.0358103792928823,0.00476726182485345,-0.0952327381751466
"ZEB1",-0.124751833636238,-0.11076254079495,-0.109958251250714,-0.109958251250714,-0.109958251250714,-0.109958251250714,-0.109958251250714,-0.109958251250714,-0.097172219661156,-0.0900957321269854,-0.0345096716946562,-0.0345096716946562,0.0103555212924788,0.027299524637608,0.11076254079495,0.11076254079495
"MIR34",-0.0912896984869271,-0.0679190288808655,-0.066890751245904,-0.066890751245904,-0.066890751245904,-0.066890751245904,-0.066890751245904,-0.066890751245904,0.0243692962105859,0.0243268602682463,0.0384570769440705,0.0384570769440705,0.0678176307515683,-0.00958413453810719,0.0679190288808655,0.0679190288808655
"MIR1199",-0.123344412689428,-0.10914826721806,-0.11076254079495,-0.11076254079495,-0.11076254079495,-0.11076254079495,-0.11076254079495,-0.11076254079495,-0.0941478294172536,-0.0924901755559746,-0.041334227631085,-0.041334227631085,0.109958251250714,0.0236199414399525,0.10914826721806,0.10914826721806
"HA",-0.123344412689428,-0.10914826721806,-0.11076254079495,-0.11076254079495,-0.11076254079495,-0.11076254079495,-0.11076254079495,-0.11076254079495,-0.0941478294172536,-0.0924901755559746,-0.041334227631085,-0.041334227631085,0.109958251250714,0.0236199414399525,0.10914826721806,0.10914826721806
"CD44s",-0.123344412689428,-0.10914826721806,-0.11076254079495,-0.11076254079495,-0.11076254079495,-0.11076254079495,-0.11076254079495,-0.11076254079495,-0.0941478294172536,-0.0924901755559746,-0.041334227631085,-0.041334227631085,0.109958251250714,0.0236199414399525,0.10914826721806,0.10914826721806
"CD24",-0.123344412689428,-0.10914826721806,-0.11076254079495,-0.11076254079495,-0.11076254079495,-0.11076254079495,-0.11076254079495,-0.11076254079495,-0.0941478294172536,-0.0924901755559746,-0.041334227631085,-0.041334227631085,0.109958251250714,0.0236199414399525,0.10914826721806,0.10914826721806
"ESRP1",-0.125241146093011,-0.0104205318491033,-0.10914826721806,-0.10914826721806,-0.10914826721806,-0.10914826721806,-0.10914826721806,-0.10914826721806,-0.0983024187892342,-0.0885913346708324,-0.0308319445260622,-0.0308319445260622,0.11076254079495,0.0285395251674833,0.110420531849103,0.110420531849103
"TWIST1",-0.113046020888675,-0.212806414761007,-0.21253079461568,-0.21253079461568,-0.21253079461568,-0.21253079461568,-0.21253079461568,-0.21253079461568,-0.140359997476453,-0.101488092783379,0.0409052675419379,-0.0721029144745646,0.212930933794525,-0.0163953988902679,0.212806414761007,0.212806414761007
