"","MIR340","MIR190","HAS2","GRHL2","ESRP1","CD24","MIR129","SNAIL1","TGFB","TWIST1","MIR34","ZEB1","MIR200","HA","CD44s","MIR1199"
"MIR129",0.40366571753799,0.40366571753799,0.40366571753799,0.40366571753799,0.40366571753799,0.396065121412804,0.322390248404417,0.0831646210356878,0.0176430143415028,-0.292411047757484,-0.195184075495758,-0.417221217412708,-0.251765172039938,-0.396065121412804,-0.396065121412804,-0.40366571753799
"MIR340",0.357629654493667,0.357629654493667,0.357629654493667,0.357629654493667,0.357629654493667,0.330866697824168,0.166085282753776,0.132732691300739,0.0114291928490711,-0.166085282753776,-0.257887503889519,-0.357897751008412,-0.312428451355828,-0.330866697824168,-0.330866697824168,-0.357629654493667
"CD44s",0.357629654493667,0.357629654493667,0.357629654493667,0.357629654493667,0.357629654493667,0.330866697824168,0.166085282753776,0.132732691300739,0.0114291928490711,-0.166085282753776,-0.257887503889519,-0.357897751008412,-0.312428451355828,-0.330866697824168,-0.330866697824168,-0.357629654493667
"HAS2",0.330866697824168,0.330866697824168,0.330866697824168,0.330866697824168,0.330866697824168,0.330612244897959,0.156861538461538,0.137463060269519,0.0136514150712934,-0.156861538461538,-0.246612477545999,-0.357629654493667,-0.29051064313665,-0.430612244897959,-0.330612244897959,-0.330866697824168
"SNAIL1",0.236584601929282,0.236584601929282,0.236584601929282,0.236584601929282,0.236584601929282,0.231597107446422,0.150902495934553,-0.0464549580501559,0.0824142366115046,-0.150902495934553,-0.0520777073773616,-0.238847685380485,-0.201490558784557,-0.231597107446422,-0.231597107446422,-0.236584601929282
"MIR190",0.227226927497836,0.227226927497836,0.227226927497836,0.227226927497836,0.227226927497836,0.217452491407611,0.147736787990909,0.0515619572360192,-0.0184757755233432,-0.147736787990909,-0.0472905622715911,-0.231597107446422,-0.194830633453276,-0.217452491407611,-0.217452491407611,-0.227226927497836
"GRHL2",0.136732715800779,0.136732715800779,0.136732715800779,0.136732715800779,0.136732715800779,0.216732715800779,0.116359517727416,0.0905223469042609,0.0072463753396289,-0.116359517727416,-0.0856170952912067,-0.129983708301881,-0.122993887658932,-0.116732715800779,-0.116732715800779,-0.136732715800779
"MIR200",-0.212692351916539,-0.212692351916539,-0.212692351916539,-0.212692351916539,-0.212692351916539,-0.200692351916539,0.0554786876946791,0.00560246943265784,-0.0113490169957087,-0.0554786876946791,0.254249129177275,0.211058192717804,0.101701872333881,0.200692351916539,0.200692351916539,0.212692351916539
"TGFB",-0.231597107446422,-0.231597107446422,-0.231597107446422,-0.231597107446422,-0.231597107446422,-0.227226927497836,-0.149276603213082,-0.0532332664282197,-0.0822354620299996,0.149276603213082,0.0496733850000541,0.236584601929282,0.197789523214994,0.227226927497836,0.227226927497836,0.231597107446422
"MIR34",-0.231597107446422,-0.231597107446422,-0.231597107446422,-0.231597107446422,-0.231597107446422,-0.227226927497836,-0.149276603213082,-0.0532332664282197,-0.0822354620299996,0.149276603213082,0.0496733850000541,0.236584601929282,0.197789523214994,0.227226927497836,0.227226927497836,0.231597107446422
"ZEB1",-0.357897751008412,-0.357897751008412,-0.357897751008412,-0.357897751008412,-0.357897751008412,-0.357629654493667,-0.16611644510965,-0.139863918913895,-0.0147137456945996,0.16611644510965,0.259879827047991,0.271761456824853,0.310765135691416,0.357629654493667,0.357629654493667,0.357897751008412
"ESRP1",-0.330866697824168,-0.330866697824168,-0.330866697824168,-0.330866697824168,-0.330866697824168,-0.330612244897959,-0.156861538461538,-0.137463060269519,-0.0136514150712934,0.156861538461538,0.246612477545999,0.357629654493667,0.29051064313665,0.330612244897959,0.230612244897959,0.330866697824168
"MIR1199",-0.357629654493667,-0.357629654493667,-0.357629654493667,-0.357629654493667,-0.357629654493667,-0.330866697824168,-0.166085282753776,-0.132732691300739,-0.0114291928490711,0.166085282753776,0.257887503889519,0.357897751008412,0.312428451355828,0.330866697824168,0.330866697824168,0.357629654493667
"HA",-0.357629654493667,-0.357629654493667,-0.357629654493667,-0.357629654493667,-0.357629654493667,-0.330866697824168,-0.166085282753776,-0.132732691300739,-0.0114291928490711,0.166085282753776,0.257887503889519,0.357897751008412,0.312428451355828,0.330866697824168,0.330866697824168,0.357629654493667
"CD24",-0.357629654493667,-0.357629654493667,-0.357629654493667,-0.357629654493667,-0.357629654493667,-0.330866697824168,-0.166085282753776,-0.132732691300739,-0.0114291928490711,0.166085282753776,0.257887503889519,0.357897751008412,0.312428451355828,0.330866697824168,0.330866697824168,0.357629654493667
"TWIST1",-0.417221217412708,-0.417221217412708,-0.417221217412708,-0.417221217412708,-0.417221217412708,-0.40366571753799,-0.327072435168738,-0.0826019752280852,-0.0172767139752024,0.197118160728195,0.201220416733824,0.421135622423146,0.262390364525309,0.40366571753799,0.40366571753799,0.417221217412708
