"","MIR190","MIR1199","HAS2","GRHL2","ESRP1","CD44s","TGFB","MIR200","SNAIL1","MIR129","TWIST1","MIR34","ZEB1","HA","CD24","MIR340"
"MIR1199",0.429255956048422,0.429255956048422,0.429255956048422,0.429255956048422,0.429255956048422,0.406571164204752,0.311624608647274,0.259586274468186,0.229103540272696,-0.125459889345143,-0.218982061720176,-0.259586274468186,-0.437983987028464,-0.406571164204752,-0.406571164204752,-0.429255956048422
"CD44s",0.429255956048422,0.429255956048422,0.429255956048422,0.429255956048422,0.429255956048422,0.406571164204752,0.311624608647274,0.259586274468186,0.229103540272696,-0.125459889345143,-0.218982061720176,-0.259586274468186,-0.437983987028464,-0.406571164204752,-0.406571164204752,-0.429255956048422
"CD24",0.429255956048422,0.429255956048422,0.429255956048422,0.429255956048422,0.429255956048422,0.406571164204752,0.311624608647274,0.259586274468186,0.229103540272696,-0.125459889345143,-0.218982061720176,-0.259586274468186,-0.437983987028464,-0.406571164204752,-0.406571164204752,-0.429255956048422
"HAS2",0.406571164204752,0.406571164204752,0.406571164204752,0.406571164204752,0.406571164204752,0.391558441558442,0.303025574830849,0.248416622202643,0.223332490130785,-0.123359432724139,-0.212680691857162,-0.248416622202643,-0.429255956048422,-0.491558441558442,-0.391558441558442,-0.406571164204752
"ESRP1",0.406571164204752,0.406571164204752,0.406571164204752,0.406571164204752,0.406571164204752,0.491558441558442,0.303025574830849,0.248416622202643,0.223332490130785,-0.123359432724139,-0.212680691857162,-0.248416622202643,-0.429255956048422,-0.391558441558442,-0.391558441558442,-0.406571164204752
"MIR200",0.309141633849832,0.309141633849832,0.309141633849832,0.309141633849832,0.309141633849832,0.292584671824515,0.236431978647062,0.108742877162528,0.184233163883109,-0.0925793387137978,-0.184071125795025,-0.108742877162528,-0.312146378182989,-0.292584671824515,-0.292584671824515,-0.309141633849832
"GRHL2",0.161593852967815,0.161593852967815,0.161593852967815,0.161593852967815,0.161593852967815,0.148345445324503,0.108531771151543,0.0864209162642164,0.14122982584234,-0.0935551664927562,-0.145090412643642,-0.0864209162642164,-0.162167298049421,-0.148345445324503,-0.248345445324503,-0.161593852967815
"TWIST1",0.110171588949747,0.110171588949747,0.110171588949747,0.110171588949747,0.110171588949747,0.102328942996352,0.0692870897582971,0.0527436957789056,0.0447014821269872,-0.0464666417690841,-0.044728808584432,-0.0527436957789056,-0.110745701684611,-0.102328942996352,-0.102328942996352,-0.110171588949747
"MIR129",0.102328942996352,0.102328942996352,0.102328942996352,0.102328942996352,0.102328942996352,0.102179911699779,0.069991513539644,0.048524416444135,0.0432331137998292,-0.046178909621556,0.0567879278172416,-0.048524416444135,-0.110171588949747,-0.102179911699779,-0.102179911699779,-0.102328942996352
"TGFB",0.0342851533504109,0.0342851533504109,0.0342851533504109,0.0342851533504109,0.0342851533504109,0.0395122313281315,-0.048098063007034,-0.0457140982321637,0.0267746556433297,-0.02213400193151,-0.0844315265984579,0.0457140982321637,-0.0375954372992118,-0.0395122313281315,-0.0395122313281315,-0.0342851533504109
"SNAIL1",0.0375954372992118,0.0375954372992118,0.0375954372992118,0.0375954372992118,0.0375954372992118,0.0342851533504109,-0.052209878381648,-0.0435619145311281,-0.0731533961593724,-0.0219060730453225,-0.0844163313393788,0.0435619145311281,-0.0353121477457667,-0.0342851533504109,-0.0342851533504109,-0.0375954372992118
"MIR190",0.0395122313281315,0.0395122313281315,0.0395122313281315,0.0395122313281315,0.0395122313281315,0.0319934343356503,0.0459749573817759,-0.0422838808977829,0.027099632430702,-0.0215620705632742,-0.0843875318778244,0.0422838808977829,-0.0342851533504109,-0.0319934343356503,-0.0319934343356503,-0.0395122313281315
"MIR34",-0.0342851533504109,-0.0342851533504109,-0.0342851533504109,-0.0342851533504109,-0.0342851533504109,-0.0395122313281315,0.048098063007034,0.0457140982321637,-0.0267746556433297,0.02213400193151,0.0844315265984579,-0.0457140982321637,0.0375954372992118,0.0395122313281315,0.0395122313281315,0.0342851533504109
"ZEB1",-0.437983987028464,-0.437983987028464,-0.437983987028464,-0.437983987028464,-0.437983987028464,-0.429255956048422,-0.327201844419631,-0.262711845661752,-0.233141312985167,0.127111494206471,0.223500603321921,0.262711845661752,0.349443699771665,0.429255956048422,0.429255956048422,0.437983987028464
"MIR340",-0.429255956048422,-0.429255956048422,-0.429255956048422,-0.429255956048422,-0.429255956048422,-0.406571164204752,-0.311624608647274,-0.259586274468186,-0.229103540272696,0.125459889345143,0.218982061720176,0.259586274468186,0.437983987028464,0.406571164204752,0.406571164204752,0.429255956048422
"HA",-0.429255956048422,-0.429255956048422,-0.429255956048422,-0.429255956048422,-0.429255956048422,-0.406571164204752,-0.311624608647274,-0.259586274468186,-0.229103540272696,0.125459889345143,0.218982061720176,0.259586274468186,0.437983987028464,0.406571164204752,0.406571164204752,0.429255956048422
