"","TWIST1","MIR200","HA","CD24","HAS2","ESRP1","ZEB1","TGFB","MIR34","MIR340","MIR190","MIR1199","GRHL2","CD44s","SNAIL1","MIR129"
"TWIST1",0.431681581343327,0.284446067516448,0.212172398449811,0.212172398449811,0.219664255127336,0.219664255127336,-0.218776989991636,-0.11123161421552,0.0607799038780326,-0.219664255127336,-0.219664255127336,-0.219664255127336,-0.219664255127336,-0.212172398449811,-0.384743341348913,-0.529397149671061
"MIR190",0.415015486580508,0.292878429005497,0.145848784221856,0.145848784221856,0.141086879459951,0.141086879459951,-0.145371369605624,-0.275633926031447,0.148939261712521,-0.141086879459951,-0.141086879459951,-0.141086879459951,-0.141086879459951,-0.145848784221856,-0.36944028394306,-0.415015486580508
"HAS2",0.165524804607158,0.108407991808547,0.156277056277056,0.0562770562770563,0.0799411784144609,0.0799411784144609,-0.100416964310808,-0.0207446598927329,-0.0379013882052518,-0.0799411784144609,-0.0799411784144609,-0.0799411784144609,-0.0799411784144609,-0.0562770562770563,-0.121771220901589,-0.165524804607158
"MIR340",0.162328457575194,0.117997032904438,0.0799411784144609,0.0799411784144609,0.100416964310808,0.100416964310808,-0.0863270030358596,-0.0210345149651967,-0.0537074999017744,-0.100416964310808,-0.100416964310808,-0.100416964310808,-0.100416964310808,-0.0799411784144609,-0.125366301317862,-0.162328457575194
"MIR1199",0.162328457575194,0.117997032904438,0.0799411784144609,0.0799411784144609,0.100416964310808,0.100416964310808,-0.0863270030358596,-0.0210345149651967,-0.0537074999017744,-0.100416964310808,-0.100416964310808,-0.100416964310808,-0.100416964310808,-0.0799411784144609,-0.125366301317862,-0.162328457575194
"HA",0.162328457575194,0.117997032904438,0.0799411784144609,0.0799411784144609,0.100416964310808,0.100416964310808,-0.0863270030358596,-0.0210345149651967,-0.0537074999017744,-0.100416964310808,-0.100416964310808,-0.100416964310808,-0.100416964310808,-0.0799411784144609,-0.125366301317862,-0.162328457575194
"CD44s",0.162328457575194,0.117997032904438,0.0799411784144609,0.0799411784144609,0.100416964310808,0.100416964310808,-0.0863270030358596,-0.0210345149651967,-0.0537074999017744,-0.100416964310808,-0.100416964310808,-0.100416964310808,-0.100416964310808,-0.0799411784144609,-0.125366301317862,-0.162328457575194
"CD24",0.162328457575194,0.117997032904438,0.0799411784144609,0.0799411784144609,0.100416964310808,0.100416964310808,-0.0863270030358596,-0.0210345149651967,-0.0537074999017744,-0.100416964310808,-0.100416964310808,-0.100416964310808,-0.100416964310808,-0.0799411784144609,-0.125366301317862,-0.162328457575194
"ZEB1",-0.163606114166032,-0.110740589841012,-0.100416964310808,-0.100416964310808,-0.0863270030358596,-0.0863270030358596,-0.0215267200974805,0.0191158157782048,0.043672771332957,0.0863270030358596,0.0863270030358596,0.0863270030358596,0.0863270030358596,0.100416964310808,0.130967082822257,0.163606114166032
"GRHL2",0.113330838054207,0.00315669524605849,-0.00945786906519891,-0.109457869065199,-3.11174728422264e-05,-3.11174728422264e-05,0.0157788016369357,-0.00981424604937834,0.0271796634248432,3.11174728422264e-05,3.11174728422264e-05,3.11174728422264e-05,3.11174728422264e-05,0.00945786906519891,-0.0879985907508804,-0.113330838054207
"MIR200",0.208367195047303,0.0654531420606709,-0.031694850240403,-0.031694850240403,-0.045821432518884,-0.045821432518884,0.0357529032621628,-0.211771556625902,0.180791017680394,0.045821432518884,0.045821432518884,0.045821432518884,0.045821432518884,0.031694850240403,-0.163250262978393,-0.208367195047303
"ESRP1",-0.165524804607158,-0.108407991808547,-0.0562770562770563,-0.0562770562770563,-0.0799411784144609,-0.0799411784144609,0.100416964310808,0.0207446598927329,0.0379013882052518,0.0799411784144609,0.0799411784144609,0.0799411784144609,0.0799411784144609,-0.0437229437229437,0.121771220901589,0.165524804607158
"SNAIL1",-0.430223808368096,-0.302289550133901,-0.145371369605624,-0.145371369605624,-0.14991749289531,-0.14991749289531,0.148998115243259,0.180517271744683,-0.147548349027905,0.14991749289531,0.14991749289531,0.14991749289531,0.14991749289531,0.145371369605624,0.276071617089786,0.430223808368096
"TGFB",-0.424738319840517,-0.298246326360826,-0.141086879459951,-0.141086879459951,-0.145371369605624,-0.145371369605624,0.14991749289531,0.178810787103044,-0.149070186038261,0.145371369605624,0.145371369605624,0.145371369605624,0.145371369605624,0.141086879459951,0.372690051816783,0.424738319840517
"MIR34",-0.424738319840517,-0.298246326360826,-0.141086879459951,-0.141086879459951,-0.145371369605624,-0.145371369605624,0.14991749289531,0.178810787103044,-0.149070186038261,0.145371369605624,0.145371369605624,0.145371369605624,0.145371369605624,0.141086879459951,0.372690051816783,0.424738319840517
"MIR129",-0.52446400812157,-0.278317333300248,-0.207552428256071,-0.207552428256071,-0.212172398449811,-0.212172398449811,0.219664255127336,0.108780219456433,-0.0638596698158213,0.212172398449811,0.212172398449811,0.212172398449811,0.212172398449811,0.207552428256071,0.380585251600046,0.522203845982858
